trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,9912,0.0-2.0,q8c435wa,,,,,,5914.0,62bdeb6839de2a6585202286,62bdeb6839de2a6585202286,,,,,,,,,,,,,,,,,,
introduction,3,16998,0.0-3.0,q8c435wa,,,,,,7080.0,62bdeb6839de2a6585202286,62bdeb6839de2a6585202286,,,,,,,,,,,,,,,,,,
introduction,4,35253,0.0-4.0-0.0,q8c435wa,,,,,,18253.0,,62bdeb6839de2a6585202286,"[{""page_index"":0,""viewing_time"":2156},{""page_index"":1,""viewing_time"":13463},{""page_index"":2,""viewing_time"":2632}]",,,,,,,,,,,,,,,,,
introduction,5,36133,0.0-5.0-0.0,q8c435wa,,,,,,877.0,1,62bdeb6839de2a6585202286,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,36740,0.0-5.0-0.1,q8c435wa,,,,,,606.0,2,62bdeb6839de2a6585202286,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,37629,0.0-5.0-0.2,q8c435wa,,,,,,887.0,1,62bdeb6839de2a6585202286,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,38420,0.0-5.0-0.3,q8c435wa,,,,,,791.0,3,62bdeb6839de2a6585202286,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,39309,0.0-5.0-0.4,q8c435wa,,,,,,888.0,2,62bdeb6839de2a6585202286,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,40389,0.0-5.0-0.5,q8c435wa,,,,,,1078.0,3,62bdeb6839de2a6585202286,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,40973,0.0-5.0-0.6,q8c435wa,,,,,,583.0,1,62bdeb6839de2a6585202286,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,41621,0.0-5.0-0.7,q8c435wa,,,,,,647.0,2,62bdeb6839de2a6585202286,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,42469,0.0-5.0-0.8,q8c435wa,,,,,,848.0,3,62bdeb6839de2a6585202286,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,43197,0.0-5.0-0.9,q8c435wa,,,,,,726.0,2,62bdeb6839de2a6585202286,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,43812,0.0-5.0-0.10,q8c435wa,,,,,,615.0,1,62bdeb6839de2a6585202286,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,44645,0.0-5.0-0.11,q8c435wa,,,,,,831.0,3,62bdeb6839de2a6585202286,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,104415,0.0-6.0-0.0,q8c435wa,,,,,,59770.0,,62bdeb6839de2a6585202286,"[{""page_index"":0,""viewing_time"":2544},{""page_index"":1,""viewing_time"":25057},{""page_index"":2,""viewing_time"":29705},{""page_index"":3,""viewing_time"":2464}]",,,,,,,,,,,,,,,,,
introduction,19,121210,0.0-8.0-0.0,q8c435wa,,,,,,,,62bdeb6839de2a6585202286,,img/Red_circle.png,2606.0,calibration,,,,,,,,,,,,,,
introduction,20,124452,0.0-8.0-1.0-0.0,q8c435wa,,,,,,3232.0,3222,62bdeb6839de2a6585202286,,3222,,calibration,,,,,,,,,,,,,,
introduction,21,124454,0.0-8.0-2.0,q8c435wa,,,,,,,,62bdeb6839de2a6585202286,,,,,,,,,,,,,,,,,,
introduction,22,126455,0.0-8.0-0.1,q8c435wa,,,,,,,,62bdeb6839de2a6585202286,,<p>CAREFUL. That was too slow.</p>,2684.0,calibration,,,,,,,,,,,,,,
introduction,23,128906,0.0-8.0-1.1-0.1,q8c435wa,,,,,,2445.0,3311,62bdeb6839de2a6585202286,,3311,,calibration,,,,,,,,,,,,,,
introduction,24,128908,0.0-8.0-2.1,q8c435wa,,,,,,,,62bdeb6839de2a6585202286,,,,,,,,,,,,,,,,,,
introduction,25,130911,0.0-8.0-0.2,q8c435wa,,,,,,,,62bdeb6839de2a6585202286,,<p>CAREFUL. That was too slow.</p>,1726.0,calibration,,,,,,,,,,,,,,
introduction,26,133043,0.0-8.0-1.2-0.2,q8c435wa,,,,,,2125.0,3322,62bdeb6839de2a6585202286,,3322,,calibration,,,,,,,,,,,,,,
