trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6151,0.0-2.0,8wdhrvzp,,,,,,3635.0,62daa52d86e66e5feaf3bc15,62daa52d86e66e5feaf3bc15,,,,,,,,,,,,,,,,,,
introduction,3,8465,0.0-3.0,8wdhrvzp,,,,,,2311.0,62daa52d86e66e5feaf3bc15,62daa52d86e66e5feaf3bc15,,,,,,,,,,,,,,,,,,
introduction,4,19815,0.0-4.0-0.0,8wdhrvzp,,,,,,11348.0,,62daa52d86e66e5feaf3bc15,"[{""page_index"":0,""viewing_time"":1793},{""page_index"":1,""viewing_time"":7629},{""page_index"":2,""viewing_time"":1926}]",,,,,,,,,,,,,,,,,
introduction,5,21276,0.0-5.0-0.0,8wdhrvzp,,,,,,1459.0,1,62daa52d86e66e5feaf3bc15,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,22039,0.0-5.0-0.1,8wdhrvzp,,,,,,762.0,2,62daa52d86e66e5feaf3bc15,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,23066,0.0-5.0-0.2,8wdhrvzp,,,,,,1026.0,1,62daa52d86e66e5feaf3bc15,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,23980,0.0-5.0-0.3,8wdhrvzp,,,,,,914.0,3,62daa52d86e66e5feaf3bc15,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,24685,0.0-5.0-0.4,8wdhrvzp,,,,,,703.0,2,62daa52d86e66e5feaf3bc15,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,25347,0.0-5.0-0.5,8wdhrvzp,,,,,,662.0,3,62daa52d86e66e5feaf3bc15,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,26188,0.0-5.0-0.6,8wdhrvzp,,,,,,840.0,1,62daa52d86e66e5feaf3bc15,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,26928,0.0-5.0-0.7,8wdhrvzp,,,,,,740.0,2,62daa52d86e66e5feaf3bc15,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,27613,0.0-5.0-0.8,8wdhrvzp,,,,,,684.0,3,62daa52d86e66e5feaf3bc15,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,28314,0.0-5.0-0.9,8wdhrvzp,,,,,,700.0,2,62daa52d86e66e5feaf3bc15,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,28933,0.0-5.0-0.10,8wdhrvzp,,,,,,619.0,1,62daa52d86e66e5feaf3bc15,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,29593,0.0-5.0-0.11,8wdhrvzp,,,,,,660.0,3,62daa52d86e66e5feaf3bc15,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,53877,0.0-6.0-0.0,8wdhrvzp,,,,,,24282.0,,62daa52d86e66e5feaf3bc15,"[{""page_index"":0,""viewing_time"":1127},{""page_index"":1,""viewing_time"":3687},{""page_index"":2,""viewing_time"":18034},{""page_index"":3,""viewing_time"":1433}]",,,,,,,,,,,,,,,,,
introduction,19,65753,0.0-8.0-0.0,8wdhrvzp,,,,,,,,62daa52d86e66e5feaf3bc15,,img/Red_circle.png,2451.0,calibration,,,,,,,,,,,,,,
introduction,20,67804,0.0-8.0-1.0-0.0,8wdhrvzp,,,,,,2046.0,222,62daa52d86e66e5feaf3bc15,,2222,,calibration,,,,,,,,,,,,,,
introduction,21,70473,0.0-8.0-1.1-0.1,8wdhrvzp,,,,,,2666.0,2222,62daa52d86e66e5feaf3bc15,,2222,,calibration,,,,,,,,,,,,,,
introduction,22,72475,0.0-8.0-2.0,8wdhrvzp,,,,,,,,62daa52d86e66e5feaf3bc15,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,23,74930,0.0-8.0-0.1,8wdhrvzp,,,,,,,,62daa52d86e66e5feaf3bc15,,img/Red_circle.png,2815.0,calibration,,,,,,,,,,,,,,
introduction,24,76603,0.0-8.0-1.2-0.2,8wdhrvzp,,,,,,1671.0,2121,62daa52d86e66e5feaf3bc15,,2121,,calibration,,,,,,,,,,,,,,
introduction,25,76603,0.0-8.0-2.1,8wdhrvzp,,,,,,,,62daa52d86e66e5feaf3bc15,,,,,,,,,,,,,,,,,,
introduction,26,78605,0.0-8.0-0.2,8wdhrvzp,,,,,,,,62daa52d86e66e5feaf3bc15,,<p>CAREFUL. That was too slow.</p>,1789.0,calibration,,,,,,,,,,,,,,
introduction,27,81211,0.0-8.0-1.3-0.3,8wdhrvzp,,,,,,2603.0,231,62daa52d86e66e5feaf3bc15,,231,,calibration,,,,,,,,,,,,,,
introduction,28,81212,0.0-8.0-2.2,8wdhrvzp,,,,,,,,62daa52d86e66e5feaf3bc15,,,,,,,,,,,,,,,,,,
introduction,29,83003,0.0-8.0-0.3,8wdhrvzp,,,,,,,,62daa52d86e66e5feaf3bc15,,img/Red_circle.png,3320.0,calibration,,,,,,,,,,,,,,
introduction,30,83934,0.0-8.0-1.4-0.4,8wdhrvzp,,,,,,927.0,22,62daa52d86e66e5feaf3bc15,,22,,calibration,,,,,,,,,,,,,,
introduction,31,83934,0.0-8.0-2.3,8wdhrvzp,,,,,,,,62daa52d86e66e5feaf3bc15,,,,,,,,,,,,,,,,,,
introduction,32,85936,0.0-8.0-0.4,8wdhrvzp,,,,,,,,62daa52d86e66e5feaf3bc15,,<p>CAREFUL. That was too slow.</p>,2136.0,calibration,,,,,,,,,,,,,,
