trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10752,0.0-2.0,5072uoco,,,,,,6107.0,62e097c92160176b0b9c2619,62e097c92160176b0b9c2619,,,,,,,,,,,,,,,,,,
introduction,3,14301,0.0-3.0,5072uoco,,,,,,3536.0,62e097c92160176b0b9c2619,62e097c92160176b0b9c2619,,,,,,,,,,,,,,,,,,
introduction,4,19751,0.0-4.0-0.0,5072uoco,,,,,,5446.0,,62e097c92160176b0b9c2619,"[{""page_index"":0,""viewing_time"":1173},{""page_index"":1,""viewing_time"":3108},{""page_index"":2,""viewing_time"":1163}]",,,,,,,,,,,,,,,,,
introduction,5,21065,0.0-5.0-0.0,5072uoco,,,,,,1309.0,1,62e097c92160176b0b9c2619,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,21749,0.0-5.0-0.1,5072uoco,,,,,,681.0,2,62e097c92160176b0b9c2619,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,23216,0.0-5.0-0.2,5072uoco,,,,,,1464.0,1,62e097c92160176b0b9c2619,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,23968,0.0-5.0-0.3,5072uoco,,,,,,746.0,3,62e097c92160176b0b9c2619,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,24924,0.0-5.0-0.4,5072uoco,,,,,,950.0,2,62e097c92160176b0b9c2619,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,25647,0.0-5.0-0.5,5072uoco,,,,,,721.0,3,62e097c92160176b0b9c2619,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,26407,0.0-5.0-0.6,5072uoco,,,,,,757.0,1,62e097c92160176b0b9c2619,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,27212,0.0-5.0-0.7,5072uoco,,,,,,800.0,2,62e097c92160176b0b9c2619,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,27998,0.0-5.0-0.8,5072uoco,,,,,,783.0,3,62e097c92160176b0b9c2619,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,28811,0.0-5.0-0.9,5072uoco,,,,,,809.0,2,62e097c92160176b0b9c2619,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,29400,0.0-5.0-0.10,5072uoco,,,,,,586.0,1,62e097c92160176b0b9c2619,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,30130,0.0-5.0-0.11,5072uoco,,,,,,727.0,3,62e097c92160176b0b9c2619,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,51168,0.0-6.0-0.0,5072uoco,,,,,,21035.0,,62e097c92160176b0b9c2619,"[{""page_index"":0,""viewing_time"":1612},{""page_index"":1,""viewing_time"":2042},{""page_index"":2,""viewing_time"":13796},{""page_index"":3,""viewing_time"":3583}]",,,,,,,,,,,,,,,,,
introduction,19,66394,0.0-8.0-0.0,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,img/Red_circle.png,1507.0,calibration,,,,,,,,,,,,,,
introduction,20,68527,0.0-8.0-1.0-0.0,5072uoco,,,,,,2113.0,231,62e097c92160176b0b9c2619,,231,,calibration,,,,,,,,,,,,,,
introduction,21,68533,0.0-8.0-2.0,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,,,,,,,,,,,,,,,,,
introduction,22,70046,0.0-8.0-0.1,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,img/Red_circle.png,1866.0,calibration,,,,,,,,,,,,,,
introduction,23,72295,0.0-8.0-1.1-0.1,5072uoco,,,,,,2235.0,1313,62e097c92160176b0b9c2619,,1313,,calibration,,,,,,,,,,,,,,
introduction,24,72299,0.0-8.0-2.1,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,,,,,,,,,,,,,,,,,
introduction,25,74173,0.0-8.0-0.2,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,img/Red_circle.png,1909.0,calibration,,,,,,,,,,,,,,
introduction,26,76105,0.0-8.0-1.2-0.2,5072uoco,,,,,,1918.0,233,62e097c92160176b0b9c2619,,233,,calibration,,,,,,,,,,,,,,
introduction,27,76109,0.0-8.0-2.2,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,,,,,,,,,,,,,,,,,
introduction,28,78024,0.0-8.0-0.3,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,img/Red_circle.png,1158.0,calibration,,,,,,,,,,,,,,
introduction,29,80096,0.0-8.0-1.3-0.3,5072uoco,,,,,,2058.0,2231,62e097c92160176b0b9c2619,,2231,,calibration,,,,,,,,,,,,,,
introduction,30,80099,0.0-8.0-2.3,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,,,,,,,,,,,,,,,,,
introduction,31,81263,0.0-8.0-0.4,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,img/Red_circle.png,2324.0,calibration,,,,,,,,,,,,,,
introduction,32,83396,0.0-8.0-1.4-0.4,5072uoco,,,,,,2120.0,3221,62e097c92160176b0b9c2619,,3221,,calibration,,,,,,,,,,,,,,
introduction,33,83401,0.0-8.0-2.4,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,,,,,,,,,,,,,,,,,
introduction,34,85404,0.0-8.0-0.5,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,<p>CAREFUL. That was too slow.</p>,1394.0,calibration,,,,,,,,,,,,,,
introduction,35,87638,0.0-8.0-1.5-0.5,5072uoco,,,,,,2220.0,3211,62e097c92160176b0b9c2619,,3211,,calibration,,,,,,,,,,,,,,
introduction,36,87645,0.0-8.0-2.5,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,,,,,,,,,,,,,,,,,
introduction,37,89045,0.0-8.0-0.6,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,img/Red_circle.png,2518.0,calibration,,,,,,,,,,,,,,
introduction,38,90512,0.0-8.0-1.6-0.6,5072uoco,,,,,,1451.0,123,62e097c92160176b0b9c2619,,123,,calibration,,,,,,,,,,,,,,
introduction,39,90516,0.0-8.0-2.6,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,,,,,,,,,,,,,,,,,
introduction,40,92518,0.0-8.0-0.7,5072uoco,,,,,,,,62e097c92160176b0b9c2619,,<p>CAREFUL. That was too slow.</p>,1617.0,calibration,,,,,,,,,,,,,,
introduction,41,94263,0.0-8.0-1.7-0.7,5072uoco,,,,,,1732.0,311,62e097c92160176b0b9c2619,,311,,calibration,,,,,,,,,,,,,,
