trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,14324,0.0-2.0,e12w1ty6,,,,,,9382.0,62fc25ef4ce0d3d169b7a120,62fc25ef4ce0d3d169b7a120,,,,,,,,,,,,,,,,,,
introduction,3,17792,0.0-3.0,e12w1ty6,,,,,,3465.0,62fc25ef4ce0d3d169b7a120,62fc25ef4ce0d3d169b7a120,,,,,,,,,,,,,,,,,,
introduction,4,46602,0.0-4.0-0.0,e12w1ty6,,,,,,28810.0,,62fc25ef4ce0d3d169b7a120,"[{""page_index"":0,""viewing_time"":1674},{""page_index"":1,""viewing_time"":11901},{""page_index"":2,""viewing_time"":15235}]",,,,,,,,,,,,,,,,,
introduction,5,48395,0.0-5.0-0.0,e12w1ty6,,,,,,1791.0,1,62fc25ef4ce0d3d169b7a120,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,49674,0.0-5.0-0.1,e12w1ty6,,,,,,1279.0,2,62fc25ef4ce0d3d169b7a120,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,50433,0.0-5.0-0.2,e12w1ty6,,,,,,759.0,1,62fc25ef4ce0d3d169b7a120,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,51010,0.0-5.0-0.3,e12w1ty6,,,,,,577.0,3,62fc25ef4ce0d3d169b7a120,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,51609,0.0-5.0-0.4,e12w1ty6,,,,,,598.0,2,62fc25ef4ce0d3d169b7a120,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,52148,0.0-5.0-0.5,e12w1ty6,,,,,,538.0,3,62fc25ef4ce0d3d169b7a120,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,52745,0.0-5.0-0.6,e12w1ty6,,,,,,597.0,1,62fc25ef4ce0d3d169b7a120,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,53202,0.0-5.0-0.7,e12w1ty6,,,,,,457.0,2,62fc25ef4ce0d3d169b7a120,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,53666,0.0-5.0-0.8,e12w1ty6,,,,,,463.0,3,62fc25ef4ce0d3d169b7a120,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,54178,0.0-5.0-0.9,e12w1ty6,,,,,,511.0,2,62fc25ef4ce0d3d169b7a120,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,54694,0.0-5.0-0.10,e12w1ty6,,,,,,514.0,1,62fc25ef4ce0d3d169b7a120,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,55290,0.0-5.0-0.11,e12w1ty6,,,,,,596.0,3,62fc25ef4ce0d3d169b7a120,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,89606,0.0-6.0-0.0,e12w1ty6,,,,,,34315.0,,62fc25ef4ce0d3d169b7a120,"[{""page_index"":0,""viewing_time"":1867},{""page_index"":1,""viewing_time"":4642},{""page_index"":2,""viewing_time"":24772},{""page_index"":3,""viewing_time"":3034}]",,,,,,,,,,,,,,,,,
introduction,19,103972,0.0-8.0-0.0,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,img/Red_circle.png,1365.0,calibration,,,,,,,,,,,,,,
introduction,20,106993,0.0-8.0-1.0-0.0,e12w1ty6,,,,,,3020.0,121,62fc25ef4ce0d3d169b7a120,,121,,calibration,,,,,,,,,,,,,,
introduction,21,106994,0.0-8.0-2.0,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,,,,,,,,,,,,,,,,,
introduction,22,108369,0.0-8.0-0.1,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,img/Red_circle.png,3376.0,calibration,,,,,,,,,,,,,,
introduction,23,109938,0.0-8.0-1.1-0.1,e12w1ty6,,,,,,1565.0,1121,62fc25ef4ce0d3d169b7a120,,1121,,calibration,,,,,,,,,,,,,,
introduction,24,109938,0.0-8.0-2.1,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,,,,,,,,,,,,,,,,,
introduction,25,111941,0.0-8.0-0.2,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,<p>CAREFUL. That was too slow.</p>,2699.0,calibration,,,,,,,,,,,,,,
introduction,26,115338,0.0-8.0-1.2-0.2,e12w1ty6,,,,,,3393.0,33,62fc25ef4ce0d3d169b7a120,,33,,calibration,,,,,,,,,,,,,,
introduction,27,115338,0.0-8.0-2.2,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,,,,,,,,,,,,,,,,,
introduction,28,117342,0.0-8.0-0.3,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,<p>CAREFUL. That was too slow.</p>,2478.0,calibration,,,,,,,,,,,,,,
introduction,29,120042,0.0-8.0-1.3-0.3,e12w1ty6,,,,,,2697.0,2321,62fc25ef4ce0d3d169b7a120,,2321,,calibration,,,,,,,,,,,,,,
introduction,30,120043,0.0-8.0-2.3,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,,,,,,,,,,,,,,,,,
introduction,31,122057,0.0-8.0-0.4,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,<p>CAREFUL. That was too slow.</p>,2223.0,calibration,,,,,,,,,,,,,,
introduction,32,124451,0.0-8.0-1.4-0.4,e12w1ty6,,,,,,2390.0,1133,62fc25ef4ce0d3d169b7a120,,1133,,calibration,,,,,,,,,,,,,,
introduction,33,124451,0.0-8.0-2.4,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,,,,,,,,,,,,,,,,,
introduction,34,126462,0.0-8.0-0.5,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,<p>CAREFUL. That was too slow.</p>,1070.0,calibration,,,,,,,,,,,,,,
introduction,35,129425,0.0-8.0-1.5-0.5,e12w1ty6,,,,,,2961.0,1232,62fc25ef4ce0d3d169b7a120,,1232,,calibration,,,,,,,,,,,,,,
introduction,36,129426,0.0-8.0-2.5,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,,,,,,,,,,,,,,,,,
introduction,37,130509,0.0-8.0-0.6,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,img/Red_circle.png,1588.0,calibration,,,,,,,,,,,,,,
introduction,38,132057,0.0-8.0-1.6-0.6,e12w1ty6,,,,,,1547.0,122,62fc25ef4ce0d3d169b7a120,,122,,calibration,,,,,,,,,,,,,,
introduction,39,132058,0.0-8.0-2.6,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,,,,,,,,,,,,,,,,,
introduction,40,133658,0.0-8.0-0.7,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,img/Red_circle.png,1084.0,calibration,,,,,,,,,,,,,,
introduction,41,135995,0.0-8.0-1.7-0.7,e12w1ty6,,,,,,2333.0,3323,62fc25ef4ce0d3d169b7a120,,3323,,calibration,,,,,,,,,,,,,,
introduction,42,135995,0.0-8.0-2.7,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,,,,,,,,,,,,,,,,,
introduction,43,137094,0.0-8.0-0.8,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,img/Red_circle.png,3254.0,calibration,,,,,,,,,,,,,,
introduction,44,138706,0.0-8.0-1.8-0.8,e12w1ty6,,,,,,1609.0,313,62fc25ef4ce0d3d169b7a120,,313,,calibration,,,,,,,,,,,,,,
introduction,45,138706,0.0-8.0-2.8,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,,,,,,,,,,,,,,,,,
introduction,46,140707,0.0-8.0-0.9,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,<p>CAREFUL. That was too slow.</p>,1871.0,calibration,,,,,,,,,,,,,,
introduction,47,142666,0.0-8.0-1.9-0.9,e12w1ty6,,,,,,1955.0,1311,62fc25ef4ce0d3d169b7a120,,1311,,calibration,,,,,,,,,,,,,,
introduction,48,142666,0.0-8.0-2.9,e12w1ty6,,,,,,,,62fc25ef4ce0d3d169b7a120,,,,,,,,,,,,,,,,,,
