trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8938,0.0-2.0,utj8ej14,,,,,,4223.0,631813267e7e782d6759550b,631813267e7e782d6759550b,,,,,,,,,,,,,,,,,,
introduction,3,180844,0.0-3.0,utj8ej14,,,,,,171905.0,631813267e7e782d6759550b,631813267e7e782d6759550b,,,,,,,,,,,,,,,,,,
introduction,4,313399,0.0-4.0-0.0,utj8ej14,,,,,,132554.0,,631813267e7e782d6759550b,"[{""page_index"":0,""viewing_time"":127259},{""page_index"":1,""viewing_time"":4293},{""page_index"":2,""viewing_time"":1002}]",,,,,,,,,,,,,,,,,
introduction,5,313900,0.0-5.0-0.0,utj8ej14,,,,,,501.0,1,631813267e7e782d6759550b,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,314219,0.0-5.0-0.1,utj8ej14,,,,,,318.0,2,631813267e7e782d6759550b,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,314769,0.0-5.0-0.2,utj8ej14,,,,,,550.0,1,631813267e7e782d6759550b,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,315225,0.0-5.0-0.3,utj8ej14,,,,,,456.0,3,631813267e7e782d6759550b,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,315666,0.0-5.0-0.4,utj8ej14,,,,,,441.0,2,631813267e7e782d6759550b,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,316129,0.0-5.0-0.5,utj8ej14,,,,,,463.0,3,631813267e7e782d6759550b,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,316565,0.0-5.0-0.6,utj8ej14,,,,,,436.0,1,631813267e7e782d6759550b,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,316969,0.0-5.0-0.7,utj8ej14,,,,,,404.0,2,631813267e7e782d6759550b,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,317354,0.0-5.0-0.8,utj8ej14,,,,,,384.0,3,631813267e7e782d6759550b,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,317819,0.0-5.0-0.9,utj8ej14,,,,,,465.0,2,631813267e7e782d6759550b,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,318197,0.0-5.0-0.10,utj8ej14,,,,,,378.0,1,631813267e7e782d6759550b,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,318577,0.0-5.0-0.11,utj8ej14,,,,,,380.0,3,631813267e7e782d6759550b,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,501277,0.0-6.0-0.0,utj8ej14,,,,,,182700.0,,631813267e7e782d6759550b,"[{""page_index"":0,""viewing_time"":1636},{""page_index"":1,""viewing_time"":1440},{""page_index"":2,""viewing_time"":174056},{""page_index"":3,""viewing_time"":940},{""page_index"":2,""viewing_time"":4035},{""page_index"":3,""viewing_time"":593}]",,,,,,,,,,,,,,,,,
introduction,19,509060,0.0-8.0-0.0,utj8ej14,,,,,,,,631813267e7e782d6759550b,,img/Red_circle.png,2690.0,calibration,,,,,,,,,,,,,,
introduction,20,510327,0.0-8.0-1.0-0.0,utj8ej14,,,,,,1265.0,2133,631813267e7e782d6759550b,,2133,,calibration,,,,,,,,,,,,,,
introduction,21,510328,0.0-8.0-2.0,utj8ej14,,,,,,,,631813267e7e782d6759550b,,,,,,,,,,,,,,,,,,
introduction,22,512343,0.0-8.0-0.1,utj8ej14,,,,,,,,631813267e7e782d6759550b,,<p>CAREFUL. That was too slow.</p>,2544.0,calibration,,,,,,,,,,,,,,
introduction,23,513510,0.0-8.0-1.1-0.1,utj8ej14,,,,,,1166.0,1133,631813267e7e782d6759550b,,1133,,calibration,,,,,,,,,,,,,,
introduction,24,513510,0.0-8.0-2.1,utj8ej14,,,,,,,,631813267e7e782d6759550b,,,,,,,,,,,,,,,,,,
introduction,25,515520,0.0-8.0-0.2,utj8ej14,,,,,,,,631813267e7e782d6759550b,,<p>CAREFUL. That was too slow.</p>,3349.0,calibration,,,,,,,,,,,,,,
introduction,26,516347,0.0-8.0-1.2-0.2,utj8ej14,,,,,,826.0,223,631813267e7e782d6759550b,,223,,calibration,,,,,,,,,,,,,,
