trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10839,0.0-2.0,wjummq1l,,,,,,7998.0,63254db937c17e8e9200fd54,63254db937c17e8e9200fd54,,,,,,,,,,,,,,,,,,
introduction,3,18390,0.0-3.0,wjummq1l,,,,,,7546.0,63254db937c17e8e9200fd54,63254db937c17e8e9200fd54,,,,,,,,,,,,,,,,,,
introduction,4,275933,0.0-4.0-0.0,wjummq1l,,,,,,257542.0,,63254db937c17e8e9200fd54,"[{""page_index"":0,""viewing_time"":1339},{""page_index"":1,""viewing_time"":249399},{""page_index"":2,""viewing_time"":6803}]",,,,,,,,,,,,,,,,,
introduction,5,276718,0.0-5.0-0.0,wjummq1l,,,,,,782.0,1,63254db937c17e8e9200fd54,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,277261,0.0-5.0-0.1,wjummq1l,,,,,,542.0,2,63254db937c17e8e9200fd54,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,278092,0.0-5.0-0.2,wjummq1l,,,,,,831.0,1,63254db937c17e8e9200fd54,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,278836,0.0-5.0-0.3,wjummq1l,,,,,,743.0,3,63254db937c17e8e9200fd54,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,279428,0.0-5.0-0.4,wjummq1l,,,,,,592.0,2,63254db937c17e8e9200fd54,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,279908,0.0-5.0-0.5,wjummq1l,,,,,,479.0,3,63254db937c17e8e9200fd54,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,280460,0.0-5.0-0.6,wjummq1l,,,,,,551.0,1,63254db937c17e8e9200fd54,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,280980,0.0-5.0-0.7,wjummq1l,,,,,,520.0,2,63254db937c17e8e9200fd54,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,281684,0.0-5.0-0.8,wjummq1l,,,,,,703.0,3,63254db937c17e8e9200fd54,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,282149,0.0-5.0-0.9,wjummq1l,,,,,,465.0,2,63254db937c17e8e9200fd54,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,282596,0.0-5.0-0.10,wjummq1l,,,,,,446.0,1,63254db937c17e8e9200fd54,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,283196,0.0-5.0-0.11,wjummq1l,,,,,,599.0,3,63254db937c17e8e9200fd54,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,516776,0.0-6.0-0.0,wjummq1l,,,,,,233580.0,,63254db937c17e8e9200fd54,"[{""page_index"":0,""viewing_time"":121577},{""page_index"":1,""viewing_time"":45007},{""page_index"":2,""viewing_time"":64989},{""page_index"":3,""viewing_time"":2007}]",,,,,,,,,,,,,,,,,
introduction,19,556472,0.0-8.0-0.0,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,img/Red_circle.png,2471.0,calibration,,,,,,,,,,,,,,
introduction,20,559341,0.0-8.0-1.0-0.0,wjummq1l,,,,,,2866.0,1312,63254db937c17e8e9200fd54,,1312,,calibration,,,,,,,,,,,,,,
introduction,21,559342,0.0-8.0-2.0,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,,,,,,,,,,,,,,,,,
introduction,22,561353,0.0-8.0-0.1,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,<p>CAREFUL. That was too slow.</p>,2766.0,calibration,,,,,,,,,,,,,,
introduction,23,563445,0.0-8.0-1.1-0.1,wjummq1l,,,,,,2089.0,3122,63254db937c17e8e9200fd54,,3122,,calibration,,,,,,,,,,,,,,
introduction,24,563446,0.0-8.0-2.1,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,,,,,,,,,,,,,,,,,
introduction,25,565454,0.0-8.0-0.2,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,<p>CAREFUL. That was too slow.</p>,2743.0,calibration,,,,,,,,,,,,,,
introduction,26,570806,0.0-8.0-1.2-0.2,wjummq1l,,,,,,5350.0,2131,63254db937c17e8e9200fd54,,2131,,calibration,,,,,,,,,,,,,,
introduction,27,572819,0.0-8.0-2.2,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,28,575573,0.0-8.0-0.3,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,img/Red_circle.png,3200.0,calibration,,,,,,,,,,,,,,
introduction,29,577573,0.0-8.0-1.3-0.3,wjummq1l,,,,,,1998.0,2122,63254db937c17e8e9200fd54,,2122,,calibration,,,,,,,,,,,,,,
introduction,30,577575,0.0-8.0-2.3,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,,,,,,,,,,,,,,,,,
introduction,31,579587,0.0-8.0-0.4,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,<p>CAREFUL. That was too slow.</p>,1057.0,calibration,,,,,,,,,,,,,,
introduction,32,581036,0.0-8.0-1.4-0.4,wjummq1l,,,,,,1447.0,222,63254db937c17e8e9200fd54,,222,,calibration,,,,,,,,,,,,,,
introduction,33,581037,0.0-8.0-2.4,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,,,,,,,,,,,,,,,,,
introduction,34,582104,0.0-8.0-0.5,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,img/Red_circle.png,2366.0,calibration,,,,,,,,,,,,,,
introduction,35,584261,0.0-8.0-1.5-0.5,wjummq1l,,,,,,2154.0,2122,63254db937c17e8e9200fd54,,2122,,calibration,,,,,,,,,,,,,,
introduction,36,584262,0.0-8.0-2.5,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,,,,,,,,,,,,,,,,,
introduction,37,586268,0.0-8.0-0.6,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,<p>CAREFUL. That was too slow.</p>,1836.0,calibration,,,,,,,,,,,,,,
introduction,38,587725,0.0-8.0-1.6-0.6,wjummq1l,,,,,,1453.0,12,63254db937c17e8e9200fd54,,12,,calibration,,,,,,,,,,,,,,
introduction,39,587726,0.0-8.0-2.6,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,,,,,,,,,,,,,,,,,
introduction,40,589577,0.0-8.0-0.7,wjummq1l,,,,,,,,63254db937c17e8e9200fd54,,img/Red_circle.png,2539.0,calibration,,,,,,,,,,,,,,
introduction,41,591292,0.0-8.0-1.7-0.7,wjummq1l,,,,,,1713.0,211,63254db937c17e8e9200fd54,,211,,calibration,,,,,,,,,,,,,,
