trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,27994,0.0-2.0,typcyjbt,,,,,,5583.0,637e2af8fcc2c65c96d9e1a0,637e2af8fcc2c65c96d9e1a0,,,,,,,,,,,,,,,,,,
introduction,3,31993,0.0-3.0,typcyjbt,,,,,,3994.0,637e2af8fcc2c65c96d9e1a0,637e2af8fcc2c65c96d9e1a0,,,,,,,,,,,,,,,,,,
introduction,4,41324,0.0-4.0-0.0,typcyjbt,,,,,,9329.0,,637e2af8fcc2c65c96d9e1a0,"[{""page_index"":0,""viewing_time"":1250},{""page_index"":1,""viewing_time"":5111},{""page_index"":2,""viewing_time"":2967}]",,,,,,,,,,,,,,,,,
introduction,5,42527,0.0-5.0-0.0,typcyjbt,,,,,,1200.0,1,637e2af8fcc2c65c96d9e1a0,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,43136,0.0-5.0-0.1,typcyjbt,,,,,,608.0,2,637e2af8fcc2c65c96d9e1a0,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,43864,0.0-5.0-0.2,typcyjbt,,,,,,727.0,1,637e2af8fcc2c65c96d9e1a0,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,45435,0.0-5.0-0.3,typcyjbt,,,,,,1570.0,3,637e2af8fcc2c65c96d9e1a0,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,46226,0.0-5.0-0.4,typcyjbt,,,,,,790.0,2,637e2af8fcc2c65c96d9e1a0,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,47663,0.0-5.0-0.5,typcyjbt,,,,,,1436.0,3,637e2af8fcc2c65c96d9e1a0,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,48454,0.0-5.0-0.6,typcyjbt,,,,,,790.0,1,637e2af8fcc2c65c96d9e1a0,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,49141,0.0-5.0-0.7,typcyjbt,,,,,,687.0,2,637e2af8fcc2c65c96d9e1a0,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,49754,0.0-5.0-0.8,typcyjbt,,,,,,611.0,3,637e2af8fcc2c65c96d9e1a0,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,50346,0.0-5.0-0.9,typcyjbt,,,,,,591.0,2,637e2af8fcc2c65c96d9e1a0,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,50850,0.0-5.0-0.10,typcyjbt,,,,,,503.0,1,637e2af8fcc2c65c96d9e1a0,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,51529,0.0-5.0-0.11,typcyjbt,,,,,,678.0,3,637e2af8fcc2c65c96d9e1a0,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,96556,0.0-6.0-0.0,typcyjbt,,,,,,45026.0,,637e2af8fcc2c65c96d9e1a0,"[{""page_index"":0,""viewing_time"":1597},{""page_index"":1,""viewing_time"":7964},{""page_index"":2,""viewing_time"":31791},{""page_index"":3,""viewing_time"":3674}]",,,,,,,,,,,,,,,,,
introduction,19,129115,0.0-8.0-0.0,typcyjbt,,,,,,,,637e2af8fcc2c65c96d9e1a0,,img/Red_circle.png,2663.0,calibration,,,,,,,,,,,,,,
introduction,20,132389,0.0-8.0-1.0-0.0,typcyjbt,,,,,,3263.0,3313,637e2af8fcc2c65c96d9e1a0,,3313,,calibration,,,,,,,,,,,,,,
