trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,32586,0.0-2.0,yuuu7uxn,,,,,,17283.0,63ae31ff5c725a41082afc56,63ae31ff5c725a41082afc56,,,,,,,,,,,,,,,,,,
introduction,3,38810,0.0-3.0,yuuu7uxn,,,,,,6221.0,63ae31ff5c725a41082afc56,63ae31ff5c725a41082afc56,,,,,,,,,,,,,,,,,,
introduction,4,59961,0.0-4.0-0.0,yuuu7uxn,,,,,,21151.0,,63ae31ff5c725a41082afc56,"[{""page_index"":0,""viewing_time"":1847},{""page_index"":1,""viewing_time"":17264},{""page_index"":2,""viewing_time"":2040}]",,,,,,,,,,,,,,,,,
introduction,5,62005,0.0-5.0-0.0,yuuu7uxn,,,,,,2042.0,1,63ae31ff5c725a41082afc56,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,63651,0.0-5.0-0.1,yuuu7uxn,,,,,,1645.0,2,63ae31ff5c725a41082afc56,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,66180,0.0-5.0-0.2,yuuu7uxn,,,,,,2527.0,1,63ae31ff5c725a41082afc56,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,69066,0.0-5.0-0.3,yuuu7uxn,,,,,,2886.0,3,63ae31ff5c725a41082afc56,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,70363,0.0-5.0-0.4,yuuu7uxn,,,,,,1296.0,2,63ae31ff5c725a41082afc56,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,71387,0.0-5.0-0.5,yuuu7uxn,,,,,,1023.0,3,63ae31ff5c725a41082afc56,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,72500,0.0-5.0-0.6,yuuu7uxn,,,,,,1112.0,1,63ae31ff5c725a41082afc56,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,73572,0.0-5.0-0.7,yuuu7uxn,,,,,,1071.0,2,63ae31ff5c725a41082afc56,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,74324,0.0-5.0-0.8,yuuu7uxn,,,,,,751.0,3,63ae31ff5c725a41082afc56,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,75636,0.0-5.0-0.9,yuuu7uxn,,,,,,1310.0,2,63ae31ff5c725a41082afc56,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,76708,0.0-5.0-0.10,yuuu7uxn,,,,,,1071.0,1,63ae31ff5c725a41082afc56,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,77731,0.0-5.0-0.11,yuuu7uxn,,,,,,1023.0,3,63ae31ff5c725a41082afc56,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,176129,0.0-6.0-0.0,yuuu7uxn,,,,,,98397.0,,63ae31ff5c725a41082afc56,"[{""page_index"":0,""viewing_time"":7646},{""page_index"":1,""viewing_time"":20079},{""page_index"":2,""viewing_time"":64584},{""page_index"":3,""viewing_time"":6088}]",,,,,,,,,,,,,,,,,
introduction,19,224000,0.0-8.0-0.0,yuuu7uxn,,,,,,,,63ae31ff5c725a41082afc56,,img/Red_circle.png,2222.0,calibration,,,,,,,,,,,,,,
introduction,20,229978,0.0-8.0-1.0-0.0,yuuu7uxn,,,,,,5973.0,322,63ae31ff5c725a41082afc56,,322,,calibration,,,,,,,,,,,,,,
introduction,21,231983,0.0-8.0-2.0,yuuu7uxn,,,,,,,,63ae31ff5c725a41082afc56,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,234217,0.0-8.0-0.1,yuuu7uxn,,,,,,,,63ae31ff5c725a41082afc56,,img/Red_circle.png,2790.0,calibration,,,,,,,,,,,,,,
