trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,11434,0.0-2.0,g9x2mrmy,,,,,,7378.0,63d2a4b549eb02187fd40092,63d2a4b549eb02187fd40092,,,,,,,,,,,,,,,,,,
introduction,3,15308,0.0-3.0,g9x2mrmy,,,,,,3869.0,63d2a4b549eb02187fd40092,63d2a4b549eb02187fd40092,,,,,,,,,,,,,,,,,,
introduction,4,65971,0.0-4.0-0.0,g9x2mrmy,,,,,,50662.0,,63d2a4b549eb02187fd40092,"[{""page_index"":0,""viewing_time"":1140},{""page_index"":1,""viewing_time"":21586},{""page_index"":2,""viewing_time"":27936}]",,,,,,,,,,,,,,,,,
introduction,5,73321,0.0-5.0-0.0,g9x2mrmy,,,,,,7349.0,1,63d2a4b549eb02187fd40092,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,75001,0.0-5.0-0.1,g9x2mrmy,,,,,,1679.0,2,63d2a4b549eb02187fd40092,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,75985,0.0-5.0-0.2,g9x2mrmy,,,,,,983.0,1,63d2a4b549eb02187fd40092,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,76817,0.0-5.0-0.3,g9x2mrmy,,,,,,832.0,3,63d2a4b549eb02187fd40092,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,77513,0.0-5.0-0.4,g9x2mrmy,,,,,,696.0,2,63d2a4b549eb02187fd40092,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,78149,0.0-5.0-0.5,g9x2mrmy,,,,,,636.0,3,63d2a4b549eb02187fd40092,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,78834,0.0-5.0-0.6,g9x2mrmy,,,,,,685.0,1,63d2a4b549eb02187fd40092,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,79478,0.0-5.0-0.7,g9x2mrmy,,,,,,644.0,2,63d2a4b549eb02187fd40092,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,80125,0.0-5.0-0.8,g9x2mrmy,,,,,,646.0,3,63d2a4b549eb02187fd40092,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,80837,0.0-5.0-0.9,g9x2mrmy,,,,,,712.0,2,63d2a4b549eb02187fd40092,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,81457,0.0-5.0-0.10,g9x2mrmy,,,,,,620.0,1,63d2a4b549eb02187fd40092,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,82281,0.0-5.0-0.11,g9x2mrmy,,,,,,824.0,3,63d2a4b549eb02187fd40092,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,121945,0.0-6.0-0.0,g9x2mrmy,,,,,,39664.0,,63d2a4b549eb02187fd40092,"[{""page_index"":0,""viewing_time"":1743},{""page_index"":1,""viewing_time"":3681},{""page_index"":2,""viewing_time"":32948},{""page_index"":3,""viewing_time"":1292}]",,,,,,,,,,,,,,,,,
introduction,19,163189,0.0-8.0-0.0,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,img/Red_circle.png,1620.0,calibration,,,,,,,,,,,,,,
introduction,20,167491,0.0-8.0-1.0-0.0,g9x2mrmy,,,,,,4295.0,2312,63d2a4b549eb02187fd40092,,2313,,calibration,,,,,,,,,,,,,,
introduction,21,173070,0.0-8.0-1.1-0.1,g9x2mrmy,,,,,,5554.0,2313,63d2a4b549eb02187fd40092,,2313,,calibration,,,,,,,,,,,,,,
introduction,22,175070,0.0-8.0-2.0,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,23,176693,0.0-8.0-0.1,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,img/Red_circle.png,1883.0,calibration,,,,,,,,,,,,,,
introduction,24,179348,0.0-8.0-1.2-0.2,g9x2mrmy,,,,,,2647.0,2313,63d2a4b549eb02187fd40092,,2313,,calibration,,,,,,,,,,,,,,
introduction,25,179349,0.0-8.0-2.1,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,,,,,,,,,,,,,,,,,
introduction,26,181236,0.0-8.0-0.2,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,img/Red_circle.png,1846.0,calibration,,,,,,,,,,,,,,
introduction,27,183670,0.0-8.0-1.3-0.3,g9x2mrmy,,,,,,2431.0,1223,63d2a4b549eb02187fd40092,,1223,,calibration,,,,,,,,,,,,,,
introduction,28,183670,0.0-8.0-2.2,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,,,,,,,,,,,,,,,,,
introduction,29,185518,0.0-8.0-0.3,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,img/Red_circle.png,2192.0,calibration,,,,,,,,,,,,,,
introduction,30,187777,0.0-8.0-1.4-0.4,g9x2mrmy,,,,,,2257.0,3232,63d2a4b549eb02187fd40092,,3232,,calibration,,,,,,,,,,,,,,
introduction,31,187778,0.0-8.0-2.3,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,,,,,,,,,,,,,,,,,
introduction,32,189779,0.0-8.0-0.4,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,<p>CAREFUL. That was too slow.</p>,2754.0,calibration,,,,,,,,,,,,,,
introduction,33,191946,0.0-8.0-1.5-0.5,g9x2mrmy,,,,,,2166.0,3112,63d2a4b549eb02187fd40092,,3112,,calibration,,,,,,,,,,,,,,
introduction,34,191950,0.0-8.0-2.4,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,,,,,,,,,,,,,,,,,
introduction,35,193950,0.0-8.0-0.5,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,<p>CAREFUL. That was too slow.</p>,2043.0,calibration,,,,,,,,,,,,,,
introduction,36,195586,0.0-8.0-1.6-0.6,g9x2mrmy,,,,,,1634.0,322,63d2a4b549eb02187fd40092,,322,,calibration,,,,,,,,,,,,,,
introduction,37,195588,0.0-8.0-2.5,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,,,,,,,,,,,,,,,,,
introduction,38,197588,0.0-8.0-0.6,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,<p>CAREFUL. That was too slow.</p>,1964.0,calibration,,,,,,,,,,,,,,
introduction,39,199158,0.0-8.0-1.7-0.7,g9x2mrmy,,,,,,1568.0,2222,63d2a4b549eb02187fd40092,,2222,,calibration,,,,,,,,,,,,,,
introduction,40,199174,0.0-8.0-2.6,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,,,,,,,,,,,,,,,,,
introduction,41,201140,0.0-8.0-0.7,g9x2mrmy,,,,,,,,63d2a4b549eb02187fd40092,,img/Red_circle.png,1260.0,calibration,,,,,,,,,,,,,,
