trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,11088,0.0-2.0,rfx7xaqk,,,,,,4704.0,64014527b3cff9215591758d,64014527b3cff9215591758d,,,,,,,,,,,,,,,,,,
introduction,3,13572,0.0-3.0,rfx7xaqk,,,,,,2482.0,64014527b3cff9215591758d,64014527b3cff9215591758d,,,,,,,,,,,,,,,,,,
introduction,4,91273,0.0-4.0-0.0,rfx7xaqk,,,,,,77700.0,,64014527b3cff9215591758d,"[{""page_index"":0,""viewing_time"":986},{""page_index"":1,""viewing_time"":75682},{""page_index"":2,""viewing_time"":1032}]",,,,,,,,,,,,,,,,,
introduction,5,91895,0.0-5.0-0.0,rfx7xaqk,,,,,,621.0,1,64014527b3cff9215591758d,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,92298,0.0-5.0-0.1,rfx7xaqk,,,,,,404.0,2,64014527b3cff9215591758d,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,93022,0.0-5.0-0.2,rfx7xaqk,,,,,,724.0,1,64014527b3cff9215591758d,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,93823,0.0-5.0-0.3,rfx7xaqk,,,,,,801.0,3,64014527b3cff9215591758d,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,94340,0.0-5.0-0.4,rfx7xaqk,,,,,,517.0,2,64014527b3cff9215591758d,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,94872,0.0-5.0-0.5,rfx7xaqk,,,,,,532.0,3,64014527b3cff9215591758d,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,95425,0.0-5.0-0.6,rfx7xaqk,,,,,,553.0,1,64014527b3cff9215591758d,,Press: 1,,,,,,,,,,,,,,,,
