trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8050,0.0-2.0,ofsq32jq,,,,,,4617.0,640d43c9451ce148162a7643,640d43c9451ce148162a7643,,,,,,,,,,,,,,,,,,
introduction,3,12211,0.0-3.0,ofsq32jq,,,,,,4155.0,640d43c9451ce148162a7643,640d43c9451ce148162a7643,,,,,,,,,,,,,,,,,,
introduction,4,21296,0.0-4.0-0.0,ofsq32jq,,,,,,9083.0,,640d43c9451ce148162a7643,"[{""page_index"":0,""viewing_time"":1067},{""page_index"":1,""viewing_time"":6560},{""page_index"":2,""viewing_time"":1456}]",,,,,,,,,,,,,,,,,
introduction,5,21935,0.0-5.0-0.0,ofsq32jq,,,,,,636.0,1,640d43c9451ce148162a7643,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,22405,0.0-5.0-0.1,ofsq32jq,,,,,,468.0,2,640d43c9451ce148162a7643,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,23070,0.0-5.0-0.2,ofsq32jq,,,,,,664.0,1,640d43c9451ce148162a7643,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,23684,0.0-5.0-0.3,ofsq32jq,,,,,,613.0,3,640d43c9451ce148162a7643,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,24209,0.0-5.0-0.4,ofsq32jq,,,,,,524.0,2,640d43c9451ce148162a7643,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,24741,0.0-5.0-0.5,ofsq32jq,,,,,,531.0,3,640d43c9451ce148162a7643,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,25244,0.0-5.0-0.6,ofsq32jq,,,,,,502.0,1,640d43c9451ce148162a7643,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,25701,0.0-5.0-0.7,ofsq32jq,,,,,,456.0,2,640d43c9451ce148162a7643,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,26171,0.0-5.0-0.8,ofsq32jq,,,,,,470.0,3,640d43c9451ce148162a7643,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,27060,0.0-5.0-0.9,ofsq32jq,,,,,,888.0,2,640d43c9451ce148162a7643,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,27582,0.0-5.0-0.10,ofsq32jq,,,,,,521.0,1,640d43c9451ce148162a7643,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,28216,0.0-5.0-0.11,ofsq32jq,,,,,,633.0,3,640d43c9451ce148162a7643,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,115609,0.0-6.0-0.0,ofsq32jq,,,,,,87393.0,,640d43c9451ce148162a7643,"[{""page_index"":0,""viewing_time"":3327},{""page_index"":1,""viewing_time"":28965},{""page_index"":2,""viewing_time"":53900},{""page_index"":3,""viewing_time"":1201}]",,,,,,,,,,,,,,,,,
introduction,19,127944,0.0-8.0-0.0,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,img/Red_circle.png,1777.0,calibration,,,,,,,,,,,,,,
introduction,20,132499,0.0-8.0-1.0-0.0,ofsq32jq,,,,,,4550.0,3323,640d43c9451ce148162a7643,,3323,,calibration,,,,,,,,,,,,,,
introduction,21,134502,0.0-8.0-2.0,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,136281,0.0-8.0-0.1,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,img/Red_circle.png,1916.0,calibration,,,,,,,,,,,,,,
introduction,23,137568,0.0-8.0-1.1-0.1,ofsq32jq,,,,,,1283.0,32,640d43c9451ce148162a7643,,32,,calibration,,,,,,,,,,,,,,
introduction,24,137569,0.0-8.0-2.1,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,,,,,,,,,,,,,,,,,
introduction,25,139488,0.0-8.0-0.2,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,img/Red_circle.png,2274.0,calibration,,,,,,,,,,,,,,
introduction,26,141002,0.0-8.0-1.2-0.2,ofsq32jq,,,,,,1512.0,2222,640d43c9451ce148162a7643,,2222,,calibration,,,,,,,,,,,,,,
introduction,27,141003,0.0-8.0-2.2,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,,,,,,,,,,,,,,,,,
introduction,28,143004,0.0-8.0-0.3,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,<p>CAREFUL. That was too slow.</p>,3459.0,calibration,,,,,,,,,,,,,,
introduction,29,144089,0.0-8.0-1.3-0.3,ofsq32jq,,,,,,1081.0,13,640d43c9451ce148162a7643,,13,,calibration,,,,,,,,,,,,,,
introduction,30,144090,0.0-8.0-2.3,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,,,,,,,,,,,,,,,,,
introduction,31,146091,0.0-8.0-0.4,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,<p>CAREFUL. That was too slow.</p>,1006.0,calibration,,,,,,,,,,,,,,
introduction,32,147317,0.0-8.0-1.4-0.4,ofsq32jq,,,,,,1222.0,322,640d43c9451ce148162a7643,,322,,calibration,,,,,,,,,,,,,,
introduction,33,147318,0.0-8.0-2.4,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,,,,,,,,,,,,,,,,,
introduction,34,148326,0.0-8.0-0.5,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,img/Red_circle.png,1777.0,calibration,,,,,,,,,,,,,,
introduction,35,150285,0.0-8.0-1.5-0.5,ofsq32jq,,,,,,1955.0,2311,640d43c9451ce148162a7643,,2311,,calibration,,,,,,,,,,,,,,
introduction,36,150287,0.0-8.0-2.5,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,,,,,,,,,,,,,,,,,
introduction,37,152066,0.0-8.0-0.6,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,img/Red_circle.png,1670.0,calibration,,,,,,,,,,,,,,
introduction,38,154331,0.0-8.0-1.6-0.6,ofsq32jq,,,,,,2261.0,1232,640d43c9451ce148162a7643,,1232,,calibration,,,,,,,,,,,,,,
introduction,39,154332,0.0-8.0-2.6,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,,,,,,,,,,,,,,,,,
introduction,40,156004,0.0-8.0-0.7,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,img/Red_circle.png,2826.0,calibration,,,,,,,,,,,,,,
introduction,41,157860,0.0-8.0-1.7-0.7,ofsq32jq,,,,,,1852.0,3231,640d43c9451ce148162a7643,,3231,,calibration,,,,,,,,,,,,,,
introduction,42,157862,0.0-8.0-2.7,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,,,,,,,,,,,,,,,,,
introduction,43,159862,0.0-8.0-0.8,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,<p>CAREFUL. That was too slow.</p>,2404.0,calibration,,,,,,,,,,,,,,
introduction,44,161204,0.0-8.0-1.8-0.8,ofsq32jq,,,,,,1338.0,122,640d43c9451ce148162a7643,,122,,calibration,,,,,,,,,,,,,,
introduction,45,161205,0.0-8.0-2.8,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,,,,,,,,,,,,,,,,,
introduction,46,163206,0.0-8.0-0.9,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,<p>CAREFUL. That was too slow.</p>,2468.0,calibration,,,,,,,,,,,,,,
introduction,47,164851,0.0-8.0-1.9-0.9,ofsq32jq,,,,,,1642.0,3233,640d43c9451ce148162a7643,,3233,,calibration,,,,,,,,,,,,,,
introduction,48,164853,0.0-8.0-2.9,ofsq32jq,,,,,,,,640d43c9451ce148162a7643,,,,,,,,,,,,,,,,,,
