trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10636,0.0-2.0,kuodbo4o,,,,,,2820.0,645a56b4758161b4233dd71c,645a56b4758161b4233dd71c,,,,,,,,,,,,,,,,,,
introduction,3,13152,0.0-3.0,kuodbo4o,,,,,,2514.0,645a56b4758161b4233dd71c,645a56b4758161b4233dd71c,,,,,,,,,,,,,,,,,,
introduction,4,18452,0.0-4.0-0.0,kuodbo4o,,,,,,5300.0,,645a56b4758161b4233dd71c,"[{""page_index"":0,""viewing_time"":999},{""page_index"":1,""viewing_time"":3383},{""page_index"":2,""viewing_time"":917}]",,,,,,,,,,,,,,,,,
introduction,5,19224,0.0-5.0-0.0,kuodbo4o,,,,,,770.0,1,645a56b4758161b4233dd71c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,19742,0.0-5.0-0.1,kuodbo4o,,,,,,518.0,2,645a56b4758161b4233dd71c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,20496,0.0-5.0-0.2,kuodbo4o,,,,,,753.0,1,645a56b4758161b4233dd71c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,21023,0.0-5.0-0.3,kuodbo4o,,,,,,526.0,3,645a56b4758161b4233dd71c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,21575,0.0-5.0-0.4,kuodbo4o,,,,,,552.0,2,645a56b4758161b4233dd71c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,22185,0.0-5.0-0.5,kuodbo4o,,,,,,610.0,3,645a56b4758161b4233dd71c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22602,0.0-5.0-0.6,kuodbo4o,,,,,,417.0,1,645a56b4758161b4233dd71c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,23119,0.0-5.0-0.7,kuodbo4o,,,,,,517.0,2,645a56b4758161b4233dd71c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,23570,0.0-5.0-0.8,kuodbo4o,,,,,,451.0,3,645a56b4758161b4233dd71c,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,24294,0.0-5.0-0.9,kuodbo4o,,,,,,724.0,2,645a56b4758161b4233dd71c,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,24770,0.0-5.0-0.10,kuodbo4o,,,,,,476.0,1,645a56b4758161b4233dd71c,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,25244,0.0-5.0-0.11,kuodbo4o,,,,,,474.0,3,645a56b4758161b4233dd71c,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,44067,0.0-6.0-0.0,kuodbo4o,,,,,,18822.0,,645a56b4758161b4233dd71c,"[{""page_index"":0,""viewing_time"":756},{""page_index"":1,""viewing_time"":1317},{""page_index"":2,""viewing_time"":15599},{""page_index"":3,""viewing_time"":1150}]",,,,,,,,,,,,,,,,,
introduction,19,54282,0.0-8.0-0.0,kuodbo4o,,,,,,,,645a56b4758161b4233dd71c,,img/Red_circle.png,2828.0,calibration,,,,,,,,,,,,,,
introduction,20,55811,0.0-8.0-1.0-0.0,kuodbo4o,,,,,,1525.0,232,645a56b4758161b4233dd71c,,232,,calibration,,,,,,,,,,,,,,
