trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6110,0.0-2.0,remy3a4o,,,,,,4414.0,647869e6f69318bacc341d53,647869e6f69318bacc341d53,,,,,,,,,,,,,,,,,,
introduction,3,9143,0.0-3.0,remy3a4o,,,,,,3030.0,647869e6f69318bacc341d53,647869e6f69318bacc341d53,,,,,,,,,,,,,,,,,,
introduction,4,15713,0.0-4.0-0.0,remy3a4o,,,,,,6569.0,,647869e6f69318bacc341d53,"[{""page_index"":0,""viewing_time"":1217},{""page_index"":1,""viewing_time"":4246},{""page_index"":2,""viewing_time"":1106}]",,,,,,,,,,,,,,,,,
introduction,5,18576,0.0-5.0-0.0,remy3a4o,,,,,,2862.0,1,647869e6f69318bacc341d53,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,19505,0.0-5.0-0.1,remy3a4o,,,,,,928.0,2,647869e6f69318bacc341d53,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,21687,0.0-5.0-0.2,remy3a4o,,,,,,2182.0,1,647869e6f69318bacc341d53,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,22879,0.0-5.0-0.3,remy3a4o,,,,,,1191.0,3,647869e6f69318bacc341d53,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,23911,0.0-5.0-0.4,remy3a4o,,,,,,1031.0,2,647869e6f69318bacc341d53,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,24752,0.0-5.0-0.5,remy3a4o,,,,,,839.0,3,647869e6f69318bacc341d53,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,25599,0.0-5.0-0.6,remy3a4o,,,,,,847.0,1,647869e6f69318bacc341d53,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,26479,0.0-5.0-0.7,remy3a4o,,,,,,880.0,2,647869e6f69318bacc341d53,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,27279,0.0-5.0-0.8,remy3a4o,,,,,,799.0,3,647869e6f69318bacc341d53,,Press: 3,,,,,,,,,,,,,,,,
