trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,49584,0.0-2.0,pctcsfth,,,,,,29271.0,64d901edd0bcbd2cf64d560f,64d901edd0bcbd2cf64d560f,,,,,,,,,,,,,,,,,,
introduction,3,57622,0.0-3.0,pctcsfth,,,,,,8034.0,64d901edd0bcbd2cf64d560f,64d901edd0bcbd2cf64d560f,,,,,,,,,,,,,,,,,,
introduction,4,61777,0.0-4.0-0.0,pctcsfth,,,,,,4154.0,,64d901edd0bcbd2cf64d560f,"[{""page_index"":0,""viewing_time"":1631},{""page_index"":1,""viewing_time"":1198},{""page_index"":2,""viewing_time"":1324}]",,,,,,,,,,,,,,,,,
introduction,5,63186,0.0-5.0-0.0,pctcsfth,,,,,,1408.0,1,64d901edd0bcbd2cf64d560f,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,63710,0.0-5.0-0.1,pctcsfth,,,,,,523.0,2,64d901edd0bcbd2cf64d560f,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,64495,0.0-5.0-0.2,pctcsfth,,,,,,784.0,1,64d901edd0bcbd2cf64d560f,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,65108,0.0-5.0-0.3,pctcsfth,,,,,,613.0,3,64d901edd0bcbd2cf64d560f,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,65622,0.0-5.0-0.4,pctcsfth,,,,,,513.0,2,64d901edd0bcbd2cf64d560f,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,66177,0.0-5.0-0.5,pctcsfth,,,,,,555.0,3,64d901edd0bcbd2cf64d560f,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,66756,0.0-5.0-0.6,pctcsfth,,,,,,578.0,1,64d901edd0bcbd2cf64d560f,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,67168,0.0-5.0-0.7,pctcsfth,,,,,,411.0,2,64d901edd0bcbd2cf64d560f,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,67588,0.0-5.0-0.8,pctcsfth,,,,,,420.0,3,64d901edd0bcbd2cf64d560f,,Press: 3,,,,,,,,,,,,,,,,
