trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,16176,0.0-2.0,w6yfjktm,,,,,,12997.0,6516d8eb49865c2cea5ff3d8,6516d8eb49865c2cea5ff3d8,,,,,,,,,,,,,,,,,,
introduction,3,20186,0.0-3.0,w6yfjktm,,,,,,4002.0,6516d8eb49865c2cea5ff3d8,6516d8eb49865c2cea5ff3d8,,,,,,,,,,,,,,,,,,
introduction,4,29544,0.0-4.0-0.0,w6yfjktm,,,,,,9356.0,,6516d8eb49865c2cea5ff3d8,"[{""page_index"":0,""viewing_time"":2117},{""page_index"":1,""viewing_time"":5682},{""page_index"":2,""viewing_time"":1557}]",,,,,,,,,,,,,,,,,
introduction,5,31427,0.0-5.0-0.0,w6yfjktm,,,,,,1879.0,1,6516d8eb49865c2cea5ff3d8,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,32391,0.0-5.0-0.1,w6yfjktm,,,,,,962.0,2,6516d8eb49865c2cea5ff3d8,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,34298,0.0-5.0-0.2,w6yfjktm,,,,,,1905.0,1,6516d8eb49865c2cea5ff3d8,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,35035,0.0-5.0-0.3,w6yfjktm,,,,,,736.0,3,6516d8eb49865c2cea5ff3d8,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,35632,0.0-5.0-0.4,w6yfjktm,,,,,,596.0,2,6516d8eb49865c2cea5ff3d8,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,36229,0.0-5.0-0.5,w6yfjktm,,,,,,595.0,3,6516d8eb49865c2cea5ff3d8,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,36747,0.0-5.0-0.6,w6yfjktm,,,,,,517.0,1,6516d8eb49865c2cea5ff3d8,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,37265,0.0-5.0-0.7,w6yfjktm,,,,,,517.0,2,6516d8eb49865c2cea5ff3d8,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,37732,0.0-5.0-0.8,w6yfjktm,,,,,,466.0,3,6516d8eb49865c2cea5ff3d8,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,38297,0.0-5.0-0.9,w6yfjktm,,,,,,563.0,2,6516d8eb49865c2cea5ff3d8,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,38791,0.0-5.0-0.10,w6yfjktm,,,,,,493.0,1,6516d8eb49865c2cea5ff3d8,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,39260,0.0-5.0-0.11,w6yfjktm,,,,,,468.0,3,6516d8eb49865c2cea5ff3d8,,Press: 3,,,,,,,,,,,,,,,,
