trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,11271,0.0-2.0,vy998agc,,,,,,7696.0,6526f601bedbae17738408b1,6526f601bedbae17738408b1,,,,,,,,,,,,,,,,,,
introduction,3,19690,0.0-3.0,vy998agc,,,,,,8416.0,6526f601bedbae17738408b1,6526f601bedbae17738408b1,,,,,,,,,,,,,,,,,,
introduction,4,115909,0.0-4.0-0.0,vy998agc,,,,,,96219.0,,6526f601bedbae17738408b1,"[{""page_index"":0,""viewing_time"":2675},{""page_index"":1,""viewing_time"":89365},{""page_index"":2,""viewing_time"":4178}]",,,,,,,,,,,,,,,,,
introduction,5,116537,0.0-5.0-0.0,vy998agc,,,,,,627.0,1,6526f601bedbae17738408b1,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,117369,0.0-5.0-0.1,vy998agc,,,,,,829.0,2,6526f601bedbae17738408b1,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,118040,0.0-5.0-0.2,vy998agc,,,,,,671.0,1,6526f601bedbae17738408b1,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,118635,0.0-5.0-0.3,vy998agc,,,,,,593.0,3,6526f601bedbae17738408b1,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,119322,0.0-5.0-0.4,vy998agc,,,,,,688.0,2,6526f601bedbae17738408b1,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,120206,0.0-5.0-0.5,vy998agc,,,,,,883.0,3,6526f601bedbae17738408b1,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,120909,0.0-5.0-0.6,vy998agc,,,,,,702.0,1,6526f601bedbae17738408b1,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,122173,0.0-5.0-0.7,vy998agc,,,,,,1264.0,2,6526f601bedbae17738408b1,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,122838,0.0-5.0-0.8,vy998agc,,,,,,664.0,3,6526f601bedbae17738408b1,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,123582,0.0-5.0-0.9,vy998agc,,,,,,743.0,2,6526f601bedbae17738408b1,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,124148,0.0-5.0-0.10,vy998agc,,,,,,566.0,1,6526f601bedbae17738408b1,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,124754,0.0-5.0-0.11,vy998agc,,,,,,605.0,3,6526f601bedbae17738408b1,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,150758,0.0-6.0-0.0,vy998agc,,,,,,26003.0,,6526f601bedbae17738408b1,"[{""page_index"":0,""viewing_time"":1596},{""page_index"":1,""viewing_time"":3214},{""page_index"":2,""viewing_time"":19206},{""page_index"":3,""viewing_time"":1987}]",,,,,,,,,,,,,,,,,
introduction,19,175292,0.0-8.0-0.0,vy998agc,,,,,,,,6526f601bedbae17738408b1,,img/Red_circle.png,1751.0,calibration,,,,,,,,,,,,,,
introduction,20,179203,0.0-8.0-1.0-0.0,vy998agc,,,,,,3904.0,1333,6526f601bedbae17738408b1,,1333,,calibration,,,,,,,,,,,,,,
introduction,21,181206,0.0-8.0-2.0,vy998agc,,,,,,,,6526f601bedbae17738408b1,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,182972,0.0-8.0-0.1,vy998agc,,,,,,,,6526f601bedbae17738408b1,,img/Red_circle.png,2659.0,calibration,,,,,,,,,,,,,,
introduction,23,185352,0.0-8.0-1.1-0.1,vy998agc,,,,,,2361.0,3122,6526f601bedbae17738408b1,,3122,,calibration,,,,,,,,,,,,,,
