trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,16615,0.0-2.0,gcuyshtp,,,,,,13332.0,652fcdc57cc2ae3b4731184b,652fcdc57cc2ae3b4731184b,,,,,,,,,,,,,,,,,,
introduction,3,23316,0.0-3.0,gcuyshtp,,,,,,6697.0,652fcdc57cc2ae3b4731184b,652fcdc57cc2ae3b4731184b,,,,,,,,,,,,,,,,,,
introduction,4,83366,0.0-4.0-0.0,gcuyshtp,,,,,,60048.0,,652fcdc57cc2ae3b4731184b,"[{""page_index"":0,""viewing_time"":3160},{""page_index"":1,""viewing_time"":31800},{""page_index"":2,""viewing_time"":25087}]",,,,,,,,,,,,,,,,,
introduction,5,85089,0.0-5.0-0.0,gcuyshtp,,,,,,1717.0,1,652fcdc57cc2ae3b4731184b,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,86594,0.0-5.0-0.1,gcuyshtp,,,,,,1502.0,2,652fcdc57cc2ae3b4731184b,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,90084,0.0-5.0-0.2,gcuyshtp,,,,,,3489.0,1,652fcdc57cc2ae3b4731184b,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,92034,0.0-5.0-0.3,gcuyshtp,,,,,,1948.0,3,652fcdc57cc2ae3b4731184b,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,93315,0.0-5.0-0.4,gcuyshtp,,,,,,1280.0,2,652fcdc57cc2ae3b4731184b,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,94105,0.0-5.0-0.5,gcuyshtp,,,,,,789.0,3,652fcdc57cc2ae3b4731184b,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,94760,0.0-5.0-0.6,gcuyshtp,,,,,,654.0,1,652fcdc57cc2ae3b4731184b,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,95499,0.0-5.0-0.7,gcuyshtp,,,,,,738.0,2,652fcdc57cc2ae3b4731184b,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,96146,0.0-5.0-0.8,gcuyshtp,,,,,,645.0,3,652fcdc57cc2ae3b4731184b,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,97032,0.0-5.0-0.9,gcuyshtp,,,,,,884.0,2,652fcdc57cc2ae3b4731184b,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,97662,0.0-5.0-0.10,gcuyshtp,,,,,,629.0,1,652fcdc57cc2ae3b4731184b,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,98321,0.0-5.0-0.11,gcuyshtp,,,,,,658.0,3,652fcdc57cc2ae3b4731184b,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,163866,0.0-6.0-0.0,gcuyshtp,,,,,,65544.0,,652fcdc57cc2ae3b4731184b,"[{""page_index"":0,""viewing_time"":3621},{""page_index"":1,""viewing_time"":11368},{""page_index"":2,""viewing_time"":46704},{""page_index"":3,""viewing_time"":3851}]",,,,,,,,,,,,,,,,,
introduction,19,194297,0.0-8.0-0.0,gcuyshtp,,,,,,,,652fcdc57cc2ae3b4731184b,,img/Red_circle.png,1005.0,calibration,,,,,,,,,,,,,,
introduction,20,201728,0.0-8.0-1.0-0.0,gcuyshtp,,,,,,7406.0,2212,652fcdc57cc2ae3b4731184b,,2212,,calibration,,,,,,,,,,,,,,
introduction,21,203735,0.0-8.0-2.0,gcuyshtp,,,,,,,,652fcdc57cc2ae3b4731184b,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
