trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,18194,0.0-2.0,rk4528ot,,,,,,9244.0,6535785fea3f8466589b948c,6535785fea3f8466589b948c,,,,,,,,,,,,,,,,,,
introduction,3,22086,0.0-3.0,rk4528ot,,,,,,3890.0,6535785fea3f8466589b948c,6535785fea3f8466589b948c,,,,,,,,,,,,,,,,,,
introduction,4,65731,0.0-4.0-0.0,rk4528ot,,,,,,43644.0,,6535785fea3f8466589b948c,"[{""page_index"":0,""viewing_time"":1870},{""page_index"":1,""viewing_time"":40706},{""page_index"":2,""viewing_time"":1068}]",,,,,,,,,,,,,,,,,
introduction,5,66691,0.0-5.0-0.0,rk4528ot,,,,,,958.0,1,6535785fea3f8466589b948c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,67344,0.0-5.0-0.1,rk4528ot,,,,,,651.0,2,6535785fea3f8466589b948c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,68056,0.0-5.0-0.2,rk4528ot,,,,,,711.0,1,6535785fea3f8466589b948c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,68831,0.0-5.0-0.3,rk4528ot,,,,,,774.0,3,6535785fea3f8466589b948c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,69472,0.0-5.0-0.4,rk4528ot,,,,,,641.0,2,6535785fea3f8466589b948c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,70152,0.0-5.0-0.5,rk4528ot,,,,,,679.0,3,6535785fea3f8466589b948c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,70864,0.0-5.0-0.6,rk4528ot,,,,,,711.0,1,6535785fea3f8466589b948c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,71464,0.0-5.0-0.7,rk4528ot,,,,,,599.0,2,6535785fea3f8466589b948c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,72232,0.0-5.0-0.8,rk4528ot,,,,,,767.0,3,6535785fea3f8466589b948c,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,72944,0.0-5.0-0.9,rk4528ot,,,,,,711.0,2,6535785fea3f8466589b948c,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,73608,0.0-5.0-0.10,rk4528ot,,,,,,663.0,1,6535785fea3f8466589b948c,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,74472,0.0-5.0-0.11,rk4528ot,,,,,,863.0,3,6535785fea3f8466589b948c,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,734827,0.0-6.0-0.0,rk4528ot,,,,,,660353.0,,6535785fea3f8466589b948c,"[{""page_index"":0,""viewing_time"":1426},{""page_index"":1,""viewing_time"":618345},{""page_index"":2,""viewing_time"":28865},{""page_index"":3,""viewing_time"":11717}]",,,,,,,,,,,,,,,,,
introduction,19,765081,0.0-8.0-0.0,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,img/Red_circle.png,1966.0,calibration,,,,,,,,,,,,,,
introduction,20,768753,0.0-8.0-1.0-0.0,rk4528ot,,,,,,3662.0,3312,6535785fea3f8466589b948c,,3312,,calibration,,,,,,,,,,,,,,
introduction,21,770762,0.0-8.0-2.0,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,772733,0.0-8.0-0.1,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,img/Red_circle.png,1223.0,calibration,,,,,,,,,,,,,,
introduction,23,774423,0.0-8.0-1.1-0.1,rk4528ot,,,,,,1686.0,2133,6535785fea3f8466589b948c,,2133,,calibration,,,,,,,,,,,,,,
introduction,24,774424,0.0-8.0-2.1,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,,,,,,,,,,,,,,,,,
introduction,25,775653,0.0-8.0-0.2,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,img/Red_circle.png,3143.0,calibration,,,,,,,,,,,,,,
introduction,26,776815,0.0-8.0-1.2-0.2,rk4528ot,,,,,,1157.0,21,6535785fea3f8466589b948c,,21,,calibration,,,,,,,,,,,,,,
introduction,27,776817,0.0-8.0-2.2,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,,,,,,,,,,,,,,,,,
introduction,28,778826,0.0-8.0-0.3,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,<p>CAREFUL. That was too slow.</p>,3384.0,calibration,,,,,,,,,,,,,,
introduction,29,781487,0.0-8.0-1.3-0.3,rk4528ot,,,,,,2656.0,3331,6535785fea3f8466589b948c,,3331,,calibration,,,,,,,,,,,,,,
introduction,30,781488,0.0-8.0-2.3,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,,,,,,,,,,,,,,,,,
introduction,31,783495,0.0-8.0-0.4,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,<p>CAREFUL. That was too slow.</p>,3043.0,calibration,,,,,,,,,,,,,,
introduction,32,785703,0.0-8.0-1.4-0.4,rk4528ot,,,,,,2204.0,3213,6535785fea3f8466589b948c,,3213,,calibration,,,,,,,,,,,,,,
introduction,33,785704,0.0-8.0-2.4,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,,,,,,,,,,,,,,,,,
introduction,34,787706,0.0-8.0-0.5,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,<p>CAREFUL. That was too slow.</p>,1278.0,calibration,,,,,,,,,,,,,,
introduction,35,789399,0.0-8.0-1.5-0.5,rk4528ot,,,,,,1688.0,3222,6535785fea3f8466589b948c,,3222,,calibration,,,,,,,,,,,,,,
introduction,36,789400,0.0-8.0-2.5,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,,,,,,,,,,,,,,,,,
introduction,37,790696,0.0-8.0-0.6,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,img/Red_circle.png,2298.0,calibration,,,,,,,,,,,,,,
introduction,38,792207,0.0-8.0-1.6-0.6,rk4528ot,,,,,,1507.0,2211,6535785fea3f8466589b948c,,2211,,calibration,,,,,,,,,,,,,,
introduction,39,792208,0.0-8.0-2.6,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,,,,,,,,,,,,,,,,,
introduction,40,794215,0.0-8.0-0.7,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,<p>CAREFUL. That was too slow.</p>,2432.0,calibration,,,,,,,,,,,,,,
introduction,41,795767,0.0-8.0-1.7-0.7,rk4528ot,,,,,,1547.0,3233,6535785fea3f8466589b948c,,3233,,calibration,,,,,,,,,,,,,,
introduction,42,795768,0.0-8.0-2.7,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,,,,,,,,,,,,,,,,,
introduction,43,797784,0.0-8.0-0.8,rk4528ot,,,,,,,,6535785fea3f8466589b948c,,<p>CAREFUL. That was too slow.</p>,3210.0,calibration,,,,,,,,,,,,,,
introduction,44,799559,0.0-8.0-1.8-0.8,rk4528ot,,,,,,1767.0,3221,6535785fea3f8466589b948c,,3221,,calibration,,,,,,,,,,,,,,
