trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8791,0.0-2.0,fqq9j9pr,,,,,,6025.0,654e20c7db82288d74898c8f,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,3,13178,0.0-3.0,fqq9j9pr,,,,,,4384.0,654e20c7db82288d74898c8f,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,4,30473,0.0-4.0-0.0,fqq9j9pr,,,,,,17293.0,,654e20c7db82288d74898c8f,"[{""page_index"":0,""viewing_time"":1572},{""page_index"":1,""viewing_time"":11256},{""page_index"":2,""viewing_time"":4465}]",,,,,,,,,,,,,,,,,
introduction,5,32302,0.0-5.0-0.0,fqq9j9pr,,,,,,1828.0,1,654e20c7db82288d74898c8f,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,33492,0.0-5.0-0.1,fqq9j9pr,,,,,,1188.0,2,654e20c7db82288d74898c8f,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,34662,0.0-5.0-0.2,fqq9j9pr,,,,,,1169.0,1,654e20c7db82288d74898c8f,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,35672,0.0-5.0-0.3,fqq9j9pr,,,,,,1010.0,3,654e20c7db82288d74898c8f,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,36602,0.0-5.0-0.4,fqq9j9pr,,,,,,930.0,2,654e20c7db82288d74898c8f,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,37542,0.0-5.0-0.5,fqq9j9pr,,,,,,939.0,3,654e20c7db82288d74898c8f,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,38582,0.0-5.0-0.6,fqq9j9pr,,,,,,1039.0,1,654e20c7db82288d74898c8f,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,39601,0.0-5.0-0.7,fqq9j9pr,,,,,,1019.0,2,654e20c7db82288d74898c8f,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,40661,0.0-5.0-0.8,fqq9j9pr,,,,,,1059.0,3,654e20c7db82288d74898c8f,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,41622,0.0-5.0-0.9,fqq9j9pr,,,,,,961.0,2,654e20c7db82288d74898c8f,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,42481,0.0-5.0-0.10,fqq9j9pr,,,,,,859.0,1,654e20c7db82288d74898c8f,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,43491,0.0-5.0-0.11,fqq9j9pr,,,,,,1009.0,3,654e20c7db82288d74898c8f,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,66522,0.0-6.0-0.0,fqq9j9pr,,,,,,23030.0,,654e20c7db82288d74898c8f,"[{""page_index"":0,""viewing_time"":2845},{""page_index"":1,""viewing_time"":3656},{""page_index"":2,""viewing_time"":14617},{""page_index"":3,""viewing_time"":1913}]",,,,,,,,,,,,,,,,,
introduction,19,90422,0.0-8.0-0.0,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,1851.0,calibration,,,,,,,,,,,,,,
introduction,20,94624,0.0-8.0-1.0-0.0,fqq9j9pr,,,,,,4197.0,2332,654e20c7db82288d74898c8f,,2332,,calibration,,,,,,,,,,,,,,
introduction,21,96626,0.0-8.0-2.0,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,98484,0.0-8.0-0.1,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,2604.0,calibration,,,,,,,,,,,,,,
introduction,23,101394,0.0-8.0-1.1-0.1,fqq9j9pr,,,,,,2907.0,3122,654e20c7db82288d74898c8f,,3122,,calibration,,,,,,,,,,,,,,
introduction,24,101394,0.0-8.0-2.1,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,25,103397,0.0-8.0-0.2,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,3288.0,calibration,,,,,,,,,,,,,,
introduction,26,106164,0.0-8.0-1.2-0.2,fqq9j9pr,,,,,,2764.0,2213,654e20c7db82288d74898c8f,,2213,,calibration,,,,,,,,,,,,,,
introduction,27,106164,0.0-8.0-2.2,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,28,108178,0.0-8.0-0.3,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,1575.0,calibration,,,,,,,,,,,,,,
introduction,29,110595,0.0-8.0-1.3-0.3,fqq9j9pr,,,,,,2413.0,1121,654e20c7db82288d74898c8f,,1121,,calibration,,,,,,,,,,,,,,
introduction,30,110595,0.0-8.0-2.3,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,31,112186,0.0-8.0-0.4,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,1904.0,calibration,,,,,,,,,,,,,,
introduction,32,114187,0.0-8.0-1.4-0.4,fqq9j9pr,,,,,,1998.0,322,654e20c7db82288d74898c8f,,322,,calibration,,,,,,,,,,,,,,
introduction,33,114188,0.0-8.0-2.4,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,34,116097,0.0-8.0-0.5,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,1556.0,calibration,,,,,,,,,,,,,,
introduction,35,118366,0.0-8.0-1.5-0.5,fqq9j9pr,,,,,,2266.0,2121,654e20c7db82288d74898c8f,,2121,,calibration,,,,,,,,,,,,,,
introduction,36,118367,0.0-8.0-2.5,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,37,119927,0.0-8.0-0.6,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,3478.0,calibration,,,,,,,,,,,,,,
introduction,38,121903,0.0-8.0-1.6-0.6,fqq9j9pr,,,,,,1974.0,332,654e20c7db82288d74898c8f,,332,,calibration,,,,,,,,,,,,,,
introduction,39,121903,0.0-8.0-2.6,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,40,123915,0.0-8.0-0.7,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,2006.0,calibration,,,,,,,,,,,,,,
introduction,41,125839,0.0-8.0-1.7-0.7,fqq9j9pr,,,,,,1922.0,1222,654e20c7db82288d74898c8f,,1222,,calibration,,,,,,,,,,,,,,
introduction,42,125839,0.0-8.0-2.7,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,43,127846,0.0-8.0-0.8,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,2290.0,calibration,,,,,,,,,,,,,,
introduction,44,130814,0.0-8.0-1.8-0.8,fqq9j9pr,,,,,,2965.0,1231,654e20c7db82288d74898c8f,,1312,,calibration,,,,,,,,,,,,,,
introduction,45,134326,0.0-8.0-1.9-0.9,fqq9j9pr,,,,,,3510.0,1312,654e20c7db82288d74898c8f,,1312,,calibration,,,,,,,,,,,,,,
introduction,46,136333,0.0-8.0-2.8,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,47,138624,0.0-8.0-0.9,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,1191.0,calibration,,,,,,,,,,,,,,
introduction,48,140572,0.0-8.0-1.10-0.10,fqq9j9pr,,,,,,1945.0,113,654e20c7db82288d74898c8f,,113,,calibration,,,,,,,,,,,,,,
introduction,49,140572,0.0-8.0-2.9,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,50,141777,0.0-8.0-0.10,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,2087.0,calibration,,,,,,,,,,,,,,
introduction,51,144026,0.0-8.0-1.11-0.11,fqq9j9pr,,,,,,2247.0,2212,654e20c7db82288d74898c8f,,2212,,calibration,,,,,,,,,,,,,,
introduction,52,144027,0.0-8.0-2.10,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,53,146031,0.0-8.0-0.11,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,2615.0,calibration,,,,,,,,,,,,,,
introduction,54,148174,0.0-8.0-1.12-0.12,fqq9j9pr,,,,,,2140.0,1212,654e20c7db82288d74898c8f,,1212,,calibration,,,,,,,,,,,,,,
introduction,55,148174,0.0-8.0-2.11,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,56,150181,0.0-8.0-0.12,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,2820.0,calibration,,,,,,,,,,,,,,
introduction,57,152409,0.0-8.0-1.13-0.13,fqq9j9pr,,,,,,2225.0,2231,654e20c7db82288d74898c8f,,2231,,calibration,,,,,,,,,,,,,,
introduction,58,152410,0.0-8.0-2.12,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,59,154414,0.0-8.0-0.13,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,2772.0,calibration,,,,,,,,,,,,,,
introduction,60,156515,0.0-8.0-1.14-0.14,fqq9j9pr,,,,,,2099.0,3311,654e20c7db82288d74898c8f,,3311,,calibration,,,,,,,,,,,,,,
introduction,61,156515,0.0-8.0-2.13,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,62,158525,0.0-8.0-0.14,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,2387.0,calibration,,,,,,,,,,,,,,
introduction,63,160712,0.0-8.0-1.15-0.15,fqq9j9pr,,,,,,2184.0,2212,654e20c7db82288d74898c8f,,2212,,calibration,,,,,,,,,,,,,,
introduction,64,160713,0.0-8.0-2.14,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,65,162725,0.0-8.0-0.15,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,2080.0,calibration,,,,,,,,,,,,,,
introduction,66,164913,0.0-8.0-1.16-0.16,fqq9j9pr,,,,,,2185.0,2223,654e20c7db82288d74898c8f,,2223,,calibration,,,,,,,,,,,,,,
introduction,67,164914,0.0-8.0-2.15,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,68,166928,0.0-8.0-0.16,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,2274.0,calibration,,,,,,,,,,,,,,
introduction,69,168812,0.0-8.0-1.17-0.17,fqq9j9pr,,,,,,1882.0,123,654e20c7db82288d74898c8f,,123,,calibration,,,,,,,,,,,,,,
introduction,70,168812,0.0-8.0-2.16,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,71,170823,0.0-8.0-0.17,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,1181.0,calibration,,,,,,,,,,,,,,
introduction,72,172898,0.0-8.0-1.18-0.18,fqq9j9pr,,,,,,2073.0,1312,654e20c7db82288d74898c8f,,1312,,calibration,,,,,,,,,,,,,,
introduction,73,172899,0.0-8.0-2.17,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,74,174086,0.0-8.0-0.18,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,1622.0,calibration,,,,,,,,,,,,,,
introduction,75,176007,0.0-8.0-1.19-0.19,fqq9j9pr,,,,,,1919.0,1111,654e20c7db82288d74898c8f,,1111,,calibration,,,,,,,,,,,,,,
introduction,76,176008,0.0-8.0-2.18,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,77,177636,0.0-8.0-0.19,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,1267.0,calibration,,,,,,,,,,,,,,
introduction,78,179674,0.0-8.0-1.20-0.20,fqq9j9pr,,,,,,2036.0,321,654e20c7db82288d74898c8f,,321,,calibration,,,,,,,,,,,,,,
introduction,79,179675,0.0-8.0-2.19,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,80,180954,0.0-8.0-0.20,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,1804.0,calibration,,,,,,,,,,,,,,
introduction,81,183399,0.0-8.0-1.21-0.21,fqq9j9pr,,,,,,2443.0,312,654e20c7db82288d74898c8f,,312,,calibration,,,,,,,,,,,,,,
introduction,82,183400,0.0-8.0-2.20,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,83,185216,0.0-8.0-0.21,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,1612.0,calibration,,,,,,,,,,,,,,
introduction,84,187658,0.0-8.0-1.22-0.22,fqq9j9pr,,,,,,2440.0,1213,654e20c7db82288d74898c8f,,1213,,calibration,,,,,,,,,,,,,,
introduction,85,187659,0.0-8.0-2.21,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,86,189274,0.0-8.0-0.22,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,2577.0,calibration,,,,,,,,,,,,,,
introduction,87,192618,0.0-8.0-1.23-0.23,fqq9j9pr,,,,,,3342.0,3133,654e20c7db82288d74898c8f,,3133,,calibration,,,,,,,,,,,,,,
introduction,88,192619,0.0-8.0-2.22,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,89,194620,0.0-8.0-0.23,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,1220.0,calibration,,,,,,,,,,,,,,
introduction,90,196746,0.0-8.0-1.24-0.24,fqq9j9pr,,,,,,2123.0,111,654e20c7db82288d74898c8f,,111,,calibration,,,,,,,,,,,,,,
introduction,91,196747,0.0-8.0-2.23,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,92,197980,0.0-8.0-0.24,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,1016.0,calibration,,,,,,,,,,,,,,
introduction,93,200352,0.0-8.0-1.25-0.25,fqq9j9pr,,,,,,2369.0,3321,654e20c7db82288d74898c8f,,3321,,calibration,,,,,,,,,,,,,,
introduction,94,200352,0.0-8.0-2.24,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,95,201381,0.0-8.0-0.25,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,1374.0,calibration,,,,,,,,,,,,,,
introduction,96,203500,0.0-8.0-1.26-0.26,fqq9j9pr,,,,,,2118.0,2132,654e20c7db82288d74898c8f,,2132,,calibration,,,,,,,,,,,,,,
introduction,97,203500,0.0-8.0-2.25,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,98,204878,0.0-8.0-0.26,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,3293.0,calibration,,,,,,,,,,,,,,
introduction,99,207147,0.0-8.0-1.27-0.27,fqq9j9pr,,,,,,2266.0,3311,654e20c7db82288d74898c8f,,3311,,calibration,,,,,,,,,,,,,,
introduction,100,207147,0.0-8.0-2.26,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,101,209153,0.0-8.0-0.27,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,1151.0,calibration,,,,,,,,,,,,,,
introduction,102,211115,0.0-8.0-1.28-0.28,fqq9j9pr,,,,,,1959.0,2311,654e20c7db82288d74898c8f,,2311,,calibration,,,,,,,,,,,,,,
introduction,103,211115,0.0-8.0-2.27,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,104,212278,0.0-8.0-0.28,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,1645.0,calibration,,,,,,,,,,,,,,
introduction,105,215127,0.0-8.0-1.29-0.29,fqq9j9pr,,,,,,2843.0,3222,654e20c7db82288d74898c8f,,3222,,calibration,,,,,,,,,,,,,,
introduction,106,215127,0.0-8.0-2.28,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,107,216789,0.0-8.0-0.29,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,img/Red_circle.png,2114.0,calibration,,,,,,,,,,,,,,
introduction,108,218715,0.0-8.0-1.30-0.30,fqq9j9pr,,,,,,1924.0,133,654e20c7db82288d74898c8f,,133,,calibration,,,,,,,,,,,,,,
introduction,109,218715,0.0-8.0-2.29,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
introduction,110,220728,0.0-8.0-0.30,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,<p>CAREFUL. That was too slow.</p>,2541.0,calibration,,,,,,,,,,,,,,
introduction,111,222603,0.0-8.0-1.31-0.31,fqq9j9pr,,,,,,1873.0,222,654e20c7db82288d74898c8f,,222,,calibration,,,,,,,,,,,,,,
introduction,112,222604,0.0-8.0-2.30,fqq9j9pr,,,,,,,,654e20c7db82288d74898c8f,,,,,,,,,,,,,,,,,,
