trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,24315,0.0-2.0,3ubvfabc,,,,,,8269.0,65631b21aff167a83105c476,65631b21aff167a83105c476,,,,,,,,,,,,,,,,,,
introduction,3,28435,0.0-3.0,3ubvfabc,,,,,,4110.0,65631b21aff167a83105c476,65631b21aff167a83105c476,,,,,,,,,,,,,,,,,,
introduction,4,76434,0.0-4.0-0.0,3ubvfabc,,,,,,47997.0,,65631b21aff167a83105c476,"[{""page_index"":0,""viewing_time"":2073},{""page_index"":1,""viewing_time"":42504},{""page_index"":2,""viewing_time"":3419}]",,,,,,,,,,,,,,,,,
introduction,5,77311,0.0-5.0-0.0,3ubvfabc,,,,,,874.0,1,65631b21aff167a83105c476,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,78641,0.0-5.0-0.1,3ubvfabc,,,,,,1329.0,2,65631b21aff167a83105c476,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,79869,0.0-5.0-0.2,3ubvfabc,,,,,,1226.0,1,65631b21aff167a83105c476,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,81230,0.0-5.0-0.3,3ubvfabc,,,,,,1361.0,3,65631b21aff167a83105c476,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,82472,0.0-5.0-0.4,3ubvfabc,,,,,,1241.0,2,65631b21aff167a83105c476,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,83485,0.0-5.0-0.5,3ubvfabc,,,,,,1012.0,3,65631b21aff167a83105c476,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,84429,0.0-5.0-0.6,3ubvfabc,,,,,,942.0,1,65631b21aff167a83105c476,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,85386,0.0-5.0-0.7,3ubvfabc,,,,,,957.0,2,65631b21aff167a83105c476,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,86391,0.0-5.0-0.8,3ubvfabc,,,,,,1003.0,3,65631b21aff167a83105c476,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,87361,0.0-5.0-0.9,3ubvfabc,,,,,,969.0,2,65631b21aff167a83105c476,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,88195,0.0-5.0-0.10,3ubvfabc,,,,,,834.0,1,65631b21aff167a83105c476,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,89079,0.0-5.0-0.11,3ubvfabc,,,,,,884.0,3,65631b21aff167a83105c476,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,140543,0.0-6.0-0.0,3ubvfabc,,,,,,51464.0,,65631b21aff167a83105c476,"[{""page_index"":0,""viewing_time"":2141},{""page_index"":1,""viewing_time"":6037},{""page_index"":2,""viewing_time"":40553},{""page_index"":3,""viewing_time"":2732}]",,,,,,,,,,,,,,,,,
introduction,19,196934,0.0-8.0-0.0,3ubvfabc,,,,,,,,65631b21aff167a83105c476,,img/Red_circle.png,2151.0,calibration,,,,,,,,,,,,,,
introduction,20,204990,0.0-8.0-1.0-0.0,3ubvfabc,,,,,,8050.0,1233,65631b21aff167a83105c476,,1233,,calibration,,,,,,,,,,,,,,
introduction,21,206995,0.0-8.0-2.0,3ubvfabc,,,,,,,,65631b21aff167a83105c476,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,209152,0.0-8.0-0.1,3ubvfabc,,,,,,,,65631b21aff167a83105c476,,img/Red_circle.png,1204.0,calibration,,,,,,,,,,,,,,
introduction,23,212386,0.0-8.0-1.1-0.1,3ubvfabc,,,,,,3229.0,2121,65631b21aff167a83105c476,,2121,,calibration,,,,,,,,,,,,,,
introduction,24,212387,0.0-8.0-2.1,3ubvfabc,,,,,,,,65631b21aff167a83105c476,,,,,,,,,,,,,,,,,,
introduction,25,213606,0.0-8.0-0.2,3ubvfabc,,,,,,,,65631b21aff167a83105c476,,img/Red_circle.png,1351.0,calibration,,,,,,,,,,,,,,
introduction,26,217635,0.0-8.0-1.2-0.2,3ubvfabc,,,,,,4025.0,3223,65631b21aff167a83105c476,,3223,,calibration,,,,,,,,,,,,,,
introduction,27,219642,0.0-8.0-2.2,3ubvfabc,,,,,,,,65631b21aff167a83105c476,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,28,221011,0.0-8.0-0.3,3ubvfabc,,,,,,,,65631b21aff167a83105c476,,img/Red_circle.png,3023.0,calibration,,,,,,,,,,,,,,
introduction,29,223469,0.0-8.0-1.3-0.3,3ubvfabc,,,,,,2456.0,2212,65631b21aff167a83105c476,,2212,,calibration,,,,,,,,,,,,,,
introduction,30,223470,0.0-8.0-2.3,3ubvfabc,,,,,,,,65631b21aff167a83105c476,,,,,,,,,,,,,,,,,,
introduction,31,225480,0.0-8.0-0.4,3ubvfabc,,,,,,,,65631b21aff167a83105c476,,<p>CAREFUL. That was too slow.</p>,1734.0,calibration,,,,,,,,,,,,,,
