trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7295,0.0-2.0,dr863n92,,,,,,5020.0,657f8d99678be2d216a85c3d,657f8d99678be2d216a85c3d,,,,,,,,,,,,,,,,,,
introduction,3,10147,0.0-3.0,dr863n92,,,,,,2850.0,657f8d99678be2d216a85c3d,657f8d99678be2d216a85c3d,,,,,,,,,,,,,,,,,,
introduction,4,21140,0.0-4.0-0.0,dr863n92,,,,,,10992.0,,657f8d99678be2d216a85c3d,"[{""page_index"":0,""viewing_time"":1032},{""page_index"":1,""viewing_time"":8462},{""page_index"":2,""viewing_time"":1497}]",,,,,,,,,,,,,,,,,
introduction,5,22273,0.0-5.0-0.0,dr863n92,,,,,,1133.0,1,657f8d99678be2d216a85c3d,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,23005,0.0-5.0-0.1,dr863n92,,,,,,731.0,2,657f8d99678be2d216a85c3d,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,24919,0.0-5.0-0.2,dr863n92,,,,,,1914.0,1,657f8d99678be2d216a85c3d,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,26032,0.0-5.0-0.3,dr863n92,,,,,,1112.0,3,657f8d99678be2d216a85c3d,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,26839,0.0-5.0-0.4,dr863n92,,,,,,806.0,2,657f8d99678be2d216a85c3d,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,27618,0.0-5.0-0.5,dr863n92,,,,,,779.0,3,657f8d99678be2d216a85c3d,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,28272,0.0-5.0-0.6,dr863n92,,,,,,653.0,1,657f8d99678be2d216a85c3d,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,29049,0.0-5.0-0.7,dr863n92,,,,,,777.0,2,657f8d99678be2d216a85c3d,,Press: 2,,,,,,,,,,,,,,,,
