trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6063,0.0-2.0,uwcbo1as,,,,,,3553.0,65b98fe25e75b5acc3f44626,65b98fe25e75b5acc3f44626,,,,,,,,,,,,,,,,,,
introduction,3,9202,0.0-3.0,uwcbo1as,,,,,,3136.0,65b98fe25e75b5acc3f44626,65b98fe25e75b5acc3f44626,,,,,,,,,,,,,,,,,,
introduction,4,14033,0.0-4.0-0.0,uwcbo1as,,,,,,4831.0,,65b98fe25e75b5acc3f44626,"[{""page_index"":0,""viewing_time"":770},{""page_index"":1,""viewing_time"":2289},{""page_index"":2,""viewing_time"":1772}]",,,,,,,,,,,,,,,,,
introduction,5,15088,0.0-5.0-0.0,uwcbo1as,,,,,,1054.0,1,65b98fe25e75b5acc3f44626,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,15578,0.0-5.0-0.1,uwcbo1as,,,,,,490.0,2,65b98fe25e75b5acc3f44626,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,16357,0.0-5.0-0.2,uwcbo1as,,,,,,778.0,1,65b98fe25e75b5acc3f44626,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,16834,0.0-5.0-0.3,uwcbo1as,,,,,,476.0,3,65b98fe25e75b5acc3f44626,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,17339,0.0-5.0-0.4,uwcbo1as,,,,,,505.0,2,65b98fe25e75b5acc3f44626,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,17807,0.0-5.0-0.5,uwcbo1as,,,,,,467.0,3,65b98fe25e75b5acc3f44626,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,18283,0.0-5.0-0.6,uwcbo1as,,,,,,476.0,1,65b98fe25e75b5acc3f44626,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,18789,0.0-5.0-0.7,uwcbo1as,,,,,,506.0,2,65b98fe25e75b5acc3f44626,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,19278,0.0-5.0-0.8,uwcbo1as,,,,,,488.0,3,65b98fe25e75b5acc3f44626,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,19735,0.0-5.0-0.9,uwcbo1as,,,,,,456.0,2,65b98fe25e75b5acc3f44626,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,20165,0.0-5.0-0.10,uwcbo1as,,,,,,429.0,1,65b98fe25e75b5acc3f44626,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,20718,0.0-5.0-0.11,uwcbo1as,,,,,,553.0,3,65b98fe25e75b5acc3f44626,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,31668,0.0-6.0-0.0,uwcbo1as,,,,,,10948.0,,65b98fe25e75b5acc3f44626,"[{""page_index"":0,""viewing_time"":1568},{""page_index"":1,""viewing_time"":1207},{""page_index"":2,""viewing_time"":7411},{""page_index"":3,""viewing_time"":762}]",,,,,,,,,,,,,,,,,
introduction,19,45888,0.0-8.0-0.0,uwcbo1as,,,,,,,,65b98fe25e75b5acc3f44626,,img/Red_circle.png,2196.0,calibration,,,,,,,,,,,,,,
introduction,20,46053,0.0-8.0-1.0-0.0,uwcbo1as,,,,,,161.0,,65b98fe25e75b5acc3f44626,,2311,,calibration,,,,,,,,,,,,,,
introduction,21,47513,0.0-8.0-1.1-0.1,uwcbo1as,,,,,,1455.0,2311,65b98fe25e75b5acc3f44626,,2311,,calibration,,,,,,,,,,,,,,
introduction,22,47513,0.0-8.0-2.0,uwcbo1as,,,,,,,,65b98fe25e75b5acc3f44626,,,,,,,,,,,,,,,,,,
introduction,23,49526,0.0-8.0-0.1,uwcbo1as,,,,,,,,65b98fe25e75b5acc3f44626,,<p>CAREFUL. That was too slow.</p>,2309.0,calibration,,,,,,,,,,,,,,
introduction,24,50662,0.0-8.0-1.2-0.2,uwcbo1as,,,,,,1134.0,122,65b98fe25e75b5acc3f44626,,122,,calibration,,,,,,,,,,,,,,
introduction,25,50662,0.0-8.0-2.1,uwcbo1as,,,,,,,,65b98fe25e75b5acc3f44626,,,,,,,,,,,,,,,,,,
introduction,26,52669,0.0-8.0-0.2,uwcbo1as,,,,,,,,65b98fe25e75b5acc3f44626,,<p>CAREFUL. That was too slow.</p>,3149.0,calibration,,,,,,,,,,,,,,
introduction,27,54185,0.0-8.0-1.3-0.3,uwcbo1as,,,,,,1513.0,3313,65b98fe25e75b5acc3f44626,,3313,,calibration,,,,,,,,,,,,,,
