trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,40636,0.0-2.0,xatecdum,,,,,,12397.0,65c113f79050d9c2915d2e82,65c113f79050d9c2915d2e82,,,,,,,,,,,,,,,,,,
introduction,3,43799,0.0-3.0,xatecdum,,,,,,3152.0,65c113f79050d9c2915d2e82,65c113f79050d9c2915d2e82,,,,,,,,,,,,,,,,,,
introduction,4,94852,0.0-4.0-0.0,xatecdum,,,,,,51054.0,,65c113f79050d9c2915d2e82,"[{""page_index"":0,""viewing_time"":9563},{""page_index"":1,""viewing_time"":39908},{""page_index"":2,""viewing_time"":1583}]",,,,,,,,,,,,,,,,,
introduction,5,95609,0.0-5.0-0.0,xatecdum,,,,,,754.0,1,65c113f79050d9c2915d2e82,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,96348,0.0-5.0-0.1,xatecdum,,,,,,738.0,2,65c113f79050d9c2915d2e82,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,97321,0.0-5.0-0.2,xatecdum,,,,,,972.0,1,65c113f79050d9c2915d2e82,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,98146,0.0-5.0-0.3,xatecdum,,,,,,824.0,3,65c113f79050d9c2915d2e82,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,99041,0.0-5.0-0.4,xatecdum,,,,,,894.0,2,65c113f79050d9c2915d2e82,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,99906,0.0-5.0-0.5,xatecdum,,,,,,864.0,3,65c113f79050d9c2915d2e82,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,100823,0.0-5.0-0.6,xatecdum,,,,,,916.0,1,65c113f79050d9c2915d2e82,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,101700,0.0-5.0-0.7,xatecdum,,,,,,876.0,2,65c113f79050d9c2915d2e82,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,102660,0.0-5.0-0.8,xatecdum,,,,,,959.0,3,65c113f79050d9c2915d2e82,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,103612,0.0-5.0-0.9,xatecdum,,,,,,951.0,2,65c113f79050d9c2915d2e82,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,104760,0.0-5.0-0.10,xatecdum,,,,,,1147.0,1,65c113f79050d9c2915d2e82,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,105533,0.0-5.0-0.11,xatecdum,,,,,,772.0,3,65c113f79050d9c2915d2e82,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,186488,0.0-6.0-0.0,xatecdum,,,,,,80957.0,,65c113f79050d9c2915d2e82,"[{""page_index"":0,""viewing_time"":2301},{""page_index"":1,""viewing_time"":3283},{""page_index"":2,""viewing_time"":74127},{""page_index"":3,""viewing_time"":1246}]",,,,,,,,,,,,,,,,,
introduction,19,202342,0.0-8.0-0.0,xatecdum,,,,,,,,65c113f79050d9c2915d2e82,,img/Red_circle.png,1798.0,calibration,,,,,,,,,,,,,,
introduction,20,205725,0.0-8.0-1.0-0.0,xatecdum,,,,,,3371.0,1323,65c113f79050d9c2915d2e82,,1323,,calibration,,,,,,,,,,,,,,
introduction,21,205727,0.0-8.0-2.0,xatecdum,,,,,,,,65c113f79050d9c2915d2e82,,,,,,,,,,,,,,,,,,
introduction,22,207529,0.0-8.0-0.1,xatecdum,,,,,,,,65c113f79050d9c2915d2e82,,img/Red_circle.png,1698.0,calibration,,,,,,,,,,,,,,
introduction,23,209466,0.0-8.0-1.1-0.1,xatecdum,,,,,,1928.0,133,65c113f79050d9c2915d2e82,,133,,calibration,,,,,,,,,,,,,,
introduction,24,209467,0.0-8.0-2.1,xatecdum,,,,,,,,65c113f79050d9c2915d2e82,,,,,,,,,,,,,,,,,,
introduction,25,211168,0.0-8.0-0.2,xatecdum,,,,,,,,65c113f79050d9c2915d2e82,,img/Red_circle.png,2230.0,calibration,,,,,,,,,,,,,,
introduction,26,213574,0.0-8.0-1.2-0.2,xatecdum,,,,,,2397.0,3331,65c113f79050d9c2915d2e82,,3331,,calibration,,,,,,,,,,,,,,
introduction,27,213575,0.0-8.0-2.2,xatecdum,,,,,,,,65c113f79050d9c2915d2e82,,,,,,,,,,,,,,,,,,
introduction,28,215578,0.0-8.0-0.3,xatecdum,,,,,,,,65c113f79050d9c2915d2e82,,<p>CAREFUL. That was too slow.</p>,2404.0,calibration,,,,,,,,,,,,,,
introduction,29,217788,0.0-8.0-1.3-0.3,xatecdum,,,,,,2201.0,1221,65c113f79050d9c2915d2e82,,1221,,calibration,,,,,,,,,,,,,,
introduction,30,217789,0.0-8.0-2.3,xatecdum,,,,,,,,65c113f79050d9c2915d2e82,,,,,,,,,,,,,,,,,,
introduction,31,219790,0.0-8.0-0.4,xatecdum,,,,,,,,65c113f79050d9c2915d2e82,,<p>CAREFUL. That was too slow.</p>,2161.0,calibration,,,,,,,,,,,,,,
introduction,32,221872,0.0-8.0-1.4-0.4,xatecdum,,,,,,2072.0,2133,65c113f79050d9c2915d2e82,,2133,,calibration,,,,,,,,,,,,,,
introduction,33,221873,0.0-8.0-2.4,xatecdum,,,,,,,,65c113f79050d9c2915d2e82,,,,,,,,,,,,,,,,,,
introduction,34,223875,0.0-8.0-0.5,xatecdum,,,,,,,,65c113f79050d9c2915d2e82,,<p>CAREFUL. That was too slow.</p>,3491.0,calibration,,,,,,,,,,,,,,
