trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,21026,0.0-2.0,370y0sek,,,,,,17907.0,65c25e3de8b230c294f2b32c,65c25e3de8b230c294f2b32c,,,,,,,,,,,,,,,,,,
introduction,3,26949,0.0-3.0,370y0sek,,,,,,5920.0,65c25e3de8b230c294f2b32c,65c25e3de8b230c294f2b32c,,,,,,,,,,,,,,,,,,
introduction,4,42869,0.0-4.0-0.0,370y0sek,,,,,,15919.0,,65c25e3de8b230c294f2b32c,"[{""page_index"":0,""viewing_time"":1742},{""page_index"":1,""viewing_time"":12812},{""page_index"":2,""viewing_time"":1366}]",,,,,,,,,,,,,,,,,
introduction,5,43856,0.0-5.0-0.0,370y0sek,,,,,,979.0,1,65c25e3de8b230c294f2b32c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,44752,0.0-5.0-0.1,370y0sek,,,,,,896.0,2,65c25e3de8b230c294f2b32c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,52200,0.0-5.0-0.2,370y0sek,,,,,,7447.0,1,65c25e3de8b230c294f2b32c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,53405,0.0-5.0-0.3,370y0sek,,,,,,1204.0,3,65c25e3de8b230c294f2b32c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,54186,0.0-5.0-0.4,370y0sek,,,,,,780.0,2,65c25e3de8b230c294f2b32c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,54902,0.0-5.0-0.5,370y0sek,,,,,,716.0,3,65c25e3de8b230c294f2b32c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,55657,0.0-5.0-0.6,370y0sek,,,,,,754.0,1,65c25e3de8b230c294f2b32c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,56329,0.0-5.0-0.7,370y0sek,,,,,,672.0,2,65c25e3de8b230c294f2b32c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,56895,0.0-5.0-0.8,370y0sek,,,,,,565.0,3,65c25e3de8b230c294f2b32c,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,57512,0.0-5.0-0.9,370y0sek,,,,,,617.0,2,65c25e3de8b230c294f2b32c,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,58086,0.0-5.0-0.10,370y0sek,,,,,,574.0,1,65c25e3de8b230c294f2b32c,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,58794,0.0-5.0-0.11,370y0sek,,,,,,707.0,3,65c25e3de8b230c294f2b32c,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,89118,0.0-6.0-0.0,370y0sek,,,,,,30324.0,,65c25e3de8b230c294f2b32c,"[{""page_index"":0,""viewing_time"":2096},{""page_index"":1,""viewing_time"":5360},{""page_index"":2,""viewing_time"":21403},{""page_index"":3,""viewing_time"":1465}]",,,,,,,,,,,,,,,,,
introduction,19,103549,0.0-8.0-0.0,370y0sek,,,,,,,,65c25e3de8b230c294f2b32c,,img/Red_circle.png,2726.0,calibration,,,,,,,,,,,,,,
introduction,20,105315,0.0-8.0-1.0-0.0,370y0sek,,,,,,1750.0,133,65c25e3de8b230c294f2b32c,,133,,calibration,,,,,,,,,,,,,,
introduction,21,105318,0.0-8.0-2.0,370y0sek,,,,,,,,65c25e3de8b230c294f2b32c,,,,,,,,,,,,,,,,,,
introduction,22,107326,0.0-8.0-0.1,370y0sek,,,,,,,,65c25e3de8b230c294f2b32c,,<p>CAREFUL. That was too slow.</p>,1572.0,calibration,,,,,,,,,,,,,,
introduction,23,111109,0.0-8.0-1.1-0.1,370y0sek,,,,,,3780.0,3311,65c25e3de8b230c294f2b32c,,3311,,calibration,,,,,,,,,,,,,,
introduction,24,113121,0.0-8.0-2.1,370y0sek,,,,,,,,65c25e3de8b230c294f2b32c,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,25,114701,0.0-8.0-0.2,370y0sek,,,,,,,,65c25e3de8b230c294f2b32c,,img/Red_circle.png,1976.0,calibration,,,,,,,,,,,,,,
introduction,26,116630,0.0-8.0-1.2-0.2,370y0sek,,,,,,1927.0,2112,65c25e3de8b230c294f2b32c,,2112,,calibration,,,,,,,,,,,,,,
introduction,27,116630,0.0-8.0-2.2,370y0sek,,,,,,,,65c25e3de8b230c294f2b32c,,,,,,,,,,,,,,,,,,
