trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,13998,0.0-2.0,uh41z419,,,,,,9947.0,65ee8cf661281c8eccd37fd0,65ee8cf661281c8eccd37fd0,,,,,,,,,,,,,,,,,,
introduction,3,18636,0.0-3.0,uh41z419,,,,,,4637.0,65ee8cf661281c8eccd37fd0,65ee8cf661281c8eccd37fd0,,,,,,,,,,,,,,,,,,
introduction,4,843405,0.0-4.0-0.0,uh41z419,,,,,,824773.0,,65ee8cf661281c8eccd37fd0,"[{""page_index"":0,""viewing_time"":1433},{""page_index"":1,""viewing_time"":822353},{""page_index"":2,""viewing_time"":986}]",,,,,,,,,,,,,,,,,
introduction,5,844584,0.0-5.0-0.0,uh41z419,,,,,,1178.0,1,65ee8cf661281c8eccd37fd0,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,845126,0.0-5.0-0.1,uh41z419,,,,,,541.0,2,65ee8cf661281c8eccd37fd0,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,846041,0.0-5.0-0.2,uh41z419,,,,,,914.0,1,65ee8cf661281c8eccd37fd0,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,846984,0.0-5.0-0.3,uh41z419,,,,,,942.0,3,65ee8cf661281c8eccd37fd0,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,847492,0.0-5.0-0.4,uh41z419,,,,,,507.0,2,65ee8cf661281c8eccd37fd0,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,848007,0.0-5.0-0.5,uh41z419,,,,,,514.0,3,65ee8cf661281c8eccd37fd0,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,848580,0.0-5.0-0.6,uh41z419,,,,,,572.0,1,65ee8cf661281c8eccd37fd0,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,849104,0.0-5.0-0.7,uh41z419,,,,,,524.0,2,65ee8cf661281c8eccd37fd0,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,849839,0.0-5.0-0.8,uh41z419,,,,,,734.0,3,65ee8cf661281c8eccd37fd0,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,850419,0.0-5.0-0.9,uh41z419,,,,,,579.0,2,65ee8cf661281c8eccd37fd0,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,850883,0.0-5.0-0.10,uh41z419,,,,,,463.0,1,65ee8cf661281c8eccd37fd0,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,851483,0.0-5.0-0.11,uh41z419,,,,,,599.0,3,65ee8cf661281c8eccd37fd0,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,873844,0.0-6.0-0.0,uh41z419,,,,,,22360.0,,65ee8cf661281c8eccd37fd0,"[{""page_index"":0,""viewing_time"":3027},{""page_index"":1,""viewing_time"":2120},{""page_index"":2,""viewing_time"":16242},{""page_index"":3,""viewing_time"":971}]",,,,,,,,,,,,,,,,,
introduction,19,893166,0.0-8.0-0.0,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,img/Red_circle.png,3492.0,calibration,,,,,,,,,,,,,,
introduction,20,899403,0.0-8.0-1.0-0.0,uh41z419,,,,,,6232.0,213,65ee8cf661281c8eccd37fd0,,213,,calibration,,,,,,,,,,,,,,
introduction,21,901406,0.0-8.0-2.0,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,904902,0.0-8.0-0.1,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,img/Red_circle.png,2443.0,calibration,,,,,,,,,,,,,,
introduction,23,906336,0.0-8.0-1.1-0.1,uh41z419,,,,,,1429.0,222,65ee8cf661281c8eccd37fd0,,222,,calibration,,,,,,,,,,,,,,
introduction,24,906337,0.0-8.0-2.1,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,,,,,,,,,,,,,,,,,
introduction,25,908339,0.0-8.0-0.2,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,<p>CAREFUL. That was too slow.</p>,1587.0,calibration,,,,,,,,,,,,,,
introduction,26,910414,0.0-8.0-1.2-0.2,uh41z419,,,,,,2072.0,1222,65ee8cf661281c8eccd37fd0,,1222,,calibration,,,,,,,,,,,,,,
introduction,27,910415,0.0-8.0-2.2,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,,,,,,,,,,,,,,,,,
introduction,28,912005,0.0-8.0-0.3,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,img/Red_circle.png,3445.0,calibration,,,,,,,,,,,,,,
introduction,29,913316,0.0-8.0-1.3-0.3,uh41z419,,,,,,1305.0,221,65ee8cf661281c8eccd37fd0,,221,,calibration,,,,,,,,,,,,,,
introduction,30,913318,0.0-8.0-2.3,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,,,,,,,,,,,,,,,,,
introduction,31,915320,0.0-8.0-0.4,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,<p>CAREFUL. That was too slow.</p>,3070.0,calibration,,,,,,,,,,,,,,
introduction,32,917104,0.0-8.0-1.4-0.4,uh41z419,,,,,,1779.0,2333,65ee8cf661281c8eccd37fd0,,2333,,calibration,,,,,,,,,,,,,,
introduction,33,917105,0.0-8.0-2.4,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,,,,,,,,,,,,,,,,,
introduction,34,919107,0.0-8.0-0.5,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,<p>CAREFUL. That was too slow.</p>,2389.0,calibration,,,,,,,,,,,,,,
introduction,35,920681,0.0-8.0-1.5-0.5,uh41z419,,,,,,1571.0,323,65ee8cf661281c8eccd37fd0,,323,,calibration,,,,,,,,,,,,,,
introduction,36,920682,0.0-8.0-2.5,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,,,,,,,,,,,,,,,,,
introduction,37,922684,0.0-8.0-0.6,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,<p>CAREFUL. That was too slow.</p>,1545.0,calibration,,,,,,,,,,,,,,
introduction,38,923884,0.0-8.0-1.6-0.6,uh41z419,,,,,,1196.0,121,65ee8cf661281c8eccd37fd0,,121,,calibration,,,,,,,,,,,,,,
introduction,39,923885,0.0-8.0-2.6,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,,,,,,,,,,,,,,,,,
introduction,40,925433,0.0-8.0-0.7,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,img/Red_circle.png,3356.0,calibration,,,,,,,,,,,,,,
introduction,41,927944,0.0-8.0-1.7-0.7,uh41z419,,,,,,2506.0,3312,65ee8cf661281c8eccd37fd0,,3312,,calibration,,,,,,,,,,,,,,
introduction,42,927945,0.0-8.0-2.7,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,,,,,,,,,,,,,,,,,
introduction,43,929947,0.0-8.0-0.8,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,<p>CAREFUL. That was too slow.</p>,1735.0,calibration,,,,,,,,,,,,,,
introduction,44,931889,0.0-8.0-1.8-0.8,uh41z419,,,,,,1939.0,2332,65ee8cf661281c8eccd37fd0,,2332,,calibration,,,,,,,,,,,,,,
introduction,45,931890,0.0-8.0-2.8,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,,,,,,,,,,,,,,,,,
introduction,46,933628,0.0-8.0-0.9,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,img/Red_circle.png,2734.0,calibration,,,,,,,,,,,,,,
introduction,47,935339,0.0-8.0-1.9-0.9,uh41z419,,,,,,1706.0,2112,65ee8cf661281c8eccd37fd0,,2112,,calibration,,,,,,,,,,,,,,
introduction,48,935341,0.0-8.0-2.9,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,,,,,,,,,,,,,,,,,
introduction,49,937343,0.0-8.0-0.10,uh41z419,,,,,,,,65ee8cf661281c8eccd37fd0,,<p>CAREFUL. That was too slow.</p>,1925.0,calibration,,,,,,,,,,,,,,
