trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8789,0.0-2.0,del01lu2,,,,,,6053.0,65fcdef120c3e7513256ac68,65fcdef120c3e7513256ac68,,,,,,,,,,,,,,,,,,
introduction,3,12277,0.0-3.0,del01lu2,,,,,,3486.0,65fcdef120c3e7513256ac68,65fcdef120c3e7513256ac68,,,,,,,,,,,,,,,,,,
introduction,4,18117,0.0-4.0-0.0,del01lu2,,,,,,5839.0,,65fcdef120c3e7513256ac68,"[{""page_index"":0,""viewing_time"":927},{""page_index"":1,""viewing_time"":4024},{""page_index"":2,""viewing_time"":888}]",,,,,,,,,,,,,,,,,
introduction,5,19460,0.0-5.0-0.0,del01lu2,,,,,,1342.0,1,65fcdef120c3e7513256ac68,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,20016,0.0-5.0-0.1,del01lu2,,,,,,556.0,2,65fcdef120c3e7513256ac68,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,20612,0.0-5.0-0.2,del01lu2,,,,,,596.0,1,65fcdef120c3e7513256ac68,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,21146,0.0-5.0-0.3,del01lu2,,,,,,534.0,3,65fcdef120c3e7513256ac68,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,21731,0.0-5.0-0.4,del01lu2,,,,,,584.0,2,65fcdef120c3e7513256ac68,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,22335,0.0-5.0-0.5,del01lu2,,,,,,604.0,3,65fcdef120c3e7513256ac68,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22925,0.0-5.0-0.6,del01lu2,,,,,,589.0,1,65fcdef120c3e7513256ac68,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,23457,0.0-5.0-0.7,del01lu2,,,,,,531.0,2,65fcdef120c3e7513256ac68,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,24040,0.0-5.0-0.8,del01lu2,,,,,,582.0,3,65fcdef120c3e7513256ac68,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,24638,0.0-5.0-0.9,del01lu2,,,,,,598.0,2,65fcdef120c3e7513256ac68,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,25189,0.0-5.0-0.10,del01lu2,,,,,,550.0,1,65fcdef120c3e7513256ac68,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,25696,0.0-5.0-0.11,del01lu2,,,,,,507.0,3,65fcdef120c3e7513256ac68,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,43617,0.0-6.0-0.0,del01lu2,,,,,,17921.0,,65fcdef120c3e7513256ac68,"[{""page_index"":0,""viewing_time"":1548},{""page_index"":1,""viewing_time"":2268},{""page_index"":2,""viewing_time"":11724},{""page_index"":3,""viewing_time"":2380}]",,,,,,,,,,,,,,,,,
