trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10296,0.0-2.0,cw3a2xe6,,,,,,6896.0,66046225387696a0f72502e5,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,3,14041,0.0-3.0,cw3a2xe6,,,,,,3743.0,66046225387696a0f72502e5,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,4,25473,0.0-4.0-0.0,cw3a2xe6,,,,,,11431.0,,66046225387696a0f72502e5,"[{""page_index"":0,""viewing_time"":1195},{""page_index"":1,""viewing_time"":8654},{""page_index"":2,""viewing_time"":1582}]",,,,,,,,,,,,,,,,,
introduction,5,27038,0.0-5.0-0.0,cw3a2xe6,,,,,,1563.0,1,66046225387696a0f72502e5,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,27603,0.0-5.0-0.1,cw3a2xe6,,,,,,564.0,2,66046225387696a0f72502e5,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,29187,0.0-5.0-0.2,cw3a2xe6,,,,,,1583.0,1,66046225387696a0f72502e5,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,30047,0.0-5.0-0.3,cw3a2xe6,,,,,,859.0,3,66046225387696a0f72502e5,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,30628,0.0-5.0-0.4,cw3a2xe6,,,,,,579.0,2,66046225387696a0f72502e5,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,31404,0.0-5.0-0.5,cw3a2xe6,,,,,,775.0,3,66046225387696a0f72502e5,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,32093,0.0-5.0-0.6,cw3a2xe6,,,,,,688.0,1,66046225387696a0f72502e5,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,32628,0.0-5.0-0.7,cw3a2xe6,,,,,,534.0,2,66046225387696a0f72502e5,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,33178,0.0-5.0-0.8,cw3a2xe6,,,,,,549.0,3,66046225387696a0f72502e5,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,33822,0.0-5.0-0.9,cw3a2xe6,,,,,,643.0,2,66046225387696a0f72502e5,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,34272,0.0-5.0-0.10,cw3a2xe6,,,,,,449.0,1,66046225387696a0f72502e5,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,35090,0.0-5.0-0.11,cw3a2xe6,,,,,,817.0,3,66046225387696a0f72502e5,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,71002,0.0-6.0-0.0,cw3a2xe6,,,,,,35912.0,,66046225387696a0f72502e5,"[{""page_index"":0,""viewing_time"":2106},{""page_index"":1,""viewing_time"":3770},{""page_index"":2,""viewing_time"":25488},{""page_index"":3,""viewing_time"":4548}]",,,,,,,,,,,,,,,,,
introduction,19,99760,0.0-8.0-0.0,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,img/Red_circle.png,1981.0,calibration,,,,,,,,,,,,,,
introduction,20,102288,0.0-8.0-1.0-0.0,cw3a2xe6,,,,,,2523.0,3333,66046225387696a0f72502e5,,3333,,calibration,,,,,,,,,,,,,,
introduction,21,102290,0.0-8.0-2.0,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,22,104287,0.0-8.0-0.1,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,img/Red_circle.png,1296.0,calibration,,,,,,,,,,,,,,
introduction,23,105678,0.0-8.0-1.1-0.1,cw3a2xe6,,,,,,1390.0,23,66046225387696a0f72502e5,,23,,calibration,,,,,,,,,,,,,,
introduction,24,105679,0.0-8.0-2.1,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,25,106992,0.0-8.0-0.2,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,img/Red_circle.png,1969.0,calibration,,,,,,,,,,,,,,
introduction,26,108965,0.0-8.0-1.2-0.2,cw3a2xe6,,,,,,1971.0,1232,66046225387696a0f72502e5,,1232,,calibration,,,,,,,,,,,,,,
introduction,27,108966,0.0-8.0-2.2,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,28,110941,0.0-8.0-0.3,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,img/Red_circle.png,1144.0,calibration,,,,,,,,,,,,,,
introduction,29,112545,0.0-8.0-1.3-0.3,cw3a2xe6,,,,,,1603.0,1321,66046225387696a0f72502e5,,1321,,calibration,,,,,,,,,,,,,,
introduction,30,112546,0.0-8.0-2.3,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,31,113694,0.0-8.0-0.4,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,img/Red_circle.png,2798.0,calibration,,,,,,,,,,,,,,
introduction,32,115106,0.0-8.0-1.4-0.4,cw3a2xe6,,,,,,1409.0,211,66046225387696a0f72502e5,,211,,calibration,,,,,,,,,,,,,,
introduction,33,115107,0.0-8.0-2.4,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,34,117110,0.0-8.0-0.5,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,<p>CAREFUL. That was too slow.</p>,2467.0,calibration,,,,,,,,,,,,,,
introduction,35,118803,0.0-8.0-1.5-0.5,cw3a2xe6,,,,,,1689.0,3232,66046225387696a0f72502e5,,3232,,calibration,,,,,,,,,,,,,,
introduction,36,118803,0.0-8.0-2.5,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,37,120815,0.0-8.0-0.6,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,<p>CAREFUL. That was too slow.</p>,3157.0,calibration,,,,,,,,,,,,,,
introduction,38,123030,0.0-8.0-1.6-0.6,cw3a2xe6,,,,,,2212.0,3132,66046225387696a0f72502e5,,3132,,calibration,,,,,,,,,,,,,,
introduction,39,123031,0.0-8.0-2.6,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,40,125040,0.0-8.0-0.7,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,<p>CAREFUL. That was too slow.</p>,1105.0,calibration,,,,,,,,,,,,,,
introduction,41,126803,0.0-8.0-1.7-0.7,cw3a2xe6,,,,,,1760.0,1332,66046225387696a0f72502e5,,1332,,calibration,,,,,,,,,,,,,,
introduction,42,126804,0.0-8.0-2.7,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,43,127915,0.0-8.0-0.8,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,img/Red_circle.png,2018.0,calibration,,,,,,,,,,,,,,
introduction,44,129639,0.0-8.0-1.8-0.8,cw3a2xe6,,,,,,1721.0,3333,66046225387696a0f72502e5,,3333,,calibration,,,,,,,,,,,,,,
introduction,45,129640,0.0-8.0-2.8,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,46,131648,0.0-8.0-0.9,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,<p>CAREFUL. That was too slow.</p>,3111.0,calibration,,,,,,,,,,,,,,
introduction,47,133560,0.0-8.0-1.9-0.9,cw3a2xe6,,,,,,1908.0,2121,66046225387696a0f72502e5,,2121,,calibration,,,,,,,,,,,,,,
introduction,48,133561,0.0-8.0-2.9,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,49,135573,0.0-8.0-0.10,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,<p>CAREFUL. That was too slow.</p>,1379.0,calibration,,,,,,,,,,,,,,
introduction,50,137278,0.0-8.0-1.10-0.10,cw3a2xe6,,,,,,1703.0,3331,66046225387696a0f72502e5,,3331,,calibration,,,,,,,,,,,,,,
introduction,51,137278,0.0-8.0-2.10,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,52,138669,0.0-8.0-0.11,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,img/Red_circle.png,2403.0,calibration,,,,,,,,,,,,,,
introduction,53,140622,0.0-8.0-1.11-0.11,cw3a2xe6,,,,,,1951.0,1213,66046225387696a0f72502e5,,1213,,calibration,,,,,,,,,,,,,,
introduction,54,140623,0.0-8.0-2.11,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,,,,,,,,,,,,,,,,,
introduction,55,142632,0.0-8.0-0.12,cw3a2xe6,,,,,,,,66046225387696a0f72502e5,,<p>CAREFUL. That was too slow.</p>,2529.0,calibration,,,,,,,,,,,,,,
