trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,50706,0.0-2.0,4j4oru7h,,,,,,47474.0,6605eaefd982b606054fda4c,6605eaefd982b606054fda4c,,,,,,,,,,,,,,,,,,
introduction,3,84940,0.0-3.0,4j4oru7h,,,,,,34230.0,6605eaefd982b606054fda4c,6605eaefd982b606054fda4c,,,,,,,,,,,,,,,,,,
introduction,4,476517,0.0-4.0-0.0,4j4oru7h,,,,,,391576.0,,6605eaefd982b606054fda4c,"[{""page_index"":0,""viewing_time"":1984},{""page_index"":1,""viewing_time"":387380},{""page_index"":2,""viewing_time"":2211}]",,,,,,,,,,,,,,,,,
introduction,5,478069,0.0-5.0-0.0,4j4oru7h,,,,,,1549.0,1,6605eaefd982b606054fda4c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,479454,0.0-5.0-0.1,4j4oru7h,,,,,,1383.0,2,6605eaefd982b606054fda4c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,481318,0.0-5.0-0.2,4j4oru7h,,,,,,1863.0,1,6605eaefd982b606054fda4c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,483145,0.0-5.0-0.3,4j4oru7h,,,,,,1826.0,3,6605eaefd982b606054fda4c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,484416,0.0-5.0-0.4,4j4oru7h,,,,,,1269.0,2,6605eaefd982b606054fda4c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,485330,0.0-5.0-0.5,4j4oru7h,,,,,,912.0,3,6605eaefd982b606054fda4c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,486125,0.0-5.0-0.6,4j4oru7h,,,,,,794.0,1,6605eaefd982b606054fda4c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,486868,0.0-5.0-0.7,4j4oru7h,,,,,,741.0,2,6605eaefd982b606054fda4c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,487597,0.0-5.0-0.8,4j4oru7h,,,,,,727.0,3,6605eaefd982b606054fda4c,,Press: 3,,,,,,,,,,,,,,,,
