trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,21195,0.0-2.0,lbpwqp76,,,,,,16357.0,6609a35ed745fef53c0c1034,6609a35ed745fef53c0c1034,,,,,,,,,,,,,,,,,,
introduction,3,60066,0.0-3.0,lbpwqp76,,,,,,38866.0,6609a35ed745fef53c0c1034,6609a35ed745fef53c0c1034,,,,,,,,,,,,,,,,,,
introduction,4,116324,0.0-4.0-0.0,lbpwqp76,,,,,,56256.0,,6609a35ed745fef53c0c1034,"[{""page_index"":0,""viewing_time"":7823},{""page_index"":1,""viewing_time"":46615},{""page_index"":2,""viewing_time"":1817}]",,,,,,,,,,,,,,,,,
introduction,5,117350,0.0-5.0-0.0,lbpwqp76,,,,,,1024.0,1,6609a35ed745fef53c0c1034,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,118069,0.0-5.0-0.1,lbpwqp76,,,,,,717.0,2,6609a35ed745fef53c0c1034,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,118775,0.0-5.0-0.2,lbpwqp76,,,,,,705.0,1,6609a35ed745fef53c0c1034,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,119312,0.0-5.0-0.3,lbpwqp76,,,,,,536.0,3,6609a35ed745fef53c0c1034,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,119995,0.0-5.0-0.4,lbpwqp76,,,,,,683.0,2,6609a35ed745fef53c0c1034,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,120647,0.0-5.0-0.5,lbpwqp76,,,,,,651.0,3,6609a35ed745fef53c0c1034,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,121198,0.0-5.0-0.6,lbpwqp76,,,,,,550.0,1,6609a35ed745fef53c0c1034,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,121653,0.0-5.0-0.7,lbpwqp76,,,,,,454.0,2,6609a35ed745fef53c0c1034,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,122106,0.0-5.0-0.8,lbpwqp76,,,,,,453.0,3,6609a35ed745fef53c0c1034,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,122667,0.0-5.0-0.9,lbpwqp76,,,,,,560.0,2,6609a35ed745fef53c0c1034,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,123113,0.0-5.0-0.10,lbpwqp76,,,,,,445.0,1,6609a35ed745fef53c0c1034,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,123699,0.0-5.0-0.11,lbpwqp76,,,,,,585.0,3,6609a35ed745fef53c0c1034,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,172423,0.0-6.0-0.0,lbpwqp76,,,,,,48723.0,,6609a35ed745fef53c0c1034,"[{""page_index"":0,""viewing_time"":1090},{""page_index"":1,""viewing_time"":7114},{""page_index"":2,""viewing_time"":37571},{""page_index"":3,""viewing_time"":2947}]",,,,,,,,,,,,,,,,,
introduction,19,210263,0.0-8.0-0.0,lbpwqp76,,,,,,,,6609a35ed745fef53c0c1034,,img/Red_circle.png,1062.0,calibration,,,,,,,,,,,,,,
introduction,20,211734,0.0-8.0-1.0-0.0,lbpwqp76,,,,,,1467.0,112,6609a35ed745fef53c0c1034,,112,,calibration,,,,,,,,,,,,,,
introduction,21,211736,0.0-8.0-2.0,lbpwqp76,,,,,,,,6609a35ed745fef53c0c1034,,,,,,,,,,,,,,,,,,
introduction,22,212811,0.0-8.0-0.1,lbpwqp76,,,,,,,,6609a35ed745fef53c0c1034,,img/Red_circle.png,2337.0,calibration,,,,,,,,,,,,,,
introduction,23,214532,0.0-8.0-1.1-0.1,lbpwqp76,,,,,,1718.0,113,6609a35ed745fef53c0c1034,,113,,calibration,,,,,,,,,,,,,,
introduction,24,214533,0.0-8.0-2.1,lbpwqp76,,,,,,,,6609a35ed745fef53c0c1034,,,,,,,,,,,,,,,,,,
introduction,25,216540,0.0-8.0-0.2,lbpwqp76,,,,,,,,6609a35ed745fef53c0c1034,,<p>CAREFUL. That was too slow.</p>,2456.0,calibration,,,,,,,,,,,,,,
introduction,26,218563,0.0-8.0-1.2-0.2,lbpwqp76,,,,,,2020.0,2112,6609a35ed745fef53c0c1034,,2112,,calibration,,,,,,,,,,,,,,
introduction,27,218564,0.0-8.0-2.2,lbpwqp76,,,,,,,,6609a35ed745fef53c0c1034,,,,,,,,,,,,,,,,,,
