trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,65101,0.0-2.0,evsj5dz4,,,,,,55800.0,66116b402e87c03e47d1d74c,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,3,76085,0.0-3.0,evsj5dz4,,,,,,10982.0,66116b402e87c03e47d1d74c,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,4,85937,0.0-4.0-0.0,evsj5dz4,,,,,,9852.0,,66116b402e87c03e47d1d74c,"[{""page_index"":0,""viewing_time"":921},{""page_index"":1,""viewing_time"":7859},{""page_index"":2,""viewing_time"":1071}]",,,,,,,,,,,,,,,,,
introduction,5,86893,0.0-5.0-0.0,evsj5dz4,,,,,,955.0,1,66116b402e87c03e47d1d74c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,87298,0.0-5.0-0.1,evsj5dz4,,,,,,404.0,2,66116b402e87c03e47d1d74c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,87922,0.0-5.0-0.2,evsj5dz4,,,,,,624.0,1,66116b402e87c03e47d1d74c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,89344,0.0-5.0-0.3,evsj5dz4,,,,,,1420.0,3,66116b402e87c03e47d1d74c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,90197,0.0-5.0-0.4,evsj5dz4,,,,,,853.0,2,66116b402e87c03e47d1d74c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,90808,0.0-5.0-0.5,evsj5dz4,,,,,,610.0,3,66116b402e87c03e47d1d74c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,91367,0.0-5.0-0.6,evsj5dz4,,,,,,559.0,1,66116b402e87c03e47d1d74c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,92002,0.0-5.0-0.7,evsj5dz4,,,,,,635.0,2,66116b402e87c03e47d1d74c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,92489,0.0-5.0-0.8,evsj5dz4,,,,,,487.0,3,66116b402e87c03e47d1d74c,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,93032,0.0-5.0-0.9,evsj5dz4,,,,,,543.0,2,66116b402e87c03e47d1d74c,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,93574,0.0-5.0-0.10,evsj5dz4,,,,,,541.0,1,66116b402e87c03e47d1d74c,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,94427,0.0-5.0-0.11,evsj5dz4,,,,,,852.0,3,66116b402e87c03e47d1d74c,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,120430,0.0-6.0-0.0,evsj5dz4,,,,,,26003.0,,66116b402e87c03e47d1d74c,"[{""page_index"":0,""viewing_time"":1136},{""page_index"":1,""viewing_time"":1613},{""page_index"":2,""viewing_time"":22264},{""page_index"":3,""viewing_time"":991}]",,,,,,,,,,,,,,,,,
introduction,19,135912,0.0-8.0-0.0,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,img/Red_circle.png,2675.0,calibration,,,,,,,,,,,,,,
introduction,20,139578,0.0-8.0-1.0-0.0,evsj5dz4,,,,,,3665.0,331,66116b402e87c03e47d1d74c,,331,,calibration,,,,,,,,,,,,,,
introduction,21,141582,0.0-8.0-2.0,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,144260,0.0-8.0-0.1,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,img/Red_circle.png,2457.0,calibration,,,,,,,,,,,,,,
introduction,23,145719,0.0-8.0-1.1-0.1,evsj5dz4,,,,,,1456.0,23,66116b402e87c03e47d1d74c,,23,,calibration,,,,,,,,,,,,,,
introduction,24,145719,0.0-8.0-2.1,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,25,147722,0.0-8.0-0.2,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,3102.0,calibration,,,,,,,,,,,,,,
introduction,26,148742,0.0-8.0-1.2-0.2,evsj5dz4,,,,,,1018.0,123,66116b402e87c03e47d1d74c,,123,,calibration,,,,,,,,,,,,,,
introduction,27,148743,0.0-8.0-2.2,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,28,150744,0.0-8.0-0.3,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,2088.0,calibration,,,,,,,,,,,,,,
introduction,29,152339,0.0-8.0-1.3-0.3,evsj5dz4,,,,,,1593.0,1333,66116b402e87c03e47d1d74c,,1333,,calibration,,,,,,,,,,,,,,
introduction,30,152340,0.0-8.0-2.3,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,31,154342,0.0-8.0-0.4,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,1499.0,calibration,,,,,,,,,,,,,,
introduction,32,155695,0.0-8.0-1.4-0.4,evsj5dz4,,,,,,1350.0,211,66116b402e87c03e47d1d74c,,211,,calibration,,,,,,,,,,,,,,
introduction,33,155695,0.0-8.0-2.4,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,34,157197,0.0-8.0-0.5,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,img/Red_circle.png,2547.0,calibration,,,,,,,,,,,,,,
introduction,35,159208,0.0-8.0-1.5-0.5,evsj5dz4,,,,,,2008.0,1322,66116b402e87c03e47d1d74c,,1322,,calibration,,,,,,,,,,,,,,
introduction,36,159208,0.0-8.0-2.5,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,37,161211,0.0-8.0-0.6,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,3180.0,calibration,,,,,,,,,,,,,,
introduction,38,162946,0.0-8.0-1.6-0.6,evsj5dz4,,,,,,1733.0,1312,66116b402e87c03e47d1d74c,,1312,,calibration,,,,,,,,,,,,,,
introduction,39,162946,0.0-8.0-2.6,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,40,164949,0.0-8.0-0.7,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,2274.0,calibration,,,,,,,,,,,,,,
introduction,41,167093,0.0-8.0-1.7-0.7,evsj5dz4,,,,,,2143.0,1313,66116b402e87c03e47d1d74c,,1313,,calibration,,,,,,,,,,,,,,
introduction,42,167094,0.0-8.0-2.7,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,43,169096,0.0-8.0-0.8,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,2469.0,calibration,,,,,,,,,,,,,,
introduction,44,170206,0.0-8.0-1.8-0.8,evsj5dz4,,,,,,1108.0,23,66116b402e87c03e47d1d74c,,23,,calibration,,,,,,,,,,,,,,
introduction,45,170206,0.0-8.0-2.8,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,46,172209,0.0-8.0-0.9,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,1479.0,calibration,,,,,,,,,,,,,,
introduction,47,173995,0.0-8.0-1.9-0.9,evsj5dz4,,,,,,1785.0,1,66116b402e87c03e47d1d74c,,2112,,calibration,,,,,,,,,,,,,,
introduction,48,175404,0.0-8.0-1.10-0.10,evsj5dz4,,,,,,1407.0,2112,66116b402e87c03e47d1d74c,,2112,,calibration,,,,,,,,,,,,,,
introduction,49,175405,0.0-8.0-2.9,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,50,176887,0.0-8.0-0.10,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,img/Red_circle.png,1125.0,calibration,,,,,,,,,,,,,,
introduction,51,178619,0.0-8.0-1.11-0.11,evsj5dz4,,,,,,1730.0,3323,66116b402e87c03e47d1d74c,,3323,,calibration,,,,,,,,,,,,,,
introduction,52,178619,0.0-8.0-2.10,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,53,179748,0.0-8.0-0.11,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,img/Red_circle.png,2374.0,calibration,,,,,,,,,,,,,,
introduction,54,181417,0.0-8.0-1.12-0.12,evsj5dz4,,,,,,1668.0,1232,66116b402e87c03e47d1d74c,,1232,,calibration,,,,,,,,,,,,,,
introduction,55,181418,0.0-8.0-2.11,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,56,183420,0.0-8.0-0.12,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,2319.0,calibration,,,,,,,,,,,,,,
introduction,57,185474,0.0-8.0-1.13-0.13,evsj5dz4,,,,,,2052.0,3212,66116b402e87c03e47d1d74c,,3213,,calibration,,,,,,,,,,,,,,
introduction,58,188513,0.0-8.0-1.14-0.14,evsj5dz4,,,,,,3038.0,3213,66116b402e87c03e47d1d74c,,3213,,calibration,,,,,,,,,,,,,,
introduction,59,190516,0.0-8.0-2.12,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,60,192838,0.0-8.0-0.13,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,img/Red_circle.png,3490.0,calibration,,,,,,,,,,,,,,
introduction,61,194582,0.0-8.0-1.15-0.15,evsj5dz4,,,,,,1742.0,231,66116b402e87c03e47d1d74c,,231,,calibration,,,,,,,,,,,,,,
introduction,62,194583,0.0-8.0-2.13,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,63,196584,0.0-8.0-0.14,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,1286.0,calibration,,,,,,,,,,,,,,
introduction,64,197641,0.0-8.0-1.16-0.16,evsj5dz4,,,,,,1055.0,11,66116b402e87c03e47d1d74c,,111,,calibration,,,,,,,,,,,,,,
introduction,65,198491,0.0-8.0-1.17-0.17,evsj5dz4,,,,,,848.0,111,66116b402e87c03e47d1d74c,,111,,calibration,,,,,,,,,,,,,,
introduction,66,198491,0.0-8.0-2.14,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,67,199780,0.0-8.0-0.15,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,img/Red_circle.png,1678.0,calibration,,,,,,,,,,,,,,
introduction,68,202093,0.0-8.0-1.18-0.18,evsj5dz4,,,,,,2311.0,3212,66116b402e87c03e47d1d74c,,3213,,calibration,,,,,,,,,,,,,,
introduction,69,202444,0.0-8.0-1.19-0.19,evsj5dz4,,,,,,349.0,3,66116b402e87c03e47d1d74c,,3213,,calibration,,,,,,,,,,,,,,
introduction,70,204353,0.0-8.0-1.20-0.20,evsj5dz4,,,,,,1907.0,3213,66116b402e87c03e47d1d74c,,3213,,calibration,,,,,,,,,,,,,,
introduction,71,206355,0.0-8.0-2.15,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,72,208036,0.0-8.0-0.16,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,img/Red_circle.png,1862.0,calibration,,,,,,,,,,,,,,
introduction,73,209948,0.0-8.0-1.21-0.21,evsj5dz4,,,,,,1910.0,1231,66116b402e87c03e47d1d74c,,1231,,calibration,,,,,,,,,,,,,,
introduction,74,209948,0.0-8.0-2.16,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,75,211812,0.0-8.0-0.17,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,img/Red_circle.png,1071.0,calibration,,,,,,,,,,,,,,
introduction,76,212720,0.0-8.0-1.22-0.22,evsj5dz4,,,,,,907.0,11,66116b402e87c03e47d1d74c,,11,,calibration,,,,,,,,,,,,,,
introduction,77,212721,0.0-8.0-2.17,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,78,213795,0.0-8.0-0.18,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,img/Red_circle.png,3145.0,calibration,,,,,,,,,,,,,,
introduction,79,215545,0.0-8.0-1.23-0.23,evsj5dz4,,,,,,1748.0,1132,66116b402e87c03e47d1d74c,,1132,,calibration,,,,,,,,,,,,,,
introduction,80,215546,0.0-8.0-2.18,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,81,217547,0.0-8.0-0.19,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,3442.0,calibration,,,,,,,,,,,,,,
introduction,82,218964,0.0-8.0-1.24-0.24,evsj5dz4,,,,,,1415.0,133,66116b402e87c03e47d1d74c,,3111,,calibration,,,,,,,,,,,,,,
introduction,83,220756,0.0-8.0-1.25-0.25,evsj5dz4,,,,,,1790.0,3111,66116b402e87c03e47d1d74c,,3111,,calibration,,,,,,,,,,,,,,
introduction,84,220756,0.0-8.0-2.19,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,85,222759,0.0-8.0-0.20,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,2689.0,calibration,,,,,,,,,,,,,,
introduction,86,225079,0.0-8.0-1.26-0.26,evsj5dz4,,,,,,2319.0,3211,66116b402e87c03e47d1d74c,,3211,,calibration,,,,,,,,,,,,,,
introduction,87,225079,0.0-8.0-2.20,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,88,227081,0.0-8.0-0.21,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,3156.0,calibration,,,,,,,,,,,,,,
introduction,89,229157,0.0-8.0-1.27-0.27,evsj5dz4,,,,,,2073.0,2132,66116b402e87c03e47d1d74c,,2132,,calibration,,,,,,,,,,,,,,
introduction,90,229157,0.0-8.0-2.21,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,91,231159,0.0-8.0-0.22,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,2946.0,calibration,,,,,,,,,,,,,,
introduction,92,233158,0.0-8.0-1.28-0.28,evsj5dz4,,,,,,1998.0,2312,66116b402e87c03e47d1d74c,,2312,,calibration,,,,,,,,,,,,,,
introduction,93,233159,0.0-8.0-2.22,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,94,235161,0.0-8.0-0.23,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,2874.0,calibration,,,,,,,,,,,,,,
introduction,95,237294,0.0-8.0-1.29-0.29,evsj5dz4,,,,,,2132.0,1232,66116b402e87c03e47d1d74c,,1232,,calibration,,,,,,,,,,,,,,
introduction,96,237295,0.0-8.0-2.23,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,97,239297,0.0-8.0-0.24,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,2678.0,calibration,,,,,,,,,,,,,,
introduction,98,241382,0.0-8.0-1.30-0.30,evsj5dz4,,,,,,2083.0,3322,66116b402e87c03e47d1d74c,,3322,,calibration,,,,,,,,,,,,,,
introduction,99,241382,0.0-8.0-2.24,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,100,243384,0.0-8.0-0.25,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,2173.0,calibration,,,,,,,,,,,,,,
introduction,101,244520,0.0-8.0-1.31-0.31,evsj5dz4,,,,,,1134.0,121,66116b402e87c03e47d1d74c,,121,,calibration,,,,,,,,,,,,,,
introduction,102,244520,0.0-8.0-2.25,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,103,246523,0.0-8.0-0.26,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,<p>CAREFUL. That was too slow.</p>,1952.0,calibration,,,,,,,,,,,,,,
introduction,104,248118,0.0-8.0-1.32-0.32,evsj5dz4,,,,,,1594.0,3113,66116b402e87c03e47d1d74c,,3113,,calibration,,,,,,,,,,,,,,
introduction,105,248119,0.0-8.0-2.26,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,,,,,,,,,,,,,,,,,
introduction,106,250074,0.0-8.0-0.27,evsj5dz4,,,,,,,,66116b402e87c03e47d1d74c,,img/Red_circle.png,2557.0,calibration,,,,,,,,,,,,,,
introduction,107,251962,0.0-8.0-1.33-0.33,evsj5dz4,,,,,,1887.0,1322,66116b402e87c03e47d1d74c,,1322,,calibration,,,,,,,,,,,,,,
