trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6554,0.0-2.0,jc0rw2y2,,,,,,1907.0,66293a97afaf09c613477f83,66293a97afaf09c613477f83,,,,,,,,,,,,,,,,,,
introduction,3,7806,0.0-3.0,jc0rw2y2,,,,,,1250.0,66293a97afaf09c613477f83,66293a97afaf09c613477f83,,,,,,,,,,,,,,,,,,
introduction,4,18958,0.0-4.0-0.0,jc0rw2y2,,,,,,11151.0,,66293a97afaf09c613477f83,"[{""page_index"":0,""viewing_time"":853},{""page_index"":1,""viewing_time"":9420},{""page_index"":2,""viewing_time"":878}]",,,,,,,,,,,,,,,,,
introduction,5,19479,0.0-5.0-0.0,jc0rw2y2,,,,,,520.0,1,66293a97afaf09c613477f83,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,19857,0.0-5.0-0.1,jc0rw2y2,,,,,,378.0,2,66293a97afaf09c613477f83,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,20461,0.0-5.0-0.2,jc0rw2y2,,,,,,604.0,1,66293a97afaf09c613477f83,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,20932,0.0-5.0-0.3,jc0rw2y2,,,,,,470.0,3,66293a97afaf09c613477f83,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,21307,0.0-5.0-0.4,jc0rw2y2,,,,,,375.0,2,66293a97afaf09c613477f83,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,21767,0.0-5.0-0.5,jc0rw2y2,,,,,,460.0,3,66293a97afaf09c613477f83,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22150,0.0-5.0-0.6,jc0rw2y2,,,,,,383.0,1,66293a97afaf09c613477f83,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,22523,0.0-5.0-0.7,jc0rw2y2,,,,,,373.0,2,66293a97afaf09c613477f83,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,22911,0.0-5.0-0.8,jc0rw2y2,,,,,,388.0,3,66293a97afaf09c613477f83,,Press: 3,,,,,,,,,,,,,,,,
