trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7797,0.0-2.0,0hjnt3tv,,,,,,4976.0,6629adbd155fc3428fedad56,6629adbd155fc3428fedad56,,,,,,,,,,,,,,,,,,
introduction,3,12099,0.0-3.0,0hjnt3tv,,,,,,4300.0,6629adbd155fc3428fedad56,6629adbd155fc3428fedad56,,,,,,,,,,,,,,,,,,
introduction,4,32985,0.0-4.0-0.0,0hjnt3tv,,,,,,20885.0,,6629adbd155fc3428fedad56,"[{""page_index"":0,""viewing_time"":1910},{""page_index"":1,""viewing_time"":17518},{""page_index"":2,""viewing_time"":1456}]",,,,,,,,,,,,,,,,,
introduction,5,34359,0.0-5.0-0.0,0hjnt3tv,,,,,,1372.0,1,6629adbd155fc3428fedad56,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,35182,0.0-5.0-0.1,0hjnt3tv,,,,,,822.0,2,6629adbd155fc3428fedad56,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,36335,0.0-5.0-0.2,0hjnt3tv,,,,,,1152.0,1,6629adbd155fc3428fedad56,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,37243,0.0-5.0-0.3,0hjnt3tv,,,,,,907.0,3,6629adbd155fc3428fedad56,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,38142,0.0-5.0-0.4,0hjnt3tv,,,,,,898.0,2,6629adbd155fc3428fedad56,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,38938,0.0-5.0-0.5,0hjnt3tv,,,,,,795.0,3,6629adbd155fc3428fedad56,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,39584,0.0-5.0-0.6,0hjnt3tv,,,,,,646.0,1,6629adbd155fc3428fedad56,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,40206,0.0-5.0-0.7,0hjnt3tv,,,,,,621.0,2,6629adbd155fc3428fedad56,,Press: 2,,,,,,,,,,,,,,,,
