trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,20352,0.0-2.0,wnxyp8aa,,,,,,7451.0,6630fcae418bde6a9e7c3b47,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,3,22402,0.0-3.0,wnxyp8aa,,,,,,2045.0,6630fcae418bde6a9e7c3b47,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,4,350435,0.0-4.0-0.0,wnxyp8aa,,,,,,328033.0,,6630fcae418bde6a9e7c3b47,"[{""page_index"":0,""viewing_time"":915},{""page_index"":1,""viewing_time"":326114},{""page_index"":2,""viewing_time"":1003}]",,,,,,,,,,,,,,,,,
introduction,5,351902,0.0-5.0-0.0,wnxyp8aa,,,,,,1465.0,1,6630fcae418bde6a9e7c3b47,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,352456,0.0-5.0-0.1,wnxyp8aa,,,,,,553.0,2,6630fcae418bde6a9e7c3b47,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,353126,0.0-5.0-0.2,wnxyp8aa,,,,,,669.0,1,6630fcae418bde6a9e7c3b47,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,353692,0.0-5.0-0.3,wnxyp8aa,,,,,,565.0,3,6630fcae418bde6a9e7c3b47,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,354211,0.0-5.0-0.4,wnxyp8aa,,,,,,517.0,2,6630fcae418bde6a9e7c3b47,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,354757,0.0-5.0-0.5,wnxyp8aa,,,,,,545.0,3,6630fcae418bde6a9e7c3b47,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,355287,0.0-5.0-0.6,wnxyp8aa,,,,,,529.0,1,6630fcae418bde6a9e7c3b47,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,355801,0.0-5.0-0.7,wnxyp8aa,,,,,,513.0,2,6630fcae418bde6a9e7c3b47,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,356313,0.0-5.0-0.8,wnxyp8aa,,,,,,511.0,3,6630fcae418bde6a9e7c3b47,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,356971,0.0-5.0-0.9,wnxyp8aa,,,,,,658.0,2,6630fcae418bde6a9e7c3b47,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,357548,0.0-5.0-0.10,wnxyp8aa,,,,,,577.0,1,6630fcae418bde6a9e7c3b47,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,358119,0.0-5.0-0.11,wnxyp8aa,,,,,,570.0,3,6630fcae418bde6a9e7c3b47,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,374247,0.0-6.0-0.0,wnxyp8aa,,,,,,16127.0,,6630fcae418bde6a9e7c3b47,"[{""page_index"":0,""viewing_time"":1453},{""page_index"":1,""viewing_time"":2338},{""page_index"":2,""viewing_time"":11112},{""page_index"":3,""viewing_time"":1224}]",,,,,,,,,,,,,,,,,
introduction,19,389078,0.0-8.0-0.0,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,1226.0,calibration,,,,,,,,,,,,,,
introduction,20,390446,0.0-8.0-1.0-0.0,wnxyp8aa,,,,,,1364.0,2222,6630fcae418bde6a9e7c3b47,,2222,,calibration,,,,,,,,,,,,,,
introduction,21,390447,0.0-8.0-2.0,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,22,391692,0.0-8.0-0.1,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,1457.0,calibration,,,,,,,,,,,,,,
introduction,23,393101,0.0-8.0-1.1-0.1,wnxyp8aa,,,,,,1407.0,112,6630fcae418bde6a9e7c3b47,,112,,calibration,,,,,,,,,,,,,,
introduction,24,393102,0.0-8.0-2.1,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,25,394562,0.0-8.0-0.2,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,1160.0,calibration,,,,,,,,,,,,,,
introduction,26,395832,0.0-8.0-1.2-0.2,wnxyp8aa,,,,,,1267.0,2222,6630fcae418bde6a9e7c3b47,,2222,,calibration,,,,,,,,,,,,,,
introduction,27,395833,0.0-8.0-2.2,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,28,396995,0.0-8.0-0.3,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,1169.0,calibration,,,,,,,,,,,,,,
introduction,29,398402,0.0-8.0-1.3-0.3,wnxyp8aa,,,,,,1404.0,1221,6630fcae418bde6a9e7c3b47,,1221,,calibration,,,,,,,,,,,,,,
introduction,30,398402,0.0-8.0-2.3,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,31,399575,0.0-8.0-0.4,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,2451.0,calibration,,,,,,,,,,,,,,
introduction,32,400745,0.0-8.0-1.4-0.4,wnxyp8aa,,,,,,1166.0,2222,6630fcae418bde6a9e7c3b47,,2222,,calibration,,,,,,,,,,,,,,
introduction,33,400746,0.0-8.0-2.4,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,34,402751,0.0-8.0-0.5,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,1613.0,calibration,,,,,,,,,,,,,,
introduction,35,403958,0.0-8.0-1.5-0.5,wnxyp8aa,,,,,,1203.0,311,6630fcae418bde6a9e7c3b47,,311,,calibration,,,,,,,,,,,,,,
introduction,36,403959,0.0-8.0-2.5,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,37,405574,0.0-8.0-0.6,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,1801.0,calibration,,,,,,,,,,,,,,
introduction,38,407350,0.0-8.0-1.6-0.6,wnxyp8aa,,,,,,1772.0,1332,6630fcae418bde6a9e7c3b47,,1332,,calibration,,,,,,,,,,,,,,
introduction,39,407352,0.0-8.0-2.6,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,40,409168,0.0-8.0-0.7,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,1563.0,calibration,,,,,,,,,,,,,,
introduction,41,410942,0.0-8.0-1.7-0.7,wnxyp8aa,,,,,,1771.0,2131,6630fcae418bde6a9e7c3b47,,2131,,calibration,,,,,,,,,,,,,,
introduction,42,410943,0.0-8.0-2.7,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,43,412510,0.0-8.0-0.8,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,2496.0,calibration,,,,,,,,,,,,,,
introduction,44,414239,0.0-8.0-1.8-0.8,wnxyp8aa,,,,,,1727.0,1323,6630fcae418bde6a9e7c3b47,,1323,,calibration,,,,,,,,,,,,,,
introduction,45,414247,0.0-8.0-2.8,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,46,416252,0.0-8.0-0.9,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,2340.0,calibration,,,,,,,,,,,,,,
introduction,47,417238,0.0-8.0-1.9-0.9,wnxyp8aa,,,,,,983.0,222,6630fcae418bde6a9e7c3b47,,222,,calibration,,,,,,,,,,,,,,
introduction,48,417240,0.0-8.0-2.9,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,49,419254,0.0-8.0-0.10,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,1071.0,calibration,,,,,,,,,,,,,,
introduction,50,420626,0.0-8.0-1.10-0.10,wnxyp8aa,,,,,,1368.0,3313,6630fcae418bde6a9e7c3b47,,3313,,calibration,,,,,,,,,,,,,,
introduction,51,420627,0.0-8.0-2.10,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,52,421709,0.0-8.0-0.11,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,2788.0,calibration,,,,,,,,,,,,,,
introduction,53,422945,0.0-8.0-1.11-0.11,wnxyp8aa,,,,,,1233.0,2211,6630fcae418bde6a9e7c3b47,,2211,,calibration,,,,,,,,,,,,,,
introduction,54,422946,0.0-8.0-2.11,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,55,424956,0.0-8.0-0.12,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,1343.0,calibration,,,,,,,,,,,,,,
introduction,56,426111,0.0-8.0-1.12-0.12,wnxyp8aa,,,,,,1152.0,1133,6630fcae418bde6a9e7c3b47,,1133,,calibration,,,,,,,,,,,,,,
introduction,57,426112,0.0-8.0-2.12,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,58,427465,0.0-8.0-0.13,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,1403.0,calibration,,,,,,,,,,,,,,
introduction,59,428634,0.0-8.0-1.13-0.13,wnxyp8aa,,,,,,1164.0,322,6630fcae418bde6a9e7c3b47,,322,,calibration,,,,,,,,,,,,,,
introduction,60,428635,0.0-8.0-2.13,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,61,430047,0.0-8.0-0.14,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,2545.0,calibration,,,,,,,,,,,,,,
introduction,62,431641,0.0-8.0-1.14-0.14,wnxyp8aa,,,,,,1591.0,2122,6630fcae418bde6a9e7c3b47,,2122,,calibration,,,,,,,,,,,,,,
introduction,63,431641,0.0-8.0-2.14,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,64,433649,0.0-8.0-0.15,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,2169.0,calibration,,,,,,,,,,,,,,
introduction,65,434823,0.0-8.0-1.15-0.15,wnxyp8aa,,,,,,1170.0,2233,6630fcae418bde6a9e7c3b47,,2233,,calibration,,,,,,,,,,,,,,
introduction,66,434824,0.0-8.0-2.15,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,67,436837,0.0-8.0-0.16,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,1772.0,calibration,,,,,,,,,,,,,,
introduction,68,437859,0.0-8.0-1.16-0.16,wnxyp8aa,,,,,,1021.0,233,6630fcae418bde6a9e7c3b47,,233,,calibration,,,,,,,,,,,,,,
introduction,69,437860,0.0-8.0-2.16,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,70,439647,0.0-8.0-0.17,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,1168.0,calibration,,,,,,,,,,,,,,
introduction,71,441901,0.0-8.0-1.17-0.17,wnxyp8aa,,,,,,2250.0,2223,6630fcae418bde6a9e7c3b47,,2223,,calibration,,,,,,,,,,,,,,
introduction,72,441901,0.0-8.0-2.17,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,73,443075,0.0-8.0-0.18,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,3344.0,calibration,,,,,,,,,,,,,,
introduction,74,444522,0.0-8.0-1.18-0.18,wnxyp8aa,,,,,,1445.0,313,6630fcae418bde6a9e7c3b47,,313,,calibration,,,,,,,,,,,,,,
introduction,75,444523,0.0-8.0-2.18,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,76,446526,0.0-8.0-0.19,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,2956.0,calibration,,,,,,,,,,,,,,
introduction,77,447761,0.0-8.0-1.19-0.19,wnxyp8aa,,,,,,1232.0,1131,6630fcae418bde6a9e7c3b47,,1131,,calibration,,,,,,,,,,,,,,
introduction,78,447762,0.0-8.0-2.19,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,79,449768,0.0-8.0-0.20,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,3066.0,calibration,,,,,,,,,,,,,,
introduction,80,452003,0.0-8.0-1.20-0.20,wnxyp8aa,,,,,,2232.0,12322,6630fcae418bde6a9e7c3b47,,1322,,calibration,,,,,,,,,,,,,,
introduction,81,454195,0.0-8.0-1.21-0.21,wnxyp8aa,,,,,,2189.0,1322,6630fcae418bde6a9e7c3b47,,1322,,calibration,,,,,,,,,,,,,,
introduction,82,456206,0.0-8.0-2.20,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,83,459275,0.0-8.0-0.21,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,3495.0,calibration,,,,,,,,,,,,,,
introduction,84,460482,0.0-8.0-1.22-0.22,wnxyp8aa,,,,,,1203.0,223,6630fcae418bde6a9e7c3b47,,223,,calibration,,,,,,,,,,,,,,
introduction,85,460482,0.0-8.0-2.21,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,86,462488,0.0-8.0-0.22,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,2332.0,calibration,,,,,,,,,,,,,,
introduction,87,464017,0.0-8.0-1.23-0.23,wnxyp8aa,,,,,,1526.0,3212,6630fcae418bde6a9e7c3b47,,3212,,calibration,,,,,,,,,,,,,,
introduction,88,464018,0.0-8.0-2.22,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,89,466035,0.0-8.0-0.23,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,3274.0,calibration,,,,,,,,,,,,,,
introduction,90,467376,0.0-8.0-1.24-0.24,wnxyp8aa,,,,,,1338.0,2133,6630fcae418bde6a9e7c3b47,,2133,,calibration,,,,,,,,,,,,,,
introduction,91,467377,0.0-8.0-2.23,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,92,469385,0.0-8.0-0.24,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,2570.0,calibration,,,,,,,,,,,,,,
introduction,93,471168,0.0-8.0-1.25-0.25,wnxyp8aa,,,,,,1779.0,3311,6630fcae418bde6a9e7c3b47,,3311,,calibration,,,,,,,,,,,,,,
introduction,94,471169,0.0-8.0-2.24,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,95,473171,0.0-8.0-0.25,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,1692.0,calibration,,,,,,,,,,,,,,
introduction,96,474600,0.0-8.0-1.26-0.26,wnxyp8aa,,,,,,1426.0,1212,6630fcae418bde6a9e7c3b47,,1312,,calibration,,,,,,,,,,,,,,
introduction,97,475911,0.0-8.0-1.27-0.27,wnxyp8aa,,,,,,1308.0,1312,6630fcae418bde6a9e7c3b47,,1312,,calibration,,,,,,,,,,,,,,
introduction,98,475912,0.0-8.0-2.25,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,99,477615,0.0-8.0-0.26,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,img/Red_circle.png,2023.0,calibration,,,,,,,,,,,,,,
introduction,100,478417,0.0-8.0-1.28-0.28,wnxyp8aa,,,,,,799.0,22,6630fcae418bde6a9e7c3b47,,22,,calibration,,,,,,,,,,,,,,
introduction,101,478417,0.0-8.0-2.26,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,102,480419,0.0-8.0-0.27,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,2203.0,calibration,,,,,,,,,,,,,,
introduction,103,481735,0.0-8.0-1.29-0.29,wnxyp8aa,,,,,,1313.0,1113,6630fcae418bde6a9e7c3b47,,1113,,calibration,,,,,,,,,,,,,,
introduction,104,481736,0.0-8.0-2.27,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
introduction,105,483747,0.0-8.0-0.28,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,<p>CAREFUL. That was too slow.</p>,3157.0,calibration,,,,,,,,,,,,,,
introduction,106,485503,0.0-8.0-1.30-0.30,wnxyp8aa,,,,,,1753.0,1322,6630fcae418bde6a9e7c3b47,,1322,,calibration,,,,,,,,,,,,,,
introduction,107,485504,0.0-8.0-2.28,wnxyp8aa,,,,,,,,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,
