trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6651,0.0-2.0,uerb4d2n,,,,,,3728.0,663160484ee8fd5fa146c038,663160484ee8fd5fa146c038,,,,,,,,,,,,,,,,,,
introduction,3,9659,0.0-3.0,uerb4d2n,,,,,,3006.0,663160484ee8fd5fa146c038,663160484ee8fd5fa146c038,,,,,,,,,,,,,,,,,,
introduction,4,26172,0.0-4.0-0.0,uerb4d2n,,,,,,16513.0,,663160484ee8fd5fa146c038,"[{""page_index"":0,""viewing_time"":1260},{""page_index"":1,""viewing_time"":13485},{""page_index"":2,""viewing_time"":1768}]",,,,,,,,,,,,,,,,,
introduction,5,27116,0.0-5.0-0.0,uerb4d2n,,,,,,943.0,1,663160484ee8fd5fa146c038,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,27838,0.0-5.0-0.1,uerb4d2n,,,,,,721.0,2,663160484ee8fd5fa146c038,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,29073,0.0-5.0-0.2,uerb4d2n,,,,,,1235.0,1,663160484ee8fd5fa146c038,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,29732,0.0-5.0-0.3,uerb4d2n,,,,,,658.0,3,663160484ee8fd5fa146c038,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,30388,0.0-5.0-0.4,uerb4d2n,,,,,,655.0,2,663160484ee8fd5fa146c038,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,31085,0.0-5.0-0.5,uerb4d2n,,,,,,697.0,3,663160484ee8fd5fa146c038,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,31628,0.0-5.0-0.6,uerb4d2n,,,,,,541.0,1,663160484ee8fd5fa146c038,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,32246,0.0-5.0-0.7,uerb4d2n,,,,,,617.0,2,663160484ee8fd5fa146c038,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,32793,0.0-5.0-0.8,uerb4d2n,,,,,,546.0,3,663160484ee8fd5fa146c038,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,33521,0.0-5.0-0.9,uerb4d2n,,,,,,727.0,2,663160484ee8fd5fa146c038,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,34031,0.0-5.0-0.10,uerb4d2n,,,,,,509.0,1,663160484ee8fd5fa146c038,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,34600,0.0-5.0-0.11,uerb4d2n,,,,,,568.0,3,663160484ee8fd5fa146c038,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,83573,0.0-6.0-0.0,uerb4d2n,,,,,,48973.0,,663160484ee8fd5fa146c038,"[{""page_index"":0,""viewing_time"":1822},{""page_index"":1,""viewing_time"":3936},{""page_index"":2,""viewing_time"":40300},{""page_index"":3,""viewing_time"":2915}]",,,,,,,,,,,,,,,,,
introduction,19,107262,0.0-8.0-0.0,uerb4d2n,,,,,,,,663160484ee8fd5fa146c038,,img/Red_circle.png,2762.0,calibration,,,,,,,,,,,,,,
introduction,20,110830,0.0-8.0-1.0-0.0,uerb4d2n,,,,,,3565.0,3113,663160484ee8fd5fa146c038,,3113,,calibration,,,,,,,,,,,,,,
introduction,21,112834,0.0-8.0-2.0,uerb4d2n,,,,,,,,663160484ee8fd5fa146c038,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,115606,0.0-8.0-0.1,uerb4d2n,,,,,,,,663160484ee8fd5fa146c038,,img/Red_circle.png,1385.0,calibration,,,,,,,,,,,,,,
introduction,23,118143,0.0-8.0-1.1-0.1,uerb4d2n,,,,,,2535.0,2323,663160484ee8fd5fa146c038,,2323,,calibration,,,,,,,,,,,,,,
