trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,9994,0.0-2.0,9tplgryg,,,,,,7184.0,6632baca722ad82b9522bfcb,6632baca722ad82b9522bfcb,,,,,,,,,,,,,,,,,,
introduction,3,11936,0.0-3.0,9tplgryg,,,,,,1937.0,6632baca722ad82b9522bfcb,6632baca722ad82b9522bfcb,,,,,,,,,,,,,,,,,,
introduction,4,17228,0.0-4.0-0.0,9tplgryg,,,,,,5292.0,,6632baca722ad82b9522bfcb,"[{""page_index"":0,""viewing_time"":791},{""page_index"":1,""viewing_time"":3674},{""page_index"":2,""viewing_time"":826}]",,,,,,,,,,,,,,,,,
introduction,5,17833,0.0-5.0-0.0,9tplgryg,,,,,,603.0,1,6632baca722ad82b9522bfcb,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,18263,0.0-5.0-0.1,9tplgryg,,,,,,429.0,2,6632baca722ad82b9522bfcb,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,18870,0.0-5.0-0.2,9tplgryg,,,,,,606.0,1,6632baca722ad82b9522bfcb,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,19552,0.0-5.0-0.3,9tplgryg,,,,,,682.0,3,6632baca722ad82b9522bfcb,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,20043,0.0-5.0-0.4,9tplgryg,,,,,,490.0,2,6632baca722ad82b9522bfcb,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,20540,0.0-5.0-0.5,9tplgryg,,,,,,497.0,3,6632baca722ad82b9522bfcb,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,21040,0.0-5.0-0.6,9tplgryg,,,,,,500.0,1,6632baca722ad82b9522bfcb,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,21489,0.0-5.0-0.7,9tplgryg,,,,,,448.0,2,6632baca722ad82b9522bfcb,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,22231,0.0-5.0-0.8,9tplgryg,,,,,,742.0,3,6632baca722ad82b9522bfcb,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,22847,0.0-5.0-0.9,9tplgryg,,,,,,615.0,2,6632baca722ad82b9522bfcb,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,23391,0.0-5.0-0.10,9tplgryg,,,,,,544.0,1,6632baca722ad82b9522bfcb,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,24052,0.0-5.0-0.11,9tplgryg,,,,,,660.0,3,6632baca722ad82b9522bfcb,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,38291,0.0-6.0-0.0,9tplgryg,,,,,,14239.0,,6632baca722ad82b9522bfcb,"[{""page_index"":0,""viewing_time"":946},{""page_index"":1,""viewing_time"":946},{""page_index"":2,""viewing_time"":11079},{""page_index"":3,""viewing_time"":1268}]",,,,,,,,,,,,,,,,,
introduction,19,55402,0.0-8.0-0.0,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,img/Red_circle.png,1678.0,calibration,,,,,,,,,,,,,,
introduction,20,57538,0.0-8.0-1.0-0.0,9tplgryg,,,,,,2133.0,131,6632baca722ad82b9522bfcb,,131,,calibration,,,,,,,,,,,,,,
introduction,21,57540,0.0-8.0-2.0,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,,,,,,,,,,,,,,,,,
introduction,22,59222,0.0-8.0-0.1,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,img/Red_circle.png,3161.0,calibration,,,,,,,,,,,,,,
introduction,23,60762,0.0-8.0-1.1-0.1,9tplgryg,,,,,,1539.0,1133,6632baca722ad82b9522bfcb,,1133,,calibration,,,,,,,,,,,,,,
introduction,24,60763,0.0-8.0-2.1,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,,,,,,,,,,,,,,,,,
introduction,25,62765,0.0-8.0-0.2,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,<p>CAREFUL. That was too slow.</p>,1948.0,calibration,,,,,,,,,,,,,,
introduction,26,64327,0.0-8.0-1.2-0.2,9tplgryg,,,,,,1560.0,221,6632baca722ad82b9522bfcb,,221,,calibration,,,,,,,,,,,,,,
introduction,27,64328,0.0-8.0-2.2,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,,,,,,,,,,,,,,,,,
introduction,28,66279,0.0-8.0-0.3,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,img/Red_circle.png,2295.0,calibration,,,,,,,,,,,,,,
introduction,29,68028,0.0-8.0-1.3-0.3,9tplgryg,,,,,,1747.0,2313,6632baca722ad82b9522bfcb,,2313,,calibration,,,,,,,,,,,,,,
introduction,30,68029,0.0-8.0-2.3,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,,,,,,,,,,,,,,,,,
introduction,31,70031,0.0-8.0-0.4,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,<p>CAREFUL. That was too slow.</p>,2045.0,calibration,,,,,,,,,,,,,,
introduction,32,71110,0.0-8.0-1.4-0.4,9tplgryg,,,,,,1077.0,122,6632baca722ad82b9522bfcb,,122,,calibration,,,,,,,,,,,,,,
introduction,33,71111,0.0-8.0-2.4,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,,,,,,,,,,,,,,,,,
introduction,34,73113,0.0-8.0-0.5,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,<p>CAREFUL. That was too slow.</p>,3185.0,calibration,,,,,,,,,,,,,,
introduction,35,75082,0.0-8.0-1.5-0.5,9tplgryg,,,,,,1967.0,311,6632baca722ad82b9522bfcb,,311,,calibration,,,,,,,,,,,,,,
introduction,36,75082,0.0-8.0-2.5,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,,,,,,,,,,,,,,,,,
introduction,37,77084,0.0-8.0-0.6,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,<p>CAREFUL. That was too slow.</p>,2578.0,calibration,,,,,,,,,,,,,,
introduction,38,77944,0.0-8.0-1.6-0.6,9tplgryg,,,,,,857.0,22,6632baca722ad82b9522bfcb,,22,,calibration,,,,,,,,,,,,,,
introduction,39,77944,0.0-8.0-2.6,9tplgryg,,,,,,,,6632baca722ad82b9522bfcb,,,,,,,,,,,,,,,,,,
