trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6043,0.0-2.0,eunvzxgs,,,,,,2830.0,6632fd2e7da3951c2b31a757,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,3,8780,0.0-3.0,eunvzxgs,,,,,,2736.0,6632fd2e7da3951c2b31a757,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,4,17375,0.0-4.0-0.0,eunvzxgs,,,,,,8594.0,,6632fd2e7da3951c2b31a757,"[{""page_index"":0,""viewing_time"":951},{""page_index"":1,""viewing_time"":6421},{""page_index"":2,""viewing_time"":1222}]",,,,,,,,,,,,,,,,,
introduction,5,18343,0.0-5.0-0.0,eunvzxgs,,,,,,969.0,1,6632fd2e7da3951c2b31a757,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,18964,0.0-5.0-0.1,eunvzxgs,,,,,,621.0,2,6632fd2e7da3951c2b31a757,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,19806,0.0-5.0-0.2,eunvzxgs,,,,,,842.0,1,6632fd2e7da3951c2b31a757,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,20383,0.0-5.0-0.3,eunvzxgs,,,,,,576.0,3,6632fd2e7da3951c2b31a757,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,21165,0.0-5.0-0.4,eunvzxgs,,,,,,783.0,2,6632fd2e7da3951c2b31a757,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,21814,0.0-5.0-0.5,eunvzxgs,,,,,,648.0,3,6632fd2e7da3951c2b31a757,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22332,0.0-5.0-0.6,eunvzxgs,,,,,,519.0,1,6632fd2e7da3951c2b31a757,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,22850,0.0-5.0-0.7,eunvzxgs,,,,,,517.0,2,6632fd2e7da3951c2b31a757,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,23346,0.0-5.0-0.8,eunvzxgs,,,,,,495.0,3,6632fd2e7da3951c2b31a757,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,23870,0.0-5.0-0.9,eunvzxgs,,,,,,523.0,2,6632fd2e7da3951c2b31a757,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,24306,0.0-5.0-0.10,eunvzxgs,,,,,,437.0,1,6632fd2e7da3951c2b31a757,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,24794,0.0-5.0-0.11,eunvzxgs,,,,,,487.0,3,6632fd2e7da3951c2b31a757,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,44770,0.0-6.0-0.0,eunvzxgs,,,,,,19976.0,,6632fd2e7da3951c2b31a757,"[{""page_index"":0,""viewing_time"":1417},{""page_index"":1,""viewing_time"":2544},{""page_index"":2,""viewing_time"":14967},{""page_index"":3,""viewing_time"":1048}]",,,,,,,,,,,,,,,,,
introduction,19,56822,0.0-8.0-0.0,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,img/Red_circle.png,1418.0,calibration,,,,,,,,,,,,,,
introduction,20,58224,0.0-8.0-1.0-0.0,eunvzxgs,,,,,,1398.0,1123,6632fd2e7da3951c2b31a757,,1123,,calibration,,,,,,,,,,,,,,
introduction,21,58224,0.0-8.0-2.0,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,22,59652,0.0-8.0-0.1,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,img/Red_circle.png,2146.0,calibration,,,,,,,,,,,,,,
introduction,23,61291,0.0-8.0-1.1-0.1,eunvzxgs,,,,,,1632.0,1332,6632fd2e7da3951c2b31a757,,1332,,calibration,,,,,,,,,,,,,,
introduction,24,61292,0.0-8.0-2.1,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,25,63305,0.0-8.0-0.2,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,<p>CAREFUL. That was too slow.</p>,3464.0,calibration,,,,,,,,,,,,,,
introduction,26,64611,0.0-8.0-1.2-0.2,eunvzxgs,,,,,,1303.0,2233,6632fd2e7da3951c2b31a757,,2233,,calibration,,,,,,,,,,,,,,
introduction,27,64612,0.0-8.0-2.2,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,28,66623,0.0-8.0-0.3,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,<p>CAREFUL. That was too slow.</p>,1509.0,calibration,,,,,,,,,,,,,,
introduction,29,69048,0.0-8.0-1.3-0.3,eunvzxgs,,,,,,2424.0,213,6632fd2e7da3951c2b31a757,,213,,calibration,,,,,,,,,,,,,,
introduction,30,69049,0.0-8.0-2.3,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,31,70757,0.0-8.0-0.4,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,img/Red_circle.png,3092.0,calibration,,,,,,,,,,,,,,
introduction,32,72020,0.0-8.0-1.4-0.4,eunvzxgs,,,,,,1262.0,323,6632fd2e7da3951c2b31a757,,323,,calibration,,,,,,,,,,,,,,
introduction,33,72021,0.0-8.0-2.4,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,34,74032,0.0-8.0-0.5,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,<p>CAREFUL. That was too slow.</p>,1236.0,calibration,,,,,,,,,,,,,,
introduction,35,75492,0.0-8.0-1.5-0.5,eunvzxgs,,,,,,1458.0,1322,6632fd2e7da3951c2b31a757,,1322,,calibration,,,,,,,,,,,,,,
introduction,36,75492,0.0-8.0-2.5,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,37,76741,0.0-8.0-0.6,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,img/Red_circle.png,3048.0,calibration,,,,,,,,,,,,,,
introduction,38,77928,0.0-8.0-1.6-0.6,eunvzxgs,,,,,,1184.0,111,6632fd2e7da3951c2b31a757,,111,,calibration,,,,,,,,,,,,,,
introduction,39,77929,0.0-8.0-2.6,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,40,79940,0.0-8.0-0.7,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,<p>CAREFUL. That was too slow.</p>,1150.0,calibration,,,,,,,,,,,,,,
introduction,41,81209,0.0-8.0-1.7-0.7,eunvzxgs,,,,,,1267.0,1311,6632fd2e7da3951c2b31a757,,1311,,calibration,,,,,,,,,,,,,,
introduction,42,81209,0.0-8.0-2.7,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,43,82369,0.0-8.0-0.8,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,img/Red_circle.png,1995.0,calibration,,,,,,,,,,,,,,
introduction,44,84220,0.0-8.0-1.8-0.8,eunvzxgs,,,,,,1848.0,3231,6632fd2e7da3951c2b31a757,,3231,,calibration,,,,,,,,,,,,,,
introduction,45,84221,0.0-8.0-2.8,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,46,86229,0.0-8.0-0.9,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,img/Red_circle.png,2144.0,calibration,,,,,,,,,,,,,,
introduction,47,87547,0.0-8.0-1.9-0.9,eunvzxgs,,,,,,1316.0,3311,6632fd2e7da3951c2b31a757,,3311,,calibration,,,,,,,,,,,,,,
introduction,48,87548,0.0-8.0-2.9,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,49,89721,0.0-8.0-0.10,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,<p>CAREFUL. That was too slow.</p>,1590.0,calibration,,,,,,,,,,,,,,
introduction,50,91693,0.0-8.0-1.10-0.10,eunvzxgs,,,,,,1971.0,2331,6632fd2e7da3951c2b31a757,,2331,,calibration,,,,,,,,,,,,,,
introduction,51,91693,0.0-8.0-2.10,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,52,93285,0.0-8.0-0.11,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,img/Red_circle.png,3001.0,calibration,,,,,,,,,,,,,,
introduction,53,94460,0.0-8.0-1.11-0.11,eunvzxgs,,,,,,1173.0,131,6632fd2e7da3951c2b31a757,,131,,calibration,,,,,,,,,,,,,,
introduction,54,94461,0.0-8.0-2.11,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,55,96500,0.0-8.0-0.12,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,<p>CAREFUL. That was too slow.</p>,1883.0,calibration,,,,,,,,,,,,,,
introduction,56,97480,0.0-8.0-1.12-0.12,eunvzxgs,,,,,,978.0,131,6632fd2e7da3951c2b31a757,,131,,calibration,,,,,,,,,,,,,,
introduction,57,97480,0.0-8.0-2.12,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,58,99377,0.0-8.0-0.13,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,img/Red_circle.png,1661.0,calibration,,,,,,,,,,,,,,
introduction,59,100597,0.0-8.0-1.13-0.13,eunvzxgs,,,,,,1220.0,213,6632fd2e7da3951c2b31a757,,213,,calibration,,,,,,,,,,,,,,
introduction,60,100598,0.0-8.0-2.13,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,61,102266,0.0-8.0-0.14,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,img/Red_circle.png,3216.0,calibration,,,,,,,,,,,,,,
introduction,62,103764,0.0-8.0-1.14-0.14,eunvzxgs,,,,,,1495.0,2332,6632fd2e7da3951c2b31a757,,2332,,calibration,,,,,,,,,,,,,,
introduction,63,103764,0.0-8.0-2.14,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,64,105770,0.0-8.0-0.15,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,<p>CAREFUL. That was too slow.</p>,2143.0,calibration,,,,,,,,,,,,,,
introduction,65,107349,0.0-8.0-1.15-0.15,eunvzxgs,,,,,,1576.0,3233,6632fd2e7da3951c2b31a757,,3233,,calibration,,,,,,,,,,,,,,
introduction,66,107349,0.0-8.0-2.15,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,67,109381,0.0-8.0-0.16,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,<p>CAREFUL. That was too slow.</p>,2540.0,calibration,,,,,,,,,,,,,,
introduction,68,111899,0.0-8.0-1.16-0.16,eunvzxgs,,,,,,2514.0,2312,6632fd2e7da3951c2b31a757,,2312,,calibration,,,,,,,,,,,,,,
introduction,69,111899,0.0-8.0-2.16,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,70,113920,0.0-8.0-0.17,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,<p>CAREFUL. That was too slow.</p>,1557.0,calibration,,,,,,,,,,,,,,
introduction,71,115518,0.0-8.0-1.17-0.17,eunvzxgs,,,,,,1596.0,3113,6632fd2e7da3951c2b31a757,,3113,,calibration,,,,,,,,,,,,,,
introduction,72,115519,0.0-8.0-2.17,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,73,117083,0.0-8.0-0.18,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,img/Red_circle.png,3254.0,calibration,,,,,,,,,,,,,,
introduction,74,118294,0.0-8.0-1.18-0.18,eunvzxgs,,,,,,1208.0,213,6632fd2e7da3951c2b31a757,,213,,calibration,,,,,,,,,,,,,,
introduction,75,118295,0.0-8.0-2.18,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,76,120302,0.0-8.0-0.19,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,<p>CAREFUL. That was too slow.</p>,2245.0,calibration,,,,,,,,,,,,,,
introduction,77,121710,0.0-8.0-1.19-0.19,eunvzxgs,,,,,,1407.0,3131,6632fd2e7da3951c2b31a757,,3131,,calibration,,,,,,,,,,,,,,
introduction,78,121710,0.0-8.0-2.19,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,,,,,,,,,,,,,,,,,
introduction,79,123930,0.0-8.0-0.20,eunvzxgs,,,,,,,,6632fd2e7da3951c2b31a757,,<p>CAREFUL. That was too slow.</p>,2491.0,calibration,,,,,,,,,,,,,,
