trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,15079,0.0-2.0,qfrs3ydq,,,,,,9202.0,663a3ec623585cdc234e2dc5,663a3ec623585cdc234e2dc5,,,,,,,,,,,,,,,,,,
introduction,3,18904,0.0-3.0,qfrs3ydq,,,,,,3823.0,663a3ec623585cdc234e2dc5,663a3ec623585cdc234e2dc5,,,,,,,,,,,,,,,,,,
introduction,4,103165,0.0-4.0-0.0,qfrs3ydq,,,,,,84259.0,,663a3ec623585cdc234e2dc5,"[{""page_index"":0,""viewing_time"":1218},{""page_index"":1,""viewing_time"":76670},{""page_index"":2,""viewing_time"":6371}]",,,,,,,,,,,,,,,,,
introduction,5,104517,0.0-5.0-0.0,qfrs3ydq,,,,,,1350.0,1,663a3ec623585cdc234e2dc5,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,105910,0.0-5.0-0.1,qfrs3ydq,,,,,,1393.0,2,663a3ec623585cdc234e2dc5,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,106874,0.0-5.0-0.2,qfrs3ydq,,,,,,963.0,1,663a3ec623585cdc234e2dc5,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,107771,0.0-5.0-0.3,qfrs3ydq,,,,,,897.0,3,663a3ec623585cdc234e2dc5,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,108447,0.0-5.0-0.4,qfrs3ydq,,,,,,676.0,2,663a3ec623585cdc234e2dc5,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,109214,0.0-5.0-0.5,qfrs3ydq,,,,,,766.0,3,663a3ec623585cdc234e2dc5,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,109808,0.0-5.0-0.6,qfrs3ydq,,,,,,594.0,1,663a3ec623585cdc234e2dc5,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,110778,0.0-5.0-0.7,qfrs3ydq,,,,,,970.0,2,663a3ec623585cdc234e2dc5,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,111447,0.0-5.0-0.8,qfrs3ydq,,,,,,668.0,3,663a3ec623585cdc234e2dc5,,Press: 3,,,,,,,,,,,,,,,,
