trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,222515,0.0-2.0,1oam5knw,,,,,,177547.0,663cfd5791762644dba5a8b0,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,3,224953,0.0-3.0,1oam5knw,,,,,,2434.0,663cfd5791762644dba5a8b0,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,4,230078,0.0-4.0-0.0,1oam5knw,,,,,,5124.0,,663cfd5791762644dba5a8b0,"[{""page_index"":0,""viewing_time"":1012},{""page_index"":1,""viewing_time"":3144},{""page_index"":2,""viewing_time"":968}]",,,,,,,,,,,,,,,,,
introduction,5,231302,0.0-5.0-0.0,1oam5knw,,,,,,1221.0,1,663cfd5791762644dba5a8b0,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,231774,0.0-5.0-0.1,1oam5knw,,,,,,470.0,2,663cfd5791762644dba5a8b0,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,232324,0.0-5.0-0.2,1oam5knw,,,,,,549.0,1,663cfd5791762644dba5a8b0,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,232830,0.0-5.0-0.3,1oam5knw,,,,,,505.0,3,663cfd5791762644dba5a8b0,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,233307,0.0-5.0-0.4,1oam5knw,,,,,,475.0,2,663cfd5791762644dba5a8b0,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,233775,0.0-5.0-0.5,1oam5knw,,,,,,467.0,3,663cfd5791762644dba5a8b0,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,234263,0.0-5.0-0.6,1oam5knw,,,,,,487.0,1,663cfd5791762644dba5a8b0,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,234684,0.0-5.0-0.7,1oam5knw,,,,,,420.0,2,663cfd5791762644dba5a8b0,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,235095,0.0-5.0-0.8,1oam5knw,,,,,,409.0,3,663cfd5791762644dba5a8b0,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,235650,0.0-5.0-0.9,1oam5knw,,,,,,554.0,2,663cfd5791762644dba5a8b0,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,236028,0.0-5.0-0.10,1oam5knw,,,,,,376.0,1,663cfd5791762644dba5a8b0,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,236842,0.0-5.0-0.11,1oam5knw,,,,,,814.0,3,663cfd5791762644dba5a8b0,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,271351,0.0-6.0-0.0,1oam5knw,,,,,,34507.0,,663cfd5791762644dba5a8b0,"[{""page_index"":0,""viewing_time"":1960},{""page_index"":1,""viewing_time"":2982},{""page_index"":2,""viewing_time"":19705},{""page_index"":3,""viewing_time"":9860}]",,,,,,,,,,,,,,,,,
introduction,19,282730,0.0-8.0-0.0,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,img/Red_circle.png,1427.0,calibration,,,,,,,,,,,,,,
introduction,20,284983,0.0-8.0-1.0-0.0,1oam5knw,,,,,,2247.0,1131,663cfd5791762644dba5a8b0,,1131,,calibration,,,,,,,,,,,,,,
introduction,21,284986,0.0-8.0-2.0,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,22,286416,0.0-8.0-0.1,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,img/Red_circle.png,2876.0,calibration,,,,,,,,,,,,,,
introduction,23,288124,0.0-8.0-1.1-0.1,1oam5knw,,,,,,1703.0,123,663cfd5791762644dba5a8b0,,123,,calibration,,,,,,,,,,,,,,
introduction,24,288126,0.0-8.0-2.1,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,25,290127,0.0-8.0-0.2,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,<p>CAREFUL. That was too slow.</p>,1609.0,calibration,,,,,,,,,,,,,,
introduction,26,291725,0.0-8.0-1.2-0.2,1oam5knw,,,,,,1594.0,3313,663cfd5791762644dba5a8b0,,3313,,calibration,,,,,,,,,,,,,,
introduction,27,291726,0.0-8.0-2.2,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,28,293337,0.0-8.0-0.3,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,img/Red_circle.png,3429.0,calibration,,,,,,,,,,,,,,
introduction,29,294870,0.0-8.0-1.3-0.3,1oam5knw,,,,,,1527.0,3322,663cfd5791762644dba5a8b0,,3322,,calibration,,,,,,,,,,,,,,
introduction,30,294873,0.0-8.0-2.3,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,31,296873,0.0-8.0-0.4,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,<p>CAREFUL. That was too slow.</p>,1252.0,calibration,,,,,,,,,,,,,,
introduction,32,298920,0.0-8.0-1.4-0.4,1oam5knw,,,,,,2041.0,2123,663cfd5791762644dba5a8b0,,2123,,calibration,,,,,,,,,,,,,,
introduction,33,298922,0.0-8.0-2.4,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,34,300177,0.0-8.0-0.5,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,img/Red_circle.png,1510.0,calibration,,,,,,,,,,,,,,
introduction,35,301616,0.0-8.0-1.5-0.5,1oam5knw,,,,,,1433.0,311,663cfd5791762644dba5a8b0,,311,,calibration,,,,,,,,,,,,,,
introduction,36,301618,0.0-8.0-2.5,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,37,303131,0.0-8.0-0.6,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,img/Red_circle.png,1242.0,calibration,,,,,,,,,,,,,,
introduction,38,304663,0.0-8.0-1.6-0.6,1oam5knw,,,,,,1527.0,2122,663cfd5791762644dba5a8b0,,2122,,calibration,,,,,,,,,,,,,,
introduction,39,304665,0.0-8.0-2.6,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,40,305911,0.0-8.0-0.7,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,img/Red_circle.png,2482.0,calibration,,,,,,,,,,,,,,
introduction,41,308529,0.0-8.0-1.7-0.7,1oam5knw,,,,,,2613.0,3312,663cfd5791762644dba5a8b0,,3312,,calibration,,,,,,,,,,,,,,
introduction,42,308531,0.0-8.0-2.7,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,43,310532,0.0-8.0-0.8,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,<p>CAREFUL. That was too slow.</p>,1909.0,calibration,,,,,,,,,,,,,,
introduction,44,312330,0.0-8.0-1.8-0.8,1oam5knw,,,,,,1793.0,1131,663cfd5791762644dba5a8b0,,1131,,calibration,,,,,,,,,,,,,,
introduction,45,312354,0.0-8.0-2.8,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,46,314265,0.0-8.0-0.9,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,img/Red_circle.png,2351.0,calibration,,,,,,,,,,,,,,
introduction,47,315821,0.0-8.0-1.9-0.9,1oam5knw,,,,,,1550.0,1233,663cfd5791762644dba5a8b0,,1233,,calibration,,,,,,,,,,,,,,
introduction,48,315823,0.0-8.0-2.9,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,49,317824,0.0-8.0-0.10,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,<p>CAREFUL. That was too slow.</p>,2544.0,calibration,,,,,,,,,,,,,,
introduction,50,319483,0.0-8.0-1.10-0.10,1oam5knw,,,,,,1654.0,2232,663cfd5791762644dba5a8b0,,2232,,calibration,,,,,,,,,,,,,,
introduction,51,319486,0.0-8.0-2.10,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,52,321486,0.0-8.0-0.11,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,<p>CAREFUL. That was too slow.</p>,3455.0,calibration,,,,,,,,,,,,,,
introduction,53,322624,0.0-8.0-1.11-0.11,1oam5knw,,,,,,1136.0,23,663cfd5791762644dba5a8b0,,23,,calibration,,,,,,,,,,,,,,
introduction,54,322626,0.0-8.0-2.11,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,55,324627,0.0-8.0-0.12,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,<p>CAREFUL. That was too slow.</p>,2753.0,calibration,,,,,,,,,,,,,,
introduction,56,326537,0.0-8.0-1.12-0.12,1oam5knw,,,,,,1905.0,2321,663cfd5791762644dba5a8b0,,2321,,calibration,,,,,,,,,,,,,,
introduction,57,326539,0.0-8.0-2.12,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,58,328540,0.0-8.0-0.13,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,<p>CAREFUL. That was too slow.</p>,2354.0,calibration,,,,,,,,,,,,,,
introduction,59,330171,0.0-8.0-1.13-0.13,1oam5knw,,,,,,1626.0,2112,663cfd5791762644dba5a8b0,,2112,,calibration,,,,,,,,,,,,,,
introduction,60,330173,0.0-8.0-2.13,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
introduction,61,332174,0.0-8.0-0.14,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,<p>CAREFUL. That was too slow.</p>,3283.0,calibration,,,,,,,,,,,,,,
introduction,62,333805,0.0-8.0-1.14-0.14,1oam5knw,,,,,,1626.0,3223,663cfd5791762644dba5a8b0,,3223,,calibration,,,,,,,,,,,,,,
introduction,63,333807,0.0-8.0-2.14,1oam5knw,,,,,,,,663cfd5791762644dba5a8b0,,,,,,,,,,,,,,,,,,
