trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,5647,0.0-2.0,vopg6ghv,,,,,,2759.0,663ff3e539df6ec6f060f875,663ff3e539df6ec6f060f875,,,,,,,,,,,,,,,,,,
introduction,3,8406,0.0-3.0,vopg6ghv,,,,,,2756.0,663ff3e539df6ec6f060f875,663ff3e539df6ec6f060f875,,,,,,,,,,,,,,,,,,
introduction,4,14701,0.0-4.0-0.0,vopg6ghv,,,,,,6295.0,,663ff3e539df6ec6f060f875,"[{""page_index"":0,""viewing_time"":1122},{""page_index"":1,""viewing_time"":4073},{""page_index"":2,""viewing_time"":1099}]",,,,,,,,,,,,,,,,,
introduction,5,16178,0.0-5.0-0.0,vopg6ghv,,,,,,1476.0,1,663ff3e539df6ec6f060f875,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,17331,0.0-5.0-0.1,vopg6ghv,,,,,,1152.0,2,663ff3e539df6ec6f060f875,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,18707,0.0-5.0-0.2,vopg6ghv,,,,,,1375.0,1,663ff3e539df6ec6f060f875,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,19917,0.0-5.0-0.3,vopg6ghv,,,,,,1209.0,3,663ff3e539df6ec6f060f875,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,20815,0.0-5.0-0.4,vopg6ghv,,,,,,896.0,2,663ff3e539df6ec6f060f875,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,21948,0.0-5.0-0.5,vopg6ghv,,,,,,1133.0,3,663ff3e539df6ec6f060f875,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22848,0.0-5.0-0.6,vopg6ghv,,,,,,899.0,1,663ff3e539df6ec6f060f875,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,23754,0.0-5.0-0.7,vopg6ghv,,,,,,904.0,2,663ff3e539df6ec6f060f875,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,24718,0.0-5.0-0.8,vopg6ghv,,,,,,963.0,3,663ff3e539df6ec6f060f875,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,29484,0.0-5.0-0.9,vopg6ghv,,,,,,4766.0,2,663ff3e539df6ec6f060f875,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,30092,0.0-5.0-0.10,vopg6ghv,,,,,,607.0,1,663ff3e539df6ec6f060f875,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,30836,0.0-5.0-0.11,vopg6ghv,,,,,,744.0,3,663ff3e539df6ec6f060f875,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,48876,0.0-6.0-0.0,vopg6ghv,,,,,,18040.0,,663ff3e539df6ec6f060f875,"[{""page_index"":0,""viewing_time"":1675},{""page_index"":1,""viewing_time"":1831},{""page_index"":2,""viewing_time"":13482},{""page_index"":3,""viewing_time"":1052}]",,,,,,,,,,,,,,,,,
introduction,19,66140,0.0-8.0-0.0,vopg6ghv,,,,,,,,663ff3e539df6ec6f060f875,,img/Red_circle.png,2578.0,calibration,,,,,,,,,,,,,,
introduction,20,71440,0.0-8.0-1.0-0.0,vopg6ghv,,,,,,5296.0,3133,663ff3e539df6ec6f060f875,,3133,,calibration,,,,,,,,,,,,,,
introduction,21,73466,0.0-8.0-2.0,vopg6ghv,,,,,,,,663ff3e539df6ec6f060f875,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,76062,0.0-8.0-0.1,vopg6ghv,,,,,,,,663ff3e539df6ec6f060f875,,img/Red_circle.png,1488.0,calibration,,,,,,,,,,,,,,
introduction,23,79233,0.0-8.0-1.1-0.1,vopg6ghv,,,,,,3169.0,3211,663ff3e539df6ec6f060f875,,3211,,calibration,,,,,,,,,,,,,,
introduction,24,79234,0.0-8.0-2.1,vopg6ghv,,,,,,,,663ff3e539df6ec6f060f875,,,,,,,,,,,,,,,,,,
introduction,25,80726,0.0-8.0-0.2,vopg6ghv,,,,,,,,663ff3e539df6ec6f060f875,,img/Red_circle.png,2216.0,calibration,,,,,,,,,,,,,,
introduction,26,86564,0.0-8.0-1.2-0.2,vopg6ghv,,,,,,5836.0,1213,663ff3e539df6ec6f060f875,,1213,,calibration,,,,,,,,,,,,,,
introduction,27,88566,0.0-8.0-2.2,vopg6ghv,,,,,,,,663ff3e539df6ec6f060f875,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,28,90786,0.0-8.0-0.3,vopg6ghv,,,,,,,,663ff3e539df6ec6f060f875,,img/Red_circle.png,2656.0,calibration,,,,,,,,,,,,,,
introduction,29,93880,0.0-8.0-1.3-0.3,vopg6ghv,,,,,,3091.0,332,663ff3e539df6ec6f060f875,,332,,calibration,,,,,,,,,,,,,,
introduction,30,93880,0.0-8.0-2.3,vopg6ghv,,,,,,,,663ff3e539df6ec6f060f875,,,,,,,,,,,,,,,,,,
introduction,31,95891,0.0-8.0-0.4,vopg6ghv,,,,,,,,663ff3e539df6ec6f060f875,,<p>CAREFUL. That was too slow.</p>,1802.0,calibration,,,,,,,,,,,,,,
