trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,9311,0.0-2.0,vcssma1u,,,,,,4971.0,6640be7edc706d4622dbab1c,6640be7edc706d4622dbab1c,,,,,,,,,,,,,,,,,,
introduction,3,11146,0.0-3.0,vcssma1u,,,,,,1830.0,6640be7edc706d4622dbab1c,6640be7edc706d4622dbab1c,,,,,,,,,,,,,,,,,,
introduction,4,17375,0.0-4.0-0.0,vcssma1u,,,,,,6226.0,,6640be7edc706d4622dbab1c,"[{""page_index"":0,""viewing_time"":1083},{""page_index"":1,""viewing_time"":4337},{""page_index"":2,""viewing_time"":806}]",,,,,,,,,,,,,,,,,
introduction,5,17867,0.0-5.0-0.0,vcssma1u,,,,,,491.0,1,6640be7edc706d4622dbab1c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,18324,0.0-5.0-0.1,vcssma1u,,,,,,456.0,2,6640be7edc706d4622dbab1c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,19032,0.0-5.0-0.2,vcssma1u,,,,,,708.0,1,6640be7edc706d4622dbab1c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,19611,0.0-5.0-0.3,vcssma1u,,,,,,578.0,3,6640be7edc706d4622dbab1c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,20550,0.0-5.0-0.4,vcssma1u,,,,,,938.0,2,6640be7edc706d4622dbab1c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,21285,0.0-5.0-0.5,vcssma1u,,,,,,733.0,3,6640be7edc706d4622dbab1c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22117,0.0-5.0-0.6,vcssma1u,,,,,,832.0,1,6640be7edc706d4622dbab1c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,22599,0.0-5.0-0.7,vcssma1u,,,,,,481.0,2,6640be7edc706d4622dbab1c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,22995,0.0-5.0-0.8,vcssma1u,,,,,,395.0,3,6640be7edc706d4622dbab1c,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,23609,0.0-5.0-0.9,vcssma1u,,,,,,614.0,2,6640be7edc706d4622dbab1c,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,23971,0.0-5.0-0.10,vcssma1u,,,,,,361.0,1,6640be7edc706d4622dbab1c,,Press: 1,,,,,,,,,,,,,,,,
