trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,12666,0.0-2.0,yajrkhq0,,,,,,5939.0,6643f08978c19c6cf8de82d4,6643f08978c19c6cf8de82d4,,,,,,,,,,,,,,,,,,
introduction,3,14382,0.0-3.0,yajrkhq0,,,,,,1713.0,6643f08978c19c6cf8de82d4,6643f08978c19c6cf8de82d4,,,,,,,,,,,,,,,,,,
introduction,4,18066,0.0-4.0-0.0,yajrkhq0,,,,,,3684.0,,6643f08978c19c6cf8de82d4,"[{""page_index"":0,""viewing_time"":868},{""page_index"":1,""viewing_time"":2008},{""page_index"":2,""viewing_time"":807}]",,,,,,,,,,,,,,,,,
introduction,5,18488,0.0-5.0-0.0,yajrkhq0,,,,,,420.0,1,6643f08978c19c6cf8de82d4,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,18928,0.0-5.0-0.1,yajrkhq0,,,,,,439.0,2,6643f08978c19c6cf8de82d4,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,19966,0.0-5.0-0.2,yajrkhq0,,,,,,1037.0,1,6643f08978c19c6cf8de82d4,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,20534,0.0-5.0-0.3,yajrkhq0,,,,,,567.0,3,6643f08978c19c6cf8de82d4,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,21077,0.0-5.0-0.4,yajrkhq0,,,,,,542.0,2,6643f08978c19c6cf8de82d4,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,21727,0.0-5.0-0.5,yajrkhq0,,,,,,649.0,3,6643f08978c19c6cf8de82d4,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,22183,0.0-5.0-0.6,yajrkhq0,,,,,,454.0,1,6643f08978c19c6cf8de82d4,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,22815,0.0-5.0-0.7,yajrkhq0,,,,,,631.0,2,6643f08978c19c6cf8de82d4,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,23281,0.0-5.0-0.8,yajrkhq0,,,,,,464.0,3,6643f08978c19c6cf8de82d4,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,23758,0.0-5.0-0.9,yajrkhq0,,,,,,476.0,2,6643f08978c19c6cf8de82d4,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,24203,0.0-5.0-0.10,yajrkhq0,,,,,,445.0,1,6643f08978c19c6cf8de82d4,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,24739,0.0-5.0-0.11,yajrkhq0,,,,,,535.0,3,6643f08978c19c6cf8de82d4,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,34341,0.0-6.0-0.0,yajrkhq0,,,,,,9601.0,,6643f08978c19c6cf8de82d4,"[{""page_index"":0,""viewing_time"":822},{""page_index"":1,""viewing_time"":1229},{""page_index"":2,""viewing_time"":6487},{""page_index"":3,""viewing_time"":1063}]",,,,,,,,,,,,,,,,,
introduction,19,43879,0.0-8.0-0.0,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,img/Red_circle.png,1642.0,calibration,,,,,,,,,,,,,,
introduction,20,45599,0.0-8.0-1.0-0.0,yajrkhq0,,,,,,1715.0,1232,6643f08978c19c6cf8de82d4,,1232,,calibration,,,,,,,,,,,,,,
introduction,21,45600,0.0-8.0-2.0,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,,,,,,,,,,,,,,,,,
introduction,22,47245,0.0-8.0-0.1,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,img/Red_circle.png,1373.0,calibration,,,,,,,,,,,,,,
introduction,23,48411,0.0-8.0-1.1-0.1,yajrkhq0,,,,,,1160.0,1122,6643f08978c19c6cf8de82d4,,1122,,calibration,,,,,,,,,,,,,,
introduction,24,48411,0.0-8.0-2.1,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,,,,,,,,,,,,,,,,,
introduction,25,49787,0.0-8.0-0.2,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,img/Red_circle.png,1853.0,calibration,,,,,,,,,,,,,,
introduction,26,51734,0.0-8.0-1.2-0.2,yajrkhq0,,,,,,1942.0,2321,6643f08978c19c6cf8de82d4,,2321,,calibration,,,,,,,,,,,,,,
introduction,27,51735,0.0-8.0-2.2,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,,,,,,,,,,,,,,,,,
introduction,28,53591,0.0-8.0-0.3,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,img/Red_circle.png,2662.0,calibration,,,,,,,,,,,,,,
introduction,29,54799,0.0-8.0-1.3-0.3,yajrkhq0,,,,,,1205.0,112,6643f08978c19c6cf8de82d4,,112,,calibration,,,,,,,,,,,,,,
introduction,30,54800,0.0-8.0-2.3,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,,,,,,,,,,,,,,,,,
introduction,31,56802,0.0-8.0-0.4,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,<p>CAREFUL. That was too slow.</p>,3359.0,calibration,,,,,,,,,,,,,,
introduction,32,57597,0.0-8.0-1.4-0.4,yajrkhq0,,,,,,790.0,21,6643f08978c19c6cf8de82d4,,21,,calibration,,,,,,,,,,,,,,
introduction,33,57599,0.0-8.0-2.4,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,,,,,,,,,,,,,,,,,
introduction,34,59600,0.0-8.0-0.5,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,<p>CAREFUL. That was too slow.</p>,2923.0,calibration,,,,,,,,,,,,,,
introduction,35,61090,0.0-8.0-1.5-0.5,yajrkhq0,,,,,,1484.0,2221,6643f08978c19c6cf8de82d4,,2221,,calibration,,,,,,,,,,,,,,
introduction,36,61091,0.0-8.0-2.5,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,,,,,,,,,,,,,,,,,
introduction,37,63092,0.0-8.0-0.6,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,<p>CAREFUL. That was too slow.</p>,2386.0,calibration,,,,,,,,,,,,,,
introduction,38,64748,0.0-8.0-1.6-0.6,yajrkhq0,,,,,,1653.0,3222,6643f08978c19c6cf8de82d4,,3222,,calibration,,,,,,,,,,,,,,
introduction,39,64749,0.0-8.0-2.6,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,,,,,,,,,,,,,,,,,
introduction,40,66751,0.0-8.0-0.7,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,<p>CAREFUL. That was too slow.</p>,2607.0,calibration,,,,,,,,,,,,,,
introduction,41,68416,0.0-8.0-1.7-0.7,yajrkhq0,,,,,,1661.0,3232,6643f08978c19c6cf8de82d4,,3232,,calibration,,,,,,,,,,,,,,
introduction,42,68417,0.0-8.0-2.7,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,,,,,,,,,,,,,,,,,
introduction,43,70419,0.0-8.0-0.8,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,<p>CAREFUL. That was too slow.</p>,1206.0,calibration,,,,,,,,,,,,,,
introduction,44,72216,0.0-8.0-1.8-0.8,yajrkhq0,,,,,,1793.0,31,6643f08978c19c6cf8de82d4,,31,,calibration,,,,,,,,,,,,,,
introduction,45,72217,0.0-8.0-2.8,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,,,,,,,,,,,,,,,,,
introduction,46,73426,0.0-8.0-0.9,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,img/Red_circle.png,2239.0,calibration,,,,,,,,,,,,,,
introduction,47,74486,0.0-8.0-1.9-0.9,yajrkhq0,,,,,,1055.0,31,6643f08978c19c6cf8de82d4,,31,,calibration,,,,,,,,,,,,,,
introduction,48,74488,0.0-8.0-2.9,yajrkhq0,,,,,,,,6643f08978c19c6cf8de82d4,,,,,,,,,,,,,,,,,,
