trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6580,0.0-2.0,dej4ppp0,,,,,,4154.0,66463e4efb99fba5a67a010a,66463e4efb99fba5a67a010a,,,,,,,,,,,,,,,,,,
introduction,3,8315,0.0-3.0,dej4ppp0,,,,,,1732.0,66463e4efb99fba5a67a010a,66463e4efb99fba5a67a010a,,,,,,,,,,,,,,,,,,
introduction,4,13920,0.0-4.0-0.0,dej4ppp0,,,,,,5605.0,,66463e4efb99fba5a67a010a,"[{""page_index"":0,""viewing_time"":1010},{""page_index"":1,""viewing_time"":3835},{""page_index"":2,""viewing_time"":760}]",,,,,,,,,,,,,,,,,
introduction,5,14377,0.0-5.0-0.0,dej4ppp0,,,,,,455.0,1,66463e4efb99fba5a67a010a,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,14702,0.0-5.0-0.1,dej4ppp0,,,,,,324.0,2,66463e4efb99fba5a67a010a,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,15473,0.0-5.0-0.2,dej4ppp0,,,,,,770.0,1,66463e4efb99fba5a67a010a,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,16622,0.0-5.0-0.3,dej4ppp0,,,,,,1148.0,3,66463e4efb99fba5a67a010a,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,17264,0.0-5.0-0.4,dej4ppp0,,,,,,641.0,2,66463e4efb99fba5a67a010a,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,17907,0.0-5.0-0.5,dej4ppp0,,,,,,642.0,3,66463e4efb99fba5a67a010a,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,18522,0.0-5.0-0.6,dej4ppp0,,,,,,613.0,1,66463e4efb99fba5a67a010a,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,18920,0.0-5.0-0.7,dej4ppp0,,,,,,398.0,2,66463e4efb99fba5a67a010a,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,19365,0.0-5.0-0.8,dej4ppp0,,,,,,444.0,3,66463e4efb99fba5a67a010a,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,19970,0.0-5.0-0.9,dej4ppp0,,,,,,604.0,2,66463e4efb99fba5a67a010a,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,20517,0.0-5.0-0.10,dej4ppp0,,,,,,547.0,1,66463e4efb99fba5a67a010a,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,21023,0.0-5.0-0.11,dej4ppp0,,,,,,505.0,3,66463e4efb99fba5a67a010a,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,33712,0.0-6.0-0.0,dej4ppp0,,,,,,12689.0,,66463e4efb99fba5a67a010a,"[{""page_index"":0,""viewing_time"":1735},{""page_index"":1,""viewing_time"":2057},{""page_index"":2,""viewing_time"":7619},{""page_index"":3,""viewing_time"":1277}]",,,,,,,,,,,,,,,,,
introduction,19,41915,0.0-8.0-0.0,dej4ppp0,,,,,,,,66463e4efb99fba5a67a010a,,img/Red_circle.png,3007.0,calibration,,,,,,,,,,,,,,
introduction,20,44649,0.0-8.0-1.0-0.0,dej4ppp0,,,,,,2732.0,3212,66463e4efb99fba5a67a010a,,3212,,calibration,,,,,,,,,,,,,,
introduction,21,44651,0.0-8.0-2.0,dej4ppp0,,,,,,,,66463e4efb99fba5a67a010a,,,,,,,,,,,,,,,,,,
introduction,22,46651,0.0-8.0-0.1,dej4ppp0,,,,,,,,66463e4efb99fba5a67a010a,,<p>CAREFUL. That was too slow.</p>,2721.0,calibration,,,,,,,,,,,,,,
introduction,23,47939,0.0-8.0-1.1-0.1,dej4ppp0,,,,,,1283.0,22,66463e4efb99fba5a67a010a,,22,,calibration,,,,,,,,,,,,,,
introduction,24,47940,0.0-8.0-2.1,dej4ppp0,,,,,,,,66463e4efb99fba5a67a010a,,,,,,,,,,,,,,,,,,
introduction,25,49940,0.0-8.0-0.2,dej4ppp0,,,,,,,,66463e4efb99fba5a67a010a,,<p>CAREFUL. That was too slow.</p>,2304.0,calibration,,,,,,,,,,,,,,
introduction,26,51135,0.0-8.0-1.2-0.2,dej4ppp0,,,,,,1193.0,311,66463e4efb99fba5a67a010a,,311,,calibration,,,,,,,,,,,,,,
introduction,27,51136,0.0-8.0-2.2,dej4ppp0,,,,,,,,66463e4efb99fba5a67a010a,,,,,,,,,,,,,,,,,,
introduction,28,53136,0.0-8.0-0.3,dej4ppp0,,,,,,,,66463e4efb99fba5a67a010a,,<p>CAREFUL. That was too slow.</p>,3322.0,calibration,,,,,,,,,,,,,,
introduction,29,54332,0.0-8.0-1.3-0.3,dej4ppp0,,,,,,1192.0,123,66463e4efb99fba5a67a010a,,123,,calibration,,,,,,,,,,,,,,
introduction,30,54333,0.0-8.0-2.3,dej4ppp0,,,,,,,,66463e4efb99fba5a67a010a,,,,,,,,,,,,,,,,,,
