trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,19828,0.0-2.0,bktwl98t,,,,,,14858.0,664a4342cfb111168d73bdc6,664a4342cfb111168d73bdc6,,,,,,,,,,,,,,,,,,
introduction,3,23619,0.0-3.0,bktwl98t,,,,,,3789.0,664a4342cfb111168d73bdc6,664a4342cfb111168d73bdc6,,,,,,,,,,,,,,,,,,
introduction,4,33620,0.0-4.0-0.0,bktwl98t,,,,,,10001.0,,664a4342cfb111168d73bdc6,"[{""page_index"":0,""viewing_time"":1336},{""page_index"":1,""viewing_time"":7823},{""page_index"":2,""viewing_time"":841}]",,,,,,,,,,,,,,,,,
introduction,5,36967,0.0-5.0-0.0,bktwl98t,,,,,,3346.0,1,664a4342cfb111168d73bdc6,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,37527,0.0-5.0-0.1,bktwl98t,,,,,,560.0,2,664a4342cfb111168d73bdc6,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,38411,0.0-5.0-0.2,bktwl98t,,,,,,883.0,1,664a4342cfb111168d73bdc6,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,39081,0.0-5.0-0.3,bktwl98t,,,,,,670.0,3,664a4342cfb111168d73bdc6,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,39940,0.0-5.0-0.4,bktwl98t,,,,,,859.0,2,664a4342cfb111168d73bdc6,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,40573,0.0-5.0-0.5,bktwl98t,,,,,,632.0,3,664a4342cfb111168d73bdc6,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,41872,0.0-5.0-0.6,bktwl98t,,,,,,1299.0,1,664a4342cfb111168d73bdc6,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,42414,0.0-5.0-0.7,bktwl98t,,,,,,542.0,2,664a4342cfb111168d73bdc6,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,42906,0.0-5.0-0.8,bktwl98t,,,,,,491.0,3,664a4342cfb111168d73bdc6,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,43537,0.0-5.0-0.9,bktwl98t,,,,,,630.0,2,664a4342cfb111168d73bdc6,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,44116,0.0-5.0-0.10,bktwl98t,,,,,,579.0,1,664a4342cfb111168d73bdc6,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,44611,0.0-5.0-0.11,bktwl98t,,,,,,495.0,3,664a4342cfb111168d73bdc6,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,563920,0.0-6.0-0.0,bktwl98t,,,,,,519317.0,,664a4342cfb111168d73bdc6,"[{""page_index"":0,""viewing_time"":497659},{""page_index"":1,""viewing_time"":1401},{""page_index"":2,""viewing_time"":18848},{""page_index"":3,""viewing_time"":1409}]",,,,,,,,,,,,,,,,,
introduction,19,574142,0.0-8.0-0.0,bktwl98t,,,,,,,,664a4342cfb111168d73bdc6,,img/Red_circle.png,1998.0,calibration,,,,,,,,,,,,,,
introduction,20,577597,0.0-8.0-1.0-0.0,bktwl98t,,,,,,3449.0,2131,664a4342cfb111168d73bdc6,,2131,,calibration,,,,,,,,,,,,,,
introduction,21,577598,0.0-8.0-2.0,bktwl98t,,,,,,,,664a4342cfb111168d73bdc6,,,,,,,,,,,,,,,,,,
introduction,22,579601,0.0-8.0-0.1,bktwl98t,,,,,,,,664a4342cfb111168d73bdc6,,img/Red_circle.png,3374.0,calibration,,,,,,,,,,,,,,
introduction,23,581896,0.0-8.0-1.1-0.1,bktwl98t,,,,,,2293.0,312,664a4342cfb111168d73bdc6,,312,,calibration,,,,,,,,,,,,,,
introduction,24,581896,0.0-8.0-2.1,bktwl98t,,,,,,,,664a4342cfb111168d73bdc6,,,,,,,,,,,,,,,,,,
introduction,25,583907,0.0-8.0-0.2,bktwl98t,,,,,,,,664a4342cfb111168d73bdc6,,<p>CAREFUL. That was too slow.</p>,3075.0,calibration,,,,,,,,,,,,,,
introduction,26,586606,0.0-8.0-1.2-0.2,bktwl98t,,,,,,2697.0,213,664a4342cfb111168d73bdc6,,2113,,calibration,,,,,,,,,,,,,,
introduction,27,590311,0.0-8.0-1.3-0.3,bktwl98t,,,,,,3703.0,2113,664a4342cfb111168d73bdc6,,2113,,calibration,,,,,,,,,,,,,,
introduction,28,592326,0.0-8.0-2.2,bktwl98t,,,,,,,,664a4342cfb111168d73bdc6,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,29,595418,0.0-8.0-0.3,bktwl98t,,,,,,,,664a4342cfb111168d73bdc6,,img/Red_circle.png,1263.0,calibration,,,,,,,,,,,,,,
introduction,30,598123,0.0-8.0-1.4-0.4,bktwl98t,,,,,,2703.0,3121,664a4342cfb111168d73bdc6,,3121,,calibration,,,,,,,,,,,,,,
introduction,31,598124,0.0-8.0-2.3,bktwl98t,,,,,,,,664a4342cfb111168d73bdc6,,,,,,,,,,,,,,,,,,
introduction,32,599393,0.0-8.0-0.4,bktwl98t,,,,,,,,664a4342cfb111168d73bdc6,,img/Red_circle.png,1324.0,calibration,,,,,,,,,,,,,,
introduction,33,602774,0.0-8.0-1.5-0.5,bktwl98t,,,,,,3380.0,3132,664a4342cfb111168d73bdc6,,3132,,calibration,,,,,,,,,,,,,,
introduction,34,602775,0.0-8.0-2.4,bktwl98t,,,,,,,,664a4342cfb111168d73bdc6,,,,,,,,,,,,,,,,,,
introduction,35,604108,0.0-8.0-0.5,bktwl98t,,,,,,,,664a4342cfb111168d73bdc6,,img/Red_circle.png,3002.0,calibration,,,,,,,,,,,,,,
introduction,36,607016,0.0-8.0-1.6-0.6,bktwl98t,,,,,,2907.0,2213,664a4342cfb111168d73bdc6,,2213,,calibration,,,,,,,,,,,,,,
introduction,37,607017,0.0-8.0-2.5,bktwl98t,,,,,,,,664a4342cfb111168d73bdc6,,,,,,,,,,,,,,,,,,
