trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,22255,0.0-2.0,gf40a9g9,,,,,,6068.0,6657a480b31277676b8a7c41,6657a480b31277676b8a7c41,,,,,,,,,,,,,,,,,,
introduction,3,26478,0.0-3.0,gf40a9g9,,,,,,4218.0,6657a480b31277676b8a7c41,6657a480b31277676b8a7c41,,,,,,,,,,,,,,,,,,
introduction,4,40310,0.0-4.0-0.0,gf40a9g9,,,,,,13830.0,,6657a480b31277676b8a7c41,"[{""page_index"":0,""viewing_time"":2433},{""page_index"":1,""viewing_time"":9713},{""page_index"":2,""viewing_time"":1684}]",,,,,,,,,,,,,,,,,
introduction,5,41281,0.0-5.0-0.0,gf40a9g9,,,,,,969.0,1,6657a480b31277676b8a7c41,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,42122,0.0-5.0-0.1,gf40a9g9,,,,,,840.0,2,6657a480b31277676b8a7c41,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,42832,0.0-5.0-0.2,gf40a9g9,,,,,,709.0,1,6657a480b31277676b8a7c41,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,43608,0.0-5.0-0.3,gf40a9g9,,,,,,775.0,3,6657a480b31277676b8a7c41,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,44488,0.0-5.0-0.4,gf40a9g9,,,,,,879.0,2,6657a480b31277676b8a7c41,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,45289,0.0-5.0-0.5,gf40a9g9,,,,,,800.0,3,6657a480b31277676b8a7c41,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,46129,0.0-5.0-0.6,gf40a9g9,,,,,,840.0,1,6657a480b31277676b8a7c41,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,46806,0.0-5.0-0.7,gf40a9g9,,,,,,676.0,2,6657a480b31277676b8a7c41,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,47495,0.0-5.0-0.8,gf40a9g9,,,,,,689.0,3,6657a480b31277676b8a7c41,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,48166,0.0-5.0-0.9,gf40a9g9,,,,,,670.0,2,6657a480b31277676b8a7c41,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,48866,0.0-5.0-0.10,gf40a9g9,,,,,,700.0,1,6657a480b31277676b8a7c41,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,49832,0.0-5.0-0.11,gf40a9g9,,,,,,965.0,3,6657a480b31277676b8a7c41,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,75401,0.0-6.0-0.0,gf40a9g9,,,,,,25569.0,,6657a480b31277676b8a7c41,"[{""page_index"":0,""viewing_time"":2995},{""page_index"":1,""viewing_time"":3901},{""page_index"":2,""viewing_time"":15934},{""page_index"":3,""viewing_time"":2738}]",,,,,,,,,,,,,,,,,
introduction,19,89368,0.0-8.0-0.0,gf40a9g9,,,,,,,,6657a480b31277676b8a7c41,,img/Red_circle.png,2302.0,calibration,,,,,,,,,,,,,,
