trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8145,0.0-2.0,qto1d2lz,,,,,,5250.0,665cbfcf8534afbb16c06687,665cbfcf8534afbb16c06687,,,,,,,,,,,,,,,,,,
introduction,3,10648,0.0-3.0,qto1d2lz,,,,,,2501.0,665cbfcf8534afbb16c06687,665cbfcf8534afbb16c06687,,,,,,,,,,,,,,,,,,
introduction,4,38613,0.0-4.0-0.0,qto1d2lz,,,,,,27965.0,,665cbfcf8534afbb16c06687,"[{""page_index"":0,""viewing_time"":16927},{""page_index"":1,""viewing_time"":9160},{""page_index"":2,""viewing_time"":1878}]",,,,,,,,,,,,,,,,,
introduction,5,39217,0.0-5.0-0.0,qto1d2lz,,,,,,603.0,1,665cbfcf8534afbb16c06687,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,39863,0.0-5.0-0.1,qto1d2lz,,,,,,646.0,2,665cbfcf8534afbb16c06687,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,40877,0.0-5.0-0.2,qto1d2lz,,,,,,1014.0,1,665cbfcf8534afbb16c06687,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,41581,0.0-5.0-0.3,qto1d2lz,,,,,,704.0,3,665cbfcf8534afbb16c06687,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,42212,0.0-5.0-0.4,qto1d2lz,,,,,,631.0,2,665cbfcf8534afbb16c06687,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,42799,0.0-5.0-0.5,qto1d2lz,,,,,,587.0,3,665cbfcf8534afbb16c06687,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,43454,0.0-5.0-0.6,qto1d2lz,,,,,,655.0,1,665cbfcf8534afbb16c06687,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,44083,0.0-5.0-0.7,qto1d2lz,,,,,,629.0,2,665cbfcf8534afbb16c06687,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,44656,0.0-5.0-0.8,qto1d2lz,,,,,,573.0,3,665cbfcf8534afbb16c06687,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,45292,0.0-5.0-0.9,qto1d2lz,,,,,,636.0,2,665cbfcf8534afbb16c06687,,Press: 2,,,,,,,,,,,,,,,,
