trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,15956,0.0-2.0,fkcehfv1,,,,,,13006.0,6661bf4587f6b99850d9328b,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,3,20263,0.0-3.0,fkcehfv1,,,,,,4305.0,6661bf4587f6b99850d9328b,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,4,67977,0.0-4.0-0.0,fkcehfv1,,,,,,47713.0,,6661bf4587f6b99850d9328b,"[{""page_index"":0,""viewing_time"":1911},{""page_index"":1,""viewing_time"":44588},{""page_index"":2,""viewing_time"":1214}]",,,,,,,,,,,,,,,,,
introduction,5,69904,0.0-5.0-0.0,fkcehfv1,,,,,,1925.0,1,6661bf4587f6b99850d9328b,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,70734,0.0-5.0-0.1,fkcehfv1,,,,,,830.0,2,6661bf4587f6b99850d9328b,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,72152,0.0-5.0-0.2,fkcehfv1,,,,,,1418.0,1,6661bf4587f6b99850d9328b,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,73212,0.0-5.0-0.3,fkcehfv1,,,,,,1060.0,3,6661bf4587f6b99850d9328b,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,74166,0.0-5.0-0.4,fkcehfv1,,,,,,953.0,2,6661bf4587f6b99850d9328b,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,75077,0.0-5.0-0.5,fkcehfv1,,,,,,911.0,3,6661bf4587f6b99850d9328b,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,76210,0.0-5.0-0.6,fkcehfv1,,,,,,1132.0,1,6661bf4587f6b99850d9328b,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,77131,0.0-5.0-0.7,fkcehfv1,,,,,,920.0,2,6661bf4587f6b99850d9328b,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,78019,0.0-5.0-0.8,fkcehfv1,,,,,,888.0,3,6661bf4587f6b99850d9328b,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,79175,0.0-5.0-0.9,fkcehfv1,,,,,,1156.0,2,6661bf4587f6b99850d9328b,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,80000,0.0-5.0-0.10,fkcehfv1,,,,,,824.0,1,6661bf4587f6b99850d9328b,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,80754,0.0-5.0-0.11,fkcehfv1,,,,,,754.0,3,6661bf4587f6b99850d9328b,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,127973,0.0-6.0-0.0,fkcehfv1,,,,,,47219.0,,6661bf4587f6b99850d9328b,"[{""page_index"":0,""viewing_time"":2123},{""page_index"":1,""viewing_time"":3085},{""page_index"":2,""viewing_time"":40392},{""page_index"":3,""viewing_time"":1619}]",,,,,,,,,,,,,,,,,
introduction,19,154751,0.0-8.0-0.0,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,img/Red_circle.png,1355.0,calibration,,,,,,,,,,,,,,
introduction,20,157801,0.0-8.0-1.0-0.0,fkcehfv1,,,,,,3045.0,3323,6661bf4587f6b99850d9328b,,3323,,calibration,,,,,,,,,,,,,,
introduction,21,157802,0.0-8.0-2.0,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,22,159167,0.0-8.0-0.1,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,img/Red_circle.png,3480.0,calibration,,,,,,,,,,,,,,
introduction,23,161698,0.0-8.0-1.1-0.1,fkcehfv1,,,,,,2529.0,2122,6661bf4587f6b99850d9328b,,2122,,calibration,,,,,,,,,,,,,,
introduction,24,161699,0.0-8.0-2.1,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,25,163708,0.0-8.0-0.2,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,<p>CAREFUL. That was too slow.</p>,2657.0,calibration,,,,,,,,,,,,,,
introduction,26,165199,0.0-8.0-1.2-0.2,fkcehfv1,,,,,,1489.0,22,6661bf4587f6b99850d9328b,,22,,calibration,,,,,,,,,,,,,,
introduction,27,165199,0.0-8.0-2.2,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,28,167203,0.0-8.0-0.3,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,<p>CAREFUL. That was too slow.</p>,1852.0,calibration,,,,,,,,,,,,,,
introduction,29,169736,0.0-8.0-1.3-0.3,fkcehfv1,,,,,,2532.0,1211,6661bf4587f6b99850d9328b,,1211,,calibration,,,,,,,,,,,,,,
introduction,30,169736,0.0-8.0-2.3,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,31,171592,0.0-8.0-0.4,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,img/Red_circle.png,2647.0,calibration,,,,,,,,,,,,,,
introduction,32,174030,0.0-8.0-1.4-0.4,fkcehfv1,,,,,,2435.0,2321,6661bf4587f6b99850d9328b,,2321,,calibration,,,,,,,,,,,,,,
introduction,33,174031,0.0-8.0-2.4,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,34,176041,0.0-8.0-0.5,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,<p>CAREFUL. That was too slow.</p>,2307.0,calibration,,,,,,,,,,,,,,
introduction,35,177914,0.0-8.0-1.5-0.5,fkcehfv1,,,,,,1872.0,213,6661bf4587f6b99850d9328b,,213,,calibration,,,,,,,,,,,,,,
introduction,36,177915,0.0-8.0-2.5,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,37,179927,0.0-8.0-0.6,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,<p>CAREFUL. That was too slow.</p>,2836.0,calibration,,,,,,,,,,,,,,
introduction,38,182998,0.0-8.0-1.6-0.6,fkcehfv1,,,,,,3068.0,1321,6661bf4587f6b99850d9328b,,1321,,calibration,,,,,,,,,,,,,,
introduction,39,182999,0.0-8.0-2.6,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,40,185012,0.0-8.0-0.7,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,<p>CAREFUL. That was too slow.</p>,3144.0,calibration,,,,,,,,,,,,,,
introduction,41,187533,0.0-8.0-1.7-0.7,fkcehfv1,,,,,,2520.0,2312,6661bf4587f6b99850d9328b,,2312,,calibration,,,,,,,,,,,,,,
introduction,42,187533,0.0-8.0-2.7,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,43,189544,0.0-8.0-0.8,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,<p>CAREFUL. That was too slow.</p>,2609.0,calibration,,,,,,,,,,,,,,
introduction,44,192285,0.0-8.0-1.8-0.8,fkcehfv1,,,,,,2738.0,2131,6661bf4587f6b99850d9328b,,2131,,calibration,,,,,,,,,,,,,,
introduction,45,192286,0.0-8.0-2.8,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,46,194292,0.0-8.0-0.9,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,<p>CAREFUL. That was too slow.</p>,1846.0,calibration,,,,,,,,,,,,,,
introduction,47,196132,0.0-8.0-1.9-0.9,fkcehfv1,,,,,,1837.0,1123,6661bf4587f6b99850d9328b,,1123,,calibration,,,,,,,,,,,,,,
introduction,48,196133,0.0-8.0-2.9,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,49,197988,0.0-8.0-0.10,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,img/Red_circle.png,2134.0,calibration,,,,,,,,,,,,,,
introduction,50,199868,0.0-8.0-1.10-0.10,fkcehfv1,,,,,,1878.0,231,6661bf4587f6b99850d9328b,,231,,calibration,,,,,,,,,,,,,,
introduction,51,199869,0.0-8.0-2.10,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,52,201878,0.0-8.0-0.11,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,<p>CAREFUL. That was too slow.</p>,1036.0,calibration,,,,,,,,,,,,,,
introduction,53,204041,0.0-8.0-1.11-0.11,fkcehfv1,,,,,,2161.0,1111,6661bf4587f6b99850d9328b,,1111,,calibration,,,,,,,,,,,,,,
introduction,54,204041,0.0-8.0-2.11,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,,,,,,,,,,,,,,,,,
introduction,55,205088,0.0-8.0-0.12,fkcehfv1,,,,,,,,6661bf4587f6b99850d9328b,,img/Red_circle.png,2056.0,calibration,,,,,,,,,,,,,,
