trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,28446,0.0-2.0,1qnfbw53,,,,,,5610.0,666204d4cbd0992fc4079cb9,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,3,32077,0.0-3.0,1qnfbw53,,,,,,3630.0,666204d4cbd0992fc4079cb9,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,4,524426,0.0-4.0-0.0,1qnfbw53,,,,,,492350.0,,666204d4cbd0992fc4079cb9,"[{""page_index"":0,""viewing_time"":4452},{""page_index"":1,""viewing_time"":484563},{""page_index"":2,""viewing_time"":3336}]",,,,,,,,,,,,,,,,,
introduction,5,525186,0.0-5.0-0.0,1qnfbw53,,,,,,759.0,1,666204d4cbd0992fc4079cb9,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,525757,0.0-5.0-0.1,1qnfbw53,,,,,,570.0,2,666204d4cbd0992fc4079cb9,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,526375,0.0-5.0-0.2,1qnfbw53,,,,,,618.0,1,666204d4cbd0992fc4079cb9,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,527030,0.0-5.0-0.3,1qnfbw53,,,,,,654.0,3,666204d4cbd0992fc4079cb9,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,527671,0.0-5.0-0.4,1qnfbw53,,,,,,640.0,2,666204d4cbd0992fc4079cb9,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,528314,0.0-5.0-0.5,1qnfbw53,,,,,,642.0,3,666204d4cbd0992fc4079cb9,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,528978,0.0-5.0-0.6,1qnfbw53,,,,,,663.0,1,666204d4cbd0992fc4079cb9,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,529551,0.0-5.0-0.7,1qnfbw53,,,,,,572.0,2,666204d4cbd0992fc4079cb9,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,530213,0.0-5.0-0.8,1qnfbw53,,,,,,661.0,3,666204d4cbd0992fc4079cb9,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,530856,0.0-5.0-0.9,1qnfbw53,,,,,,642.0,2,666204d4cbd0992fc4079cb9,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,531391,0.0-5.0-0.10,1qnfbw53,,,,,,535.0,1,666204d4cbd0992fc4079cb9,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,532025,0.0-5.0-0.11,1qnfbw53,,,,,,633.0,3,666204d4cbd0992fc4079cb9,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,1842275,0.0-6.0-0.0,1qnfbw53,,,,,,1310257.0,,666204d4cbd0992fc4079cb9,"[{""page_index"":0,""viewing_time"":200296},{""page_index"":1,""viewing_time"":2602},{""page_index"":2,""viewing_time"":1105861},{""page_index"":3,""viewing_time"":1498}]",,,,,,,,,,,,,,,,,
introduction,19,1911687,0.0-8.0-0.0,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,img/Red_circle.png,2402.0,calibration,,,,,,,,,,,,,,
introduction,20,1913807,0.0-8.0-1.0-0.0,1qnfbw53,,,,,,2116.0,2223,666204d4cbd0992fc4079cb9,,2223,,calibration,,,,,,,,,,,,,,
introduction,21,1913808,0.0-8.0-2.0,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,22,1915810,0.0-8.0-0.1,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,<p>CAREFUL. That was too slow.</p>,2358.0,calibration,,,,,,,,,,,,,,
introduction,23,1918282,0.0-8.0-1.1-0.1,1qnfbw53,,,,,,2469.0,322,666204d4cbd0992fc4079cb9,,322,,calibration,,,,,,,,,,,,,,
introduction,24,1918283,0.0-8.0-2.1,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,25,1920285,0.0-8.0-0.2,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,<p>CAREFUL. That was too slow.</p>,3112.0,calibration,,,,,,,,,,,,,,
introduction,26,1921580,0.0-8.0-1.2-0.2,1qnfbw53,,,,,,1293.0,222,666204d4cbd0992fc4079cb9,,222,,calibration,,,,,,,,,,,,,,
introduction,27,1921581,0.0-8.0-2.2,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,28,1923582,0.0-8.0-0.3,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,<p>CAREFUL. That was too slow.</p>,2930.0,calibration,,,,,,,,,,,,,,
introduction,29,1925292,0.0-8.0-1.3-0.3,1qnfbw53,,,,,,1708.0,1111,666204d4cbd0992fc4079cb9,,1111,,calibration,,,,,,,,,,,,,,
introduction,30,1925293,0.0-8.0-2.3,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,31,1927295,0.0-8.0-0.4,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,<p>CAREFUL. That was too slow.</p>,1303.0,calibration,,,,,,,,,,,,,,
introduction,32,1928958,0.0-8.0-1.4-0.4,1qnfbw53,,,,,,1659.0,2212,666204d4cbd0992fc4079cb9,,2212,,calibration,,,,,,,,,,,,,,
introduction,33,1928959,0.0-8.0-2.4,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,34,1930264,0.0-8.0-0.5,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,img/Red_circle.png,1202.0,calibration,,,,,,,,,,,,,,
introduction,35,1931796,0.0-8.0-1.5-0.5,1qnfbw53,,,,,,1528.0,11,666204d4cbd0992fc4079cb9,,11,,calibration,,,,,,,,,,,,,,
introduction,36,1931797,0.0-8.0-2.5,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,37,1933002,0.0-8.0-0.6,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,img/Red_circle.png,3008.0,calibration,,,,,,,,,,,,,,
introduction,38,1934876,0.0-8.0-1.6-0.6,1qnfbw53,,,,,,1870.0,3131,666204d4cbd0992fc4079cb9,,3131,,calibration,,,,,,,,,,,,,,
introduction,39,1934876,0.0-8.0-2.6,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,40,1936879,0.0-8.0-0.7,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,<p>CAREFUL. That was too slow.</p>,2581.0,calibration,,,,,,,,,,,,,,
introduction,41,1939288,0.0-8.0-1.7-0.7,1qnfbw53,,,,,,2406.0,2113,666204d4cbd0992fc4079cb9,,2113,,calibration,,,,,,,,,,,,,,
introduction,42,1939289,0.0-8.0-2.7,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,43,1941291,0.0-8.0-0.8,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,<p>CAREFUL. That was too slow.</p>,2215.0,calibration,,,,,,,,,,,,,,
introduction,44,1943373,0.0-8.0-1.8-0.8,1qnfbw53,,,,,,2078.0,2331,666204d4cbd0992fc4079cb9,,2331,,calibration,,,,,,,,,,,,,,
introduction,45,1943373,0.0-8.0-2.8,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,46,1945375,0.0-8.0-0.9,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,<p>CAREFUL. That was too slow.</p>,2693.0,calibration,,,,,,,,,,,,,,
introduction,47,1947051,0.0-8.0-1.9-0.9,1qnfbw53,,,,,,1672.0,1121,666204d4cbd0992fc4079cb9,,1121,,calibration,,,,,,,,,,,,,,
introduction,48,1947052,0.0-8.0-2.9,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,49,1949054,0.0-8.0-0.10,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,<p>CAREFUL. That was too slow.</p>,1252.0,calibration,,,,,,,,,,,,,,
introduction,50,1950582,0.0-8.0-1.10-0.10,1qnfbw53,,,,,,1524.0,2221,666204d4cbd0992fc4079cb9,,2221,,calibration,,,,,,,,,,,,,,
introduction,51,1950582,0.0-8.0-2.10,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,52,1951837,0.0-8.0-0.11,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,img/Red_circle.png,1381.0,calibration,,,,,,,,,,,,,,
introduction,53,1953641,0.0-8.0-1.11-0.11,1qnfbw53,,,,,,1801.0,1221,666204d4cbd0992fc4079cb9,,1221,,calibration,,,,,,,,,,,,,,
introduction,54,1953642,0.0-8.0-2.11,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,55,1955026,0.0-8.0-0.12,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,img/Red_circle.png,2933.0,calibration,,,,,,,,,,,,,,
introduction,56,1956220,0.0-8.0-1.12-0.12,1qnfbw53,,,,,,1189.0,221,666204d4cbd0992fc4079cb9,,221,,calibration,,,,,,,,,,,,,,
introduction,57,1956221,0.0-8.0-2.12,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,58,1958222,0.0-8.0-0.13,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,<p>CAREFUL. That was too slow.</p>,1953.0,calibration,,,,,,,,,,,,,,
introduction,59,1960458,0.0-8.0-1.13-0.13,1qnfbw53,,,,,,2234.0,1132,666204d4cbd0992fc4079cb9,,1132,,calibration,,,,,,,,,,,,,,
introduction,60,1960465,0.0-8.0-2.13,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,61,1962421,0.0-8.0-0.14,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,img/Red_circle.png,1642.0,calibration,,,,,,,,,,,,,,
introduction,62,1964021,0.0-8.0-1.14-0.14,1qnfbw53,,,,,,1597.0,2213,666204d4cbd0992fc4079cb9,,2213,,calibration,,,,,,,,,,,,,,
introduction,63,1964021,0.0-8.0-2.14,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,64,1965666,0.0-8.0-0.15,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,img/Red_circle.png,1249.0,calibration,,,,,,,,,,,,,,
introduction,65,1967184,0.0-8.0-1.15-0.15,1qnfbw53,,,,,,1515.0,1111,666204d4cbd0992fc4079cb9,,1111,,calibration,,,,,,,,,,,,,,
introduction,66,1967185,0.0-8.0-2.15,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,67,1968437,0.0-8.0-0.16,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,img/Red_circle.png,1082.0,calibration,,,,,,,,,,,,,,
introduction,68,1970223,0.0-8.0-1.16-0.16,1qnfbw53,,,,,,1784.0,1322,666204d4cbd0992fc4079cb9,,1322,,calibration,,,,,,,,,,,,,,
introduction,69,1970224,0.0-8.0-2.16,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,70,1971309,0.0-8.0-0.17,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,img/Red_circle.png,1678.0,calibration,,,,,,,,,,,,,,
introduction,71,1972718,0.0-8.0-1.17-0.17,1qnfbw53,,,,,,1406.0,1122,666204d4cbd0992fc4079cb9,,1122,,calibration,,,,,,,,,,,,,,
introduction,72,1972719,0.0-8.0-2.17,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,73,1974398,0.0-8.0-0.18,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,img/Red_circle.png,2430.0,calibration,,,,,,,,,,,,,,
introduction,74,1975939,0.0-8.0-1.18-0.18,1qnfbw53,,,,,,1539.0,1232,666204d4cbd0992fc4079cb9,,1232,,calibration,,,,,,,,,,,,,,
introduction,75,1975940,0.0-8.0-2.18,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,76,1977942,0.0-8.0-0.19,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,<p>CAREFUL. That was too slow.</p>,2689.0,calibration,,,,,,,,,,,,,,
introduction,77,1979426,0.0-8.0-1.19-0.19,1qnfbw53,,,,,,1482.0,1233,666204d4cbd0992fc4079cb9,,1233,,calibration,,,,,,,,,,,,,,
introduction,78,1979427,0.0-8.0-2.19,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,79,1981429,0.0-8.0-0.20,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,<p>CAREFUL. That was too slow.</p>,1547.0,calibration,,,,,,,,,,,,,,
introduction,80,1983699,0.0-8.0-1.20-0.20,1qnfbw53,,,,,,2267.0,2311,666204d4cbd0992fc4079cb9,,2311,,calibration,,,,,,,,,,,,,,
introduction,81,1983699,0.0-8.0-2.20,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,82,1985248,0.0-8.0-0.21,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,img/Red_circle.png,1791.0,calibration,,,,,,,,,,,,,,
introduction,83,1987669,0.0-8.0-1.21-0.21,1qnfbw53,,,,,,2417.0,322,666204d4cbd0992fc4079cb9,,322,,calibration,,,,,,,,,,,,,,
introduction,84,1987670,0.0-8.0-2.21,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,,,,,,,,,,,,,,,,,
introduction,85,1989463,0.0-8.0-0.22,1qnfbw53,,,,,,,,666204d4cbd0992fc4079cb9,,img/Red_circle.png,2122.0,calibration,,,,,,,,,,,,,,
introduction,86,1991416,0.0-8.0-1.22-0.22,1qnfbw53,,,,,,1949.0,2311,666204d4cbd0992fc4079cb9,,2311,,calibration,,,,,,,,,,,,,,
