trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,10192,0.0-2.0,1xpvwocs,,,,,,4398.0,666559e634fffd1ce19ba654,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,3,12519,0.0-3.0,1xpvwocs,,,,,,2316.0,666559e634fffd1ce19ba654,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,4,21030,0.0-4.0-0.0,1xpvwocs,,,,,,8509.0,,666559e634fffd1ce19ba654,"[{""page_index"":0,""viewing_time"":934},{""page_index"":1,""viewing_time"":6506},{""page_index"":2,""viewing_time"":1070}]",,,,,,,,,,,,,,,,,
introduction,5,22059,0.0-5.0-0.0,1xpvwocs,,,,,,1028.0,1,666559e634fffd1ce19ba654,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,22582,0.0-5.0-0.1,1xpvwocs,,,,,,523.0,2,666559e634fffd1ce19ba654,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,23286,0.0-5.0-0.2,1xpvwocs,,,,,,703.0,1,666559e634fffd1ce19ba654,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,23731,0.0-5.0-0.3,1xpvwocs,,,,,,445.0,3,666559e634fffd1ce19ba654,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,24352,0.0-5.0-0.4,1xpvwocs,,,,,,620.0,2,666559e634fffd1ce19ba654,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,24952,0.0-5.0-0.5,1xpvwocs,,,,,,600.0,3,666559e634fffd1ce19ba654,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,25387,0.0-5.0-0.6,1xpvwocs,,,,,,435.0,1,666559e634fffd1ce19ba654,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,25817,0.0-5.0-0.7,1xpvwocs,,,,,,430.0,2,666559e634fffd1ce19ba654,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,26284,0.0-5.0-0.8,1xpvwocs,,,,,,466.0,3,666559e634fffd1ce19ba654,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,26757,0.0-5.0-0.9,1xpvwocs,,,,,,472.0,2,666559e634fffd1ce19ba654,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,27267,0.0-5.0-0.10,1xpvwocs,,,,,,509.0,1,666559e634fffd1ce19ba654,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,27782,0.0-5.0-0.11,1xpvwocs,,,,,,515.0,3,666559e634fffd1ce19ba654,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,44854,0.0-6.0-0.0,1xpvwocs,,,,,,17072.0,,666559e634fffd1ce19ba654,"[{""page_index"":0,""viewing_time"":1195},{""page_index"":1,""viewing_time"":1851},{""page_index"":2,""viewing_time"":8772},{""page_index"":3,""viewing_time"":5255}]",,,,,,,,,,,,,,,,,
introduction,19,58562,0.0-8.0-0.0,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,img/Red_circle.png,2116.0,calibration,,,,,,,,,,,,,,
introduction,20,60964,0.0-8.0-1.0-0.0,1xpvwocs,,,,,,2385.0,1313,666559e634fffd1ce19ba654,,1313,,calibration,,,,,,,,,,,,,,
introduction,21,60965,0.0-8.0-2.0,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,22,62971,0.0-8.0-0.1,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,<p>CAREFUL. That was too slow.</p>,2587.0,calibration,,,,,,,,,,,,,,
introduction,23,64797,0.0-8.0-1.1-0.1,1xpvwocs,,,,,,1821.0,313,666559e634fffd1ce19ba654,,313,,calibration,,,,,,,,,,,,,,
introduction,24,64797,0.0-8.0-2.1,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,25,66804,0.0-8.0-0.2,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,<p>CAREFUL. That was too slow.</p>,2569.0,calibration,,,,,,,,,,,,,,
introduction,26,68684,0.0-8.0-1.2-0.2,1xpvwocs,,,,,,1872.0,3113,666559e634fffd1ce19ba654,,3113,,calibration,,,,,,,,,,,,,,
introduction,27,68685,0.0-8.0-2.2,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,28,70690,0.0-8.0-0.3,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,<p>CAREFUL. That was too slow.</p>,2480.0,calibration,,,,,,,,,,,,,,
introduction,29,72250,0.0-8.0-1.3-0.3,1xpvwocs,,,,,,1553.0,2213,666559e634fffd1ce19ba654,,2213,,calibration,,,,,,,,,,,,,,
introduction,30,72251,0.0-8.0-2.3,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,31,74258,0.0-8.0-0.4,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,<p>CAREFUL. That was too slow.</p>,2552.0,calibration,,,,,,,,,,,,,,
introduction,32,80895,0.0-8.0-1.4-0.4,1xpvwocs,,,,,,6632.0,2313,666559e634fffd1ce19ba654,,2321,,calibration,,,,,,,,,,,,,,
introduction,33,83116,0.0-8.0-1.5-0.5,1xpvwocs,,,,,,2217.0,2321,666559e634fffd1ce19ba654,,2321,,calibration,,,,,,,,,,,,,,
introduction,34,85122,0.0-8.0-2.4,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,35,87690,0.0-8.0-0.5,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,img/Red_circle.png,1629.0,calibration,,,,,,,,,,,,,,
introduction,36,90061,0.0-8.0-1.6-0.6,1xpvwocs,,,,,,2366.0,3111,666559e634fffd1ce19ba654,,3111,,calibration,,,,,,,,,,,,,,
introduction,37,90062,0.0-8.0-2.5,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,38,91694,0.0-8.0-0.6,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,img/Red_circle.png,1901.0,calibration,,,,,,,,,,,,,,
introduction,39,94465,0.0-8.0-1.7-0.7,1xpvwocs,,,,,,2766.0,3312,666559e634fffd1ce19ba654,,3312,,calibration,,,,,,,,,,,,,,
introduction,40,94466,0.0-8.0-2.6,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,41,96376,0.0-8.0-0.7,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,img/Red_circle.png,1095.0,calibration,,,,,,,,,,,,,,
introduction,42,98021,0.0-8.0-1.8-0.8,1xpvwocs,,,,,,1639.0,1211,666559e634fffd1ce19ba654,,1211,,calibration,,,,,,,,,,,,,,
introduction,43,98022,0.0-8.0-2.7,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,44,99126,0.0-8.0-0.8,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,img/Red_circle.png,1559.0,calibration,,,,,,,,,,,,,,
introduction,45,102847,0.0-8.0-1.9-0.9,1xpvwocs,,,,,,3717.0,122,666559e634fffd1ce19ba654,,122,,calibration,,,,,,,,,,,,,,
introduction,46,104856,0.0-8.0-2.8,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,47,106424,0.0-8.0-0.9,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,img/Red_circle.png,2209.0,calibration,,,,,,,,,,,,,,
introduction,48,109545,0.0-8.0-1.10-0.10,1xpvwocs,,,,,,3115.0,2231,666559e634fffd1ce19ba654,,2231,,calibration,,,,,,,,,,,,,,
introduction,49,109546,0.0-8.0-2.9,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,50,111549,0.0-8.0-0.10,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,<p>CAREFUL. That was too slow.</p>,3116.0,calibration,,,,,,,,,,,,,,
introduction,51,113968,0.0-8.0-1.11-0.11,1xpvwocs,,,,,,2412.0,1312,666559e634fffd1ce19ba654,,1312,,calibration,,,,,,,,,,,,,,
introduction,52,113969,0.0-8.0-2.10,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,53,115984,0.0-8.0-0.11,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,<p>CAREFUL. That was too slow.</p>,2875.0,calibration,,,,,,,,,,,,,,
introduction,54,117741,0.0-8.0-1.12-0.12,1xpvwocs,,,,,,1744.0,2111,666559e634fffd1ce19ba654,,2111,,calibration,,,,,,,,,,,,,,
introduction,55,117741,0.0-8.0-2.11,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,56,119752,0.0-8.0-0.12,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,<p>CAREFUL. That was too slow.</p>,1037.0,calibration,,,,,,,,,,,,,,
introduction,57,121677,0.0-8.0-1.13-0.13,1xpvwocs,,,,,,1919.0,2233,666559e634fffd1ce19ba654,,2233,,calibration,,,,,,,,,,,,,,
introduction,58,121678,0.0-8.0-2.12,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,59,122728,0.0-8.0-0.13,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,img/Red_circle.png,2564.0,calibration,,,,,,,,,,,,,,
introduction,60,124977,0.0-8.0-1.14-0.14,1xpvwocs,,,,,,2244.0,2132,666559e634fffd1ce19ba654,,2132,,calibration,,,,,,,,,,,,,,
introduction,61,124978,0.0-8.0-2.13,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,62,126981,0.0-8.0-0.14,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,<p>CAREFUL. That was too slow.</p>,3385.0,calibration,,,,,,,,,,,,,,
introduction,63,129149,0.0-8.0-1.15-0.15,1xpvwocs,,,,,,2163.0,2321,666559e634fffd1ce19ba654,,2321,,calibration,,,,,,,,,,,,,,
introduction,64,129149,0.0-8.0-2.14,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,65,131161,0.0-8.0-0.15,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,<p>CAREFUL. That was too slow.</p>,2449.0,calibration,,,,,,,,,,,,,,
introduction,66,132823,0.0-8.0-1.16-0.16,1xpvwocs,,,,,,1658.0,3333,666559e634fffd1ce19ba654,,3333,,calibration,,,,,,,,,,,,,,
introduction,67,132823,0.0-8.0-2.15,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,68,134839,0.0-8.0-0.16,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,<p>CAREFUL. That was too slow.</p>,1220.0,calibration,,,,,,,,,,,,,,
introduction,69,137299,0.0-8.0-1.17-0.17,1xpvwocs,,,,,,2453.0,2232,666559e634fffd1ce19ba654,,2232,,calibration,,,,,,,,,,,,,,
introduction,70,137299,0.0-8.0-2.16,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,71,138531,0.0-8.0-0.17,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,img/Red_circle.png,2448.0,calibration,,,,,,,,,,,,,,
introduction,72,140351,0.0-8.0-1.18-0.18,1xpvwocs,,,,,,1814.0,1211,666559e634fffd1ce19ba654,,1211,,calibration,,,,,,,,,,,,,,
introduction,73,140351,0.0-8.0-2.17,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
introduction,74,142367,0.0-8.0-0.18,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,<p>CAREFUL. That was too slow.</p>,1872.0,calibration,,,,,,,,,,,,,,
introduction,75,144834,0.0-8.0-1.19-0.19,1xpvwocs,,,,,,2463.0,3112,666559e634fffd1ce19ba654,,3112,,calibration,,,,,,,,,,,,,,
introduction,76,144835,0.0-8.0-2.18,1xpvwocs,,,,,,,,666559e634fffd1ce19ba654,,,,,,,,,,,,,,,,,,
