trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,9753,0.0-2.0,vvbgb0oa,,,,,,5703.0,66660a053b08e2a34f9b945c,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,3,14553,0.0-3.0,vvbgb0oa,,,,,,4799.0,66660a053b08e2a34f9b945c,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,4,43369,0.0-4.0-0.0,vvbgb0oa,,,,,,28815.0,,66660a053b08e2a34f9b945c,"[{""page_index"":0,""viewing_time"":7256},{""page_index"":1,""viewing_time"":8440},{""page_index"":2,""viewing_time"":13120}]",,,,,,,,,,,,,,,,,
introduction,5,45073,0.0-5.0-0.0,vvbgb0oa,,,,,,1704.0,1,66660a053b08e2a34f9b945c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,45959,0.0-5.0-0.1,vvbgb0oa,,,,,,887.0,2,66660a053b08e2a34f9b945c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,47064,0.0-5.0-0.2,vvbgb0oa,,,,,,1105.0,1,66660a053b08e2a34f9b945c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,48328,0.0-5.0-0.3,vvbgb0oa,,,,,,1264.0,3,66660a053b08e2a34f9b945c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,49039,0.0-5.0-0.4,vvbgb0oa,,,,,,711.0,2,66660a053b08e2a34f9b945c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,49656,0.0-5.0-0.5,vvbgb0oa,,,,,,617.0,3,66660a053b08e2a34f9b945c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,50231,0.0-5.0-0.6,vvbgb0oa,,,,,,575.0,1,66660a053b08e2a34f9b945c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,50736,0.0-5.0-0.7,vvbgb0oa,,,,,,505.0,2,66660a053b08e2a34f9b945c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,51175,0.0-5.0-0.8,vvbgb0oa,,,,,,439.0,3,66660a053b08e2a34f9b945c,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,51760,0.0-5.0-0.9,vvbgb0oa,,,,,,584.0,2,66660a053b08e2a34f9b945c,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,52312,0.0-5.0-0.10,vvbgb0oa,,,,,,552.0,1,66660a053b08e2a34f9b945c,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,52816,0.0-5.0-0.11,vvbgb0oa,,,,,,504.0,3,66660a053b08e2a34f9b945c,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,103160,0.0-6.0-0.0,vvbgb0oa,,,,,,50344.0,,66660a053b08e2a34f9b945c,"[{""page_index"":0,""viewing_time"":1112},{""page_index"":1,""viewing_time"":2376},{""page_index"":2,""viewing_time"":45495},{""page_index"":3,""viewing_time"":1360}]",,,,,,,,,,,,,,,,,
introduction,19,114600,0.0-8.0-0.0,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,img/Red_circle.png,3214.0,calibration,,,,,,,,,,,,,,
introduction,20,116007,0.0-8.0-1.0-0.0,vvbgb0oa,,,,,,1406.0,21,66660a053b08e2a34f9b945c,,21,,calibration,,,,,,,,,,,,,,
introduction,21,116008,0.0-8.0-2.0,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,22,118010,0.0-8.0-0.1,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,<p>CAREFUL. That was too slow.</p>,2642.0,calibration,,,,,,,,,,,,,,
introduction,23,120335,0.0-8.0-1.1-0.1,vvbgb0oa,,,,,,2324.0,2133,66660a053b08e2a34f9b945c,,2133,,calibration,,,,,,,,,,,,,,
introduction,24,120335,0.0-8.0-2.1,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,25,122345,0.0-8.0-0.2,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,<p>CAREFUL. That was too slow.</p>,2747.0,calibration,,,,,,,,,,,,,,
introduction,26,124071,0.0-8.0-1.2-0.2,vvbgb0oa,,,,,,1725.0,312,66660a053b08e2a34f9b945c,,312,,calibration,,,,,,,,,,,,,,
introduction,27,124071,0.0-8.0-2.2,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,28,126083,0.0-8.0-0.3,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,<p>CAREFUL. That was too slow.</p>,1216.0,calibration,,,,,,,,,,,,,,
introduction,29,128319,0.0-8.0-1.3-0.3,vvbgb0oa,,,,,,2235.0,2133,66660a053b08e2a34f9b945c,,2133,,calibration,,,,,,,,,,,,,,
introduction,30,128319,0.0-8.0-2.3,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,31,129551,0.0-8.0-0.4,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,img/Red_circle.png,1091.0,calibration,,,,,,,,,,,,,,
introduction,32,131391,0.0-8.0-1.4-0.4,vvbgb0oa,,,,,,1839.0,3323,66660a053b08e2a34f9b945c,,3323,,calibration,,,,,,,,,,,,,,
introduction,33,131391,0.0-8.0-2.4,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,34,132498,0.0-8.0-0.5,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,img/Red_circle.png,3161.0,calibration,,,,,,,,,,,,,,
introduction,35,134224,0.0-8.0-1.5-0.5,vvbgb0oa,,,,,,1726.0,1221,66660a053b08e2a34f9b945c,,1221,,calibration,,,,,,,,,,,,,,
introduction,36,134225,0.0-8.0-2.5,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,37,136229,0.0-8.0-0.6,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,<p>CAREFUL. That was too slow.</p>,2165.0,calibration,,,,,,,,,,,,,,
introduction,38,138144,0.0-8.0-1.6-0.6,vvbgb0oa,,,,,,1914.0,232,66660a053b08e2a34f9b945c,,232,,calibration,,,,,,,,,,,,,,
introduction,39,138144,0.0-8.0-2.6,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,40,140148,0.0-8.0-0.7,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,<p>CAREFUL. That was too slow.</p>,2102.0,calibration,,,,,,,,,,,,,,
introduction,41,141303,0.0-8.0-1.7-0.7,vvbgb0oa,,,,,,1155.0,12,66660a053b08e2a34f9b945c,,12,,calibration,,,,,,,,,,,,,,
introduction,42,141304,0.0-8.0-2.7,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,43,143313,0.0-8.0-0.8,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,<p>CAREFUL. That was too slow.</p>,2254.0,calibration,,,,,,,,,,,,,,
introduction,44,144879,0.0-8.0-1.8-0.8,vvbgb0oa,,,,,,1566.0,23,66660a053b08e2a34f9b945c,,23,,calibration,,,,,,,,,,,,,,
introduction,45,144880,0.0-8.0-2.8,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,46,146893,0.0-8.0-0.9,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,<p>CAREFUL. That was too slow.</p>,1823.0,calibration,,,,,,,,,,,,,,
introduction,47,148631,0.0-8.0-1.9-0.9,vvbgb0oa,,,,,,1737.0,2213,66660a053b08e2a34f9b945c,,2213,,calibration,,,,,,,,,,,,,,
introduction,48,148631,0.0-8.0-2.9,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,49,150465,0.0-8.0-0.10,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,img/Red_circle.png,2711.0,calibration,,,,,,,,,,,,,,
introduction,50,152071,0.0-8.0-1.10-0.10,vvbgb0oa,,,,,,1605.0,1212,66660a053b08e2a34f9b945c,,1212,,calibration,,,,,,,,,,,,,,
introduction,51,152071,0.0-8.0-2.10,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,52,154073,0.0-8.0-0.11,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,<p>CAREFUL. That was too slow.</p>,3276.0,calibration,,,,,,,,,,,,,,
introduction,53,155800,0.0-8.0-1.11-0.11,vvbgb0oa,,,,,,1726.0,1132,66660a053b08e2a34f9b945c,,1132,,calibration,,,,,,,,,,,,,,
introduction,54,155800,0.0-8.0-2.11,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,55,157809,0.0-8.0-0.12,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,<p>CAREFUL. That was too slow.</p>,1806.0,calibration,,,,,,,,,,,,,,
introduction,56,160471,0.0-8.0-1.12-0.12,vvbgb0oa,,,,,,2661.0,2321,66660a053b08e2a34f9b945c,,2321,,calibration,,,,,,,,,,,,,,
introduction,57,160471,0.0-8.0-2.12,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,58,162292,0.0-8.0-0.13,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,img/Red_circle.png,2752.0,calibration,,,,,,,,,,,,,,
introduction,59,163887,0.0-8.0-1.13-0.13,vvbgb0oa,,,,,,1595.0,2222,66660a053b08e2a34f9b945c,,2222,,calibration,,,,,,,,,,,,,,
introduction,60,163888,0.0-8.0-2.13,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,61,165889,0.0-8.0-0.14,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,<p>CAREFUL. That was too slow.</p>,2920.0,calibration,,,,,,,,,,,,,,
introduction,62,167904,0.0-8.0-1.14-0.14,vvbgb0oa,,,,,,2014.0,2113,66660a053b08e2a34f9b945c,,2113,,calibration,,,,,,,,,,,,,,
introduction,63,167904,0.0-8.0-2.14,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,,,,,,,,,,,,,,,,,
introduction,64,169919,0.0-8.0-0.15,vvbgb0oa,,,,,,,,66660a053b08e2a34f9b945c,,<p>CAREFUL. That was too slow.</p>,1588.0,calibration,,,,,,,,,,,,,,
introduction,65,171479,0.0-8.0-1.15-0.15,vvbgb0oa,,,,,,1559.0,23,66660a053b08e2a34f9b945c,,23,,calibration,,,,,,,,,,,,,,
