trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,34893,0.0-2.0,zxg07nfr,,,,,,4959.0,666b4944d7f80b9099b5af20,666b4944d7f80b9099b5af20,,,,,,,,,,,,,,,,,,
introduction,3,39382,0.0-3.0,zxg07nfr,,,,,,4489.0,666b4944d7f80b9099b5af20,666b4944d7f80b9099b5af20,,,,,,,,,,,,,,,,,,
introduction,4,45472,0.0-4.0-0.0,zxg07nfr,,,,,,6089.0,,666b4944d7f80b9099b5af20,"[{""page_index"":0,""viewing_time"":1104},{""page_index"":1,""viewing_time"":3883},{""page_index"":2,""viewing_time"":1102}]",,,,,,,,,,,,,,,,,
introduction,5,46506,0.0-5.0-0.0,zxg07nfr,,,,,,1034.0,1,666b4944d7f80b9099b5af20,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,47226,0.0-5.0-0.1,zxg07nfr,,,,,,720.0,2,666b4944d7f80b9099b5af20,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,47907,0.0-5.0-0.2,zxg07nfr,,,,,,680.0,1,666b4944d7f80b9099b5af20,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,48563,0.0-5.0-0.3,zxg07nfr,,,,,,656.0,3,666b4944d7f80b9099b5af20,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,49194,0.0-5.0-0.4,zxg07nfr,,,,,,630.0,2,666b4944d7f80b9099b5af20,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,49820,0.0-5.0-0.5,zxg07nfr,,,,,,626.0,3,666b4944d7f80b9099b5af20,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,50459,0.0-5.0-0.6,zxg07nfr,,,,,,638.0,1,666b4944d7f80b9099b5af20,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,51091,0.0-5.0-0.7,zxg07nfr,,,,,,633.0,2,666b4944d7f80b9099b5af20,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,51716,0.0-5.0-0.8,zxg07nfr,,,,,,624.0,3,666b4944d7f80b9099b5af20,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,52345,0.0-5.0-0.9,zxg07nfr,,,,,,629.0,2,666b4944d7f80b9099b5af20,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,52963,0.0-5.0-0.10,zxg07nfr,,,,,,618.0,1,666b4944d7f80b9099b5af20,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,53554,0.0-5.0-0.11,zxg07nfr,,,,,,590.0,3,666b4944d7f80b9099b5af20,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,360150,0.0-6.0-0.0,zxg07nfr,,,,,,306598.0,,666b4944d7f80b9099b5af20,"[{""page_index"":0,""viewing_time"":215188},{""page_index"":1,""viewing_time"":1152},{""page_index"":2,""viewing_time"":87014},{""page_index"":3,""viewing_time"":3245}]",,,,,,,,,,,,,,,,,
introduction,19,378393,0.0-8.0-0.0,zxg07nfr,,,,,,,,666b4944d7f80b9099b5af20,,img/Red_circle.png,1496.0,calibration,,,,,,,,,,,,,,
introduction,20,381176,0.0-8.0-1.0-0.0,zxg07nfr,,,,,,2782.0,2313,666b4944d7f80b9099b5af20,,2313,,calibration,,,,,,,,,,,,,,
introduction,21,381176,0.0-8.0-2.0,zxg07nfr,,,,,,,,666b4944d7f80b9099b5af20,,,,,,,,,,,,,,,,,,
introduction,22,382689,0.0-8.0-0.1,zxg07nfr,,,,,,,,666b4944d7f80b9099b5af20,,img/Red_circle.png,2548.0,calibration,,,,,,,,,,,,,,
introduction,23,384001,0.0-8.0-1.1-0.1,zxg07nfr,,,,,,1312.0,13,666b4944d7f80b9099b5af20,,13,,calibration,,,,,,,,,,,,,,
introduction,24,384002,0.0-8.0-2.1,zxg07nfr,,,,,,,,666b4944d7f80b9099b5af20,,,,,,,,,,,,,,,,,,
introduction,25,386011,0.0-8.0-0.2,zxg07nfr,,,,,,,,666b4944d7f80b9099b5af20,,<p>CAREFUL. That was too slow.</p>,2602.0,calibration,,,,,,,,,,,,,,
introduction,26,387392,0.0-8.0-1.2-0.2,zxg07nfr,,,,,,1380.0,3123,666b4944d7f80b9099b5af20,,3123,,calibration,,,,,,,,,,,,,,
introduction,27,387393,0.0-8.0-2.2,zxg07nfr,,,,,,,,666b4944d7f80b9099b5af20,,,,,,,,,,,,,,,,,,
