trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8243,0.0-2.0,p85telx8,,,,,,5102.0,667c758c5dfc4b24fcfa9e0e,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,3,11293,0.0-3.0,p85telx8,,,,,,3049.0,667c758c5dfc4b24fcfa9e0e,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,4,18634,0.0-4.0-0.0,p85telx8,,,,,,7340.0,,667c758c5dfc4b24fcfa9e0e,"[{""page_index"":0,""viewing_time"":1404},{""page_index"":1,""viewing_time"":4600},{""page_index"":2,""viewing_time"":1335}]",,,,,,,,,,,,,,,,,
introduction,5,20344,0.0-5.0-0.0,p85telx8,,,,,,1709.0,1,667c758c5dfc4b24fcfa9e0e,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,20939,0.0-5.0-0.1,p85telx8,,,,,,594.0,2,667c758c5dfc4b24fcfa9e0e,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,21540,0.0-5.0-0.2,p85telx8,,,,,,600.0,1,667c758c5dfc4b24fcfa9e0e,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,22123,0.0-5.0-0.3,p85telx8,,,,,,582.0,3,667c758c5dfc4b24fcfa9e0e,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,22712,0.0-5.0-0.4,p85telx8,,,,,,589.0,2,667c758c5dfc4b24fcfa9e0e,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,23216,0.0-5.0-0.5,p85telx8,,,,,,503.0,3,667c758c5dfc4b24fcfa9e0e,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,23725,0.0-5.0-0.6,p85telx8,,,,,,508.0,1,667c758c5dfc4b24fcfa9e0e,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,24282,0.0-5.0-0.7,p85telx8,,,,,,556.0,2,667c758c5dfc4b24fcfa9e0e,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,24786,0.0-5.0-0.8,p85telx8,,,,,,503.0,3,667c758c5dfc4b24fcfa9e0e,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,25329,0.0-5.0-0.9,p85telx8,,,,,,542.0,2,667c758c5dfc4b24fcfa9e0e,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,25822,0.0-5.0-0.10,p85telx8,,,,,,492.0,1,667c758c5dfc4b24fcfa9e0e,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,26374,0.0-5.0-0.11,p85telx8,,,,,,551.0,3,667c758c5dfc4b24fcfa9e0e,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,44573,0.0-6.0-0.0,p85telx8,,,,,,18199.0,,667c758c5dfc4b24fcfa9e0e,"[{""page_index"":0,""viewing_time"":963},{""page_index"":1,""viewing_time"":3314},{""page_index"":2,""viewing_time"":12876},{""page_index"":3,""viewing_time"":1045}]",,,,,,,,,,,,,,,,,
introduction,19,55631,0.0-8.0-0.0,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,2150.0,calibration,,,,,,,,,,,,,,
introduction,20,58036,0.0-8.0-1.0-0.0,p85telx8,,,,,,2399.0,2133,667c758c5dfc4b24fcfa9e0e,,2133,,calibration,,,,,,,,,,,,,,
introduction,21,58039,0.0-8.0-2.0,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,22,60047,0.0-8.0-0.1,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,1697.0,calibration,,,,,,,,,,,,,,
introduction,23,61984,0.0-8.0-1.1-0.1,p85telx8,,,,,,1934.0,2213,667c758c5dfc4b24fcfa9e0e,,2213,,calibration,,,,,,,,,,,,,,
introduction,24,61985,0.0-8.0-2.1,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,25,63695,0.0-8.0-0.2,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,2328.0,calibration,,,,,,,,,,,,,,
introduction,26,65371,0.0-8.0-1.2-0.2,p85telx8,,,,,,1672.0,1332,667c758c5dfc4b24fcfa9e0e,,1332,,calibration,,,,,,,,,,,,,,
introduction,27,65372,0.0-8.0-2.2,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,28,67386,0.0-8.0-0.3,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,1139.0,calibration,,,,,,,,,,,,,,
introduction,29,68742,0.0-8.0-1.3-0.3,p85telx8,,,,,,1353.0,332,667c758c5dfc4b24fcfa9e0e,,332,,calibration,,,,,,,,,,,,,,
introduction,30,68743,0.0-8.0-2.3,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,31,69899,0.0-8.0-0.4,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,1173.0,calibration,,,,,,,,,,,,,,
introduction,32,71851,0.0-8.0-1.4-0.4,p85telx8,,,,,,1949.0,2321,667c758c5dfc4b24fcfa9e0e,,2321,,calibration,,,,,,,,,,,,,,
introduction,33,71853,0.0-8.0-2.4,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,34,73034,0.0-8.0-0.5,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,1549.0,calibration,,,,,,,,,,,,,,
introduction,35,74686,0.0-8.0-1.5-0.5,p85telx8,,,,,,1649.0,1231,667c758c5dfc4b24fcfa9e0e,,1231,,calibration,,,,,,,,,,,,,,
introduction,36,74688,0.0-8.0-2.5,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,37,76252,0.0-8.0-0.6,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,1083.0,calibration,,,,,,,,,,,,,,
introduction,38,77728,0.0-8.0-1.6-0.6,p85telx8,,,,,,1473.0,1222,667c758c5dfc4b24fcfa9e0e,,1222,,calibration,,,,,,,,,,,,,,
introduction,39,77729,0.0-8.0-2.6,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,40,78825,0.0-8.0-0.7,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,2045.0,calibration,,,,,,,,,,,,,,
introduction,41,80564,0.0-8.0-1.7-0.7,p85telx8,,,,,,1735.0,3231,667c758c5dfc4b24fcfa9e0e,,3231,,calibration,,,,,,,,,,,,,,
introduction,42,80565,0.0-8.0-2.7,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,43,82580,0.0-8.0-0.8,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,1684.0,calibration,,,,,,,,,,,,,,
introduction,44,84136,0.0-8.0-1.8-0.8,p85telx8,,,,,,1552.0,2323,667c758c5dfc4b24fcfa9e0e,,2323,,calibration,,,,,,,,,,,,,,
introduction,45,84137,0.0-8.0-2.8,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,46,85824,0.0-8.0-0.9,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,1657.0,calibration,,,,,,,,,,,,,,
introduction,47,86915,0.0-8.0-1.9-0.9,p85telx8,,,,,,1088.0,323,667c758c5dfc4b24fcfa9e0e,,323,,calibration,,,,,,,,,,,,,,
introduction,48,86916,0.0-8.0-2.9,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,49,88583,0.0-8.0-0.10,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,2429.0,calibration,,,,,,,,,,,,,,
introduction,50,89575,0.0-8.0-1.10-0.10,p85telx8,,,,,,989.0,122,667c758c5dfc4b24fcfa9e0e,,122,,calibration,,,,,,,,,,,,,,
introduction,51,89576,0.0-8.0-2.10,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,52,91581,0.0-8.0-0.11,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,2828.0,calibration,,,,,,,,,,,,,,
introduction,53,93188,0.0-8.0-1.11-0.11,p85telx8,,,,,,1605.0,2322,667c758c5dfc4b24fcfa9e0e,,2322,,calibration,,,,,,,,,,,,,,
introduction,54,93189,0.0-8.0-2.11,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,55,95196,0.0-8.0-0.12,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,1110.0,calibration,,,,,,,,,,,,,,
introduction,56,96282,0.0-8.0-1.12-0.12,p85telx8,,,,,,1084.0,222,667c758c5dfc4b24fcfa9e0e,,222,,calibration,,,,,,,,,,,,,,
introduction,57,96283,0.0-8.0-2.12,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,58,97405,0.0-8.0-0.13,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,2956.0,calibration,,,,,,,,,,,,,,
introduction,59,98912,0.0-8.0-1.13-0.13,p85telx8,,,,,,1504.0,1123,667c758c5dfc4b24fcfa9e0e,,1123,,calibration,,,,,,,,,,,,,,
introduction,60,98914,0.0-8.0-2.13,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,61,100921,0.0-8.0-0.14,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,2464.0,calibration,,,,,,,,,,,,,,
introduction,62,102318,0.0-8.0-1.14-0.14,p85telx8,,,,,,1393.0,1112,667c758c5dfc4b24fcfa9e0e,,1112,,calibration,,,,,,,,,,,,,,
introduction,63,102319,0.0-8.0-2.14,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,64,104333,0.0-8.0-0.15,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,2836.0,calibration,,,,,,,,,,,,,,
introduction,65,105877,0.0-8.0-1.15-0.15,p85telx8,,,,,,1540.0,3112,667c758c5dfc4b24fcfa9e0e,,3112,,calibration,,,,,,,,,,,,,,
introduction,66,105878,0.0-8.0-2.15,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,67,107888,0.0-8.0-0.16,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,2514.0,calibration,,,,,,,,,,,,,,
introduction,68,109203,0.0-8.0-1.16-0.16,p85telx8,,,,,,1311.0,3331,667c758c5dfc4b24fcfa9e0e,,3331,,calibration,,,,,,,,,,,,,,
introduction,69,109204,0.0-8.0-2.16,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,70,111216,0.0-8.0-0.17,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,2453.0,calibration,,,,,,,,,,,,,,
introduction,71,112425,0.0-8.0-1.17-0.17,p85telx8,,,,,,1207.0,1223,667c758c5dfc4b24fcfa9e0e,,1223,,calibration,,,,,,,,,,,,,,
introduction,72,112426,0.0-8.0-2.17,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,73,114430,0.0-8.0-0.18,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,2070.0,calibration,,,,,,,,,,,,,,
introduction,74,115493,0.0-8.0-1.18-0.18,p85telx8,,,,,,1060.0,323,667c758c5dfc4b24fcfa9e0e,,323,,calibration,,,,,,,,,,,,,,
introduction,75,115494,0.0-8.0-2.18,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,76,117496,0.0-8.0-0.19,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,2929.0,calibration,,,,,,,,,,,,,,
introduction,77,118960,0.0-8.0-1.19-0.19,p85telx8,,,,,,1460.0,2311,667c758c5dfc4b24fcfa9e0e,,2311,,calibration,,,,,,,,,,,,,,
introduction,78,118960,0.0-8.0-2.19,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,79,120975,0.0-8.0-0.20,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,1553.0,calibration,,,,,,,,,,,,,,
introduction,80,122794,0.0-8.0-1.20-0.20,p85telx8,,,,,,1815.0,1232,667c758c5dfc4b24fcfa9e0e,,1232,,calibration,,,,,,,,,,,,,,
introduction,81,122795,0.0-8.0-2.20,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,82,124360,0.0-8.0-0.21,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,2354.0,calibration,,,,,,,,,,,,,,
introduction,83,125510,0.0-8.0-1.21-0.21,p85telx8,,,,,,1147.0,311,667c758c5dfc4b24fcfa9e0e,,311,,calibration,,,,,,,,,,,,,,
introduction,84,125512,0.0-8.0-2.21,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,85,127525,0.0-8.0-0.22,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,1698.0,calibration,,,,,,,,,,,,,,
introduction,86,129334,0.0-8.0-1.22-0.22,p85telx8,,,,,,1806.0,2222,667c758c5dfc4b24fcfa9e0e,,2222,,calibration,,,,,,,,,,,,,,
introduction,87,129335,0.0-8.0-2.22,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,88,131043,0.0-8.0-0.23,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,2522.0,calibration,,,,,,,,,,,,,,
introduction,89,133861,0.0-8.0-1.23-0.23,p85telx8,,,,,,2815.0,21,667c758c5dfc4b24fcfa9e0e,,21,,calibration,,,,,,,,,,,,,,
introduction,90,133862,0.0-8.0-2.23,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,91,135870,0.0-8.0-0.24,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,2782.0,calibration,,,,,,,,,,,,,,
introduction,92,137666,0.0-8.0-1.24-0.24,p85telx8,,,,,,1792.0,3132,667c758c5dfc4b24fcfa9e0e,,3132,,calibration,,,,,,,,,,,,,,
introduction,93,137667,0.0-8.0-2.24,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,94,139671,0.0-8.0-0.25,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,3035.0,calibration,,,,,,,,,,,,,,
introduction,95,140956,0.0-8.0-1.25-0.25,p85telx8,,,,,,1281.0,2231,667c758c5dfc4b24fcfa9e0e,,2231,,calibration,,,,,,,,,,,,,,
introduction,96,140957,0.0-8.0-2.25,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,97,142971,0.0-8.0-0.26,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,2977.0,calibration,,,,,,,,,,,,,,
introduction,98,144252,0.0-8.0-1.26-0.26,p85telx8,,,,,,1278.0,2211,667c758c5dfc4b24fcfa9e0e,,2211,,calibration,,,,,,,,,,,,,,
introduction,99,144253,0.0-8.0-2.26,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,100,146261,0.0-8.0-0.27,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,1633.0,calibration,,,,,,,,,,,,,,
introduction,101,147683,0.0-8.0-1.27-0.27,p85telx8,,,,,,1415.0,1233,667c758c5dfc4b24fcfa9e0e,,1233,,calibration,,,,,,,,,,,,,,
introduction,102,147684,0.0-8.0-2.27,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,103,149324,0.0-8.0-0.28,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,1084.0,calibration,,,,,,,,,,,,,,
introduction,104,150611,0.0-8.0-1.28-0.28,p85telx8,,,,,,1283.0,2131,667c758c5dfc4b24fcfa9e0e,,2131,,calibration,,,,,,,,,,,,,,
introduction,105,150612,0.0-8.0-2.28,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,106,151698,0.0-8.0-0.29,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,2667.0,calibration,,,,,,,,,,,,,,
introduction,107,153842,0.0-8.0-1.29-0.29,p85telx8,,,,,,2141.0,312,667c758c5dfc4b24fcfa9e0e,,132,,calibration,,,,,,,,,,,,,,
introduction,108,155239,0.0-8.0-1.30-0.30,p85telx8,,,,,,1392.0,132,667c758c5dfc4b24fcfa9e0e,,132,,calibration,,,,,,,,,,,,,,
introduction,109,157247,0.0-8.0-2.29,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,110,159928,0.0-8.0-0.30,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,1252.0,calibration,,,,,,,,,,,,,,
introduction,111,161140,0.0-8.0-1.31-0.31,p85telx8,,,,,,1209.0,223,667c758c5dfc4b24fcfa9e0e,,223,,calibration,,,,,,,,,,,,,,
introduction,112,161141,0.0-8.0-2.30,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,,,,,,,,,,,,,,,,,
introduction,114,198526,0.0-10.0,p85telx8,,,,,,36376.0,,667c758c5dfc4b24fcfa9e0e,"[{""page_index"":0,""viewing_time"":2671},{""page_index"":1,""viewing_time"":8267},{""page_index"":2,""viewing_time"":3218},{""page_index"":3,""viewing_time"":6100},{""page_index"":4,""viewing_time"":5039},{""page_index"":5,""viewing_time"":4073},{""page_index"":6,""viewing_time"":4186},{""page_index"":7,""viewing_time"":1558},{""page_index"":8,""viewing_time"":1263}]",,,,,,,,,,,,,,,,,
Red,115,199785,0.0-11.0-0.0,p85telx8,,,,,,,,667c758c5dfc4b24fcfa9e0e,,img/Red_circle.png,1131.0,,,,,,,,,,,,,,,
Green,116,201092,0.0-11.0-1.0-0.0,p85telx8,,,,,,1303.0,233,667c758c5dfc4b24fcfa9e0e,,2333,,PR,performance,,,,,,,,,,,,,
Green,117,203523,0.0-11.0-1.1-0.1,p85telx8,,,,,,2425.0,2333,667c758c5dfc4b24fcfa9e0e,,2333,,PR,performance,,,,,,,,,,,,,
