trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7155,0.0-2.0,1a8aenx1,,,,,,3960.0,6686dcf1d3c6e9cf6f7922bb,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,3,9879,0.0-3.0,1a8aenx1,,,,,,2719.0,6686dcf1d3c6e9cf6f7922bb,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,4,24824,0.0-4.0-0.0,1a8aenx1,,,,,,14944.0,,6686dcf1d3c6e9cf6f7922bb,"[{""page_index"":0,""viewing_time"":3160},{""page_index"":1,""viewing_time"":10194},{""page_index"":2,""viewing_time"":1589}]",,,,,,,,,,,,,,,,,
introduction,5,25858,0.0-5.0-0.0,1a8aenx1,,,,,,1031.0,1,6686dcf1d3c6e9cf6f7922bb,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,26598,0.0-5.0-0.1,1a8aenx1,,,,,,739.0,2,6686dcf1d3c6e9cf6f7922bb,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,27311,0.0-5.0-0.2,1a8aenx1,,,,,,712.0,1,6686dcf1d3c6e9cf6f7922bb,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,27969,0.0-5.0-0.3,1a8aenx1,,,,,,657.0,3,6686dcf1d3c6e9cf6f7922bb,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,28617,0.0-5.0-0.4,1a8aenx1,,,,,,647.0,2,6686dcf1d3c6e9cf6f7922bb,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,29286,0.0-5.0-0.5,1a8aenx1,,,,,,668.0,3,6686dcf1d3c6e9cf6f7922bb,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,29909,0.0-5.0-0.6,1a8aenx1,,,,,,623.0,1,6686dcf1d3c6e9cf6f7922bb,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,30518,0.0-5.0-0.7,1a8aenx1,,,,,,608.0,2,6686dcf1d3c6e9cf6f7922bb,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,31149,0.0-5.0-0.8,1a8aenx1,,,,,,630.0,3,6686dcf1d3c6e9cf6f7922bb,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,32063,0.0-5.0-0.9,1a8aenx1,,,,,,913.0,2,6686dcf1d3c6e9cf6f7922bb,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,32682,0.0-5.0-0.10,1a8aenx1,,,,,,618.0,1,6686dcf1d3c6e9cf6f7922bb,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,33299,0.0-5.0-0.11,1a8aenx1,,,,,,616.0,3,6686dcf1d3c6e9cf6f7922bb,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,96408,0.0-6.0-0.0,1a8aenx1,,,,,,63109.0,,6686dcf1d3c6e9cf6f7922bb,"[{""page_index"":0,""viewing_time"":1782},{""page_index"":1,""viewing_time"":4488},{""page_index"":2,""viewing_time"":54305},{""page_index"":3,""viewing_time"":2533}]",,,,,,,,,,,,,,,,,
introduction,19,118663,0.0-8.0-0.0,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,img/Red_circle.png,1784.0,calibration,,,,,,,,,,,,,,
introduction,20,120337,0.0-8.0-1.0-0.0,1a8aenx1,,,,,,1669.0,2323,6686dcf1d3c6e9cf6f7922bb,,2323,,calibration,,,,,,,,,,,,,,
introduction,21,120339,0.0-8.0-2.0,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,22,122129,0.0-8.0-0.1,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,img/Red_circle.png,2762.0,calibration,,,,,,,,,,,,,,
introduction,23,123401,0.0-8.0-1.1-0.1,1a8aenx1,,,,,,1269.0,1323,6686dcf1d3c6e9cf6f7922bb,,1323,,calibration,,,,,,,,,,,,,,
introduction,24,123402,0.0-8.0-2.1,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,25,125416,0.0-8.0-0.2,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,1108.0,calibration,,,,,,,,,,,,,,
introduction,26,126401,0.0-8.0-1.2-0.2,1a8aenx1,,,,,,982.0,221,6686dcf1d3c6e9cf6f7922bb,,221,,calibration,,,,,,,,,,,,,,
introduction,27,126402,0.0-8.0-2.2,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,28,127512,0.0-8.0-0.3,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,img/Red_circle.png,2405.0,calibration,,,,,,,,,,,,,,
introduction,29,129080,0.0-8.0-1.3-0.3,1a8aenx1,,,,,,1564.0,212,6686dcf1d3c6e9cf6f7922bb,,212,,calibration,,,,,,,,,,,,,,
introduction,30,129081,0.0-8.0-2.3,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,31,131084,0.0-8.0-0.4,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,1261.0,calibration,,,,,,,,,,,,,,
introduction,32,132394,0.0-8.0-1.4-0.4,1a8aenx1,,,,,,1308.0,1233,6686dcf1d3c6e9cf6f7922bb,,1233,,calibration,,,,,,,,,,,,,,
introduction,33,132395,0.0-8.0-2.4,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,34,133669,0.0-8.0-0.5,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,img/Red_circle.png,3004.0,calibration,,,,,,,,,,,,,,
introduction,35,135168,0.0-8.0-1.5-0.5,1a8aenx1,,,,,,1495.0,1322,6686dcf1d3c6e9cf6f7922bb,,1322,,calibration,,,,,,,,,,,,,,
introduction,36,135168,0.0-8.0-2.5,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,37,137169,0.0-8.0-0.6,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,2953.0,calibration,,,,,,,,,,,,,,
introduction,38,138778,0.0-8.0-1.6-0.6,1a8aenx1,,,,,,1606.0,2232,6686dcf1d3c6e9cf6f7922bb,,2232,,calibration,,,,,,,,,,,,,,
introduction,39,138779,0.0-8.0-2.6,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,40,140786,0.0-8.0-0.7,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,2837.0,calibration,,,,,,,,,,,,,,
introduction,41,142087,0.0-8.0-1.7-0.7,1a8aenx1,,,,,,1297.0,1222,6686dcf1d3c6e9cf6f7922bb,,1222,,calibration,,,,,,,,,,,,,,
introduction,42,142087,0.0-8.0-2.7,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,43,144099,0.0-8.0-0.8,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,2683.0,calibration,,,,,,,,,,,,,,
introduction,44,145456,0.0-8.0-1.8-0.8,1a8aenx1,,,,,,1354.0,1131,6686dcf1d3c6e9cf6f7922bb,,1131,,calibration,,,,,,,,,,,,,,
introduction,45,145457,0.0-8.0-2.8,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,46,147468,0.0-8.0-0.9,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,3183.0,calibration,,,,,,,,,,,,,,
introduction,47,148827,0.0-8.0-1.9-0.9,1a8aenx1,,,,,,1356.0,3323,6686dcf1d3c6e9cf6f7922bb,,3323,,calibration,,,,,,,,,,,,,,
introduction,48,148828,0.0-8.0-2.9,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,49,150838,0.0-8.0-0.10,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,1881.0,calibration,,,,,,,,,,,,,,
introduction,50,151702,0.0-8.0-1.10-0.10,1a8aenx1,,,,,,861.0,12,6686dcf1d3c6e9cf6f7922bb,,12,,calibration,,,,,,,,,,,,,,
introduction,51,151703,0.0-8.0-2.10,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,52,153586,0.0-8.0-0.11,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,img/Red_circle.png,3138.0,calibration,,,,,,,,,,,,,,
introduction,53,155362,0.0-8.0-1.11-0.11,1a8aenx1,,,,,,1774.0,2312,6686dcf1d3c6e9cf6f7922bb,,2312,,calibration,,,,,,,,,,,,,,
introduction,54,155363,0.0-8.0-2.11,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,55,157377,0.0-8.0-0.12,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,2922.0,calibration,,,,,,,,,,,,,,
introduction,56,159221,0.0-8.0-1.12-0.12,1a8aenx1,,,,,,1842.0,3232,6686dcf1d3c6e9cf6f7922bb,,3232,,calibration,,,,,,,,,,,,,,
introduction,57,159222,0.0-8.0-2.12,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,58,161229,0.0-8.0-0.13,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,2742.0,calibration,,,,,,,,,,,,,,
introduction,59,162538,0.0-8.0-1.13-0.13,1a8aenx1,,,,,,1306.0,1123,6686dcf1d3c6e9cf6f7922bb,,1123,,calibration,,,,,,,,,,,,,,
introduction,60,162539,0.0-8.0-2.13,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,61,164549,0.0-8.0-0.14,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,2045.0,calibration,,,,,,,,,,,,,,
introduction,62,165646,0.0-8.0-1.14-0.14,1a8aenx1,,,,,,1093.0,32,6686dcf1d3c6e9cf6f7922bb,,32,,calibration,,,,,,,,,,,,,,
introduction,63,165647,0.0-8.0-2.14,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,64,167658,0.0-8.0-0.15,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,2894.0,calibration,,,,,,,,,,,,,,
introduction,65,169237,0.0-8.0-1.15-0.15,1a8aenx1,,,,,,1576.0,3113,6686dcf1d3c6e9cf6f7922bb,,3113,,calibration,,,,,,,,,,,,,,
introduction,66,169238,0.0-8.0-2.15,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,67,171246,0.0-8.0-0.16,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,3433.0,calibration,,,,,,,,,,,,,,
introduction,68,172817,0.0-8.0-1.16-0.16,1a8aenx1,,,,,,1569.0,1213,6686dcf1d3c6e9cf6f7922bb,,1213,,calibration,,,,,,,,,,,,,,
introduction,69,172818,0.0-8.0-2.16,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,70,174831,0.0-8.0-0.17,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,3324.0,calibration,,,,,,,,,,,,,,
introduction,71,176923,0.0-8.0-1.17-0.17,1a8aenx1,,,,,,2090.0,2212,6686dcf1d3c6e9cf6f7922bb,,2212,,calibration,,,,,,,,,,,,,,
introduction,72,176924,0.0-8.0-2.17,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,73,178926,0.0-8.0-0.18,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,1905.0,calibration,,,,,,,,,,,,,,
introduction,74,180601,0.0-8.0-1.18-0.18,1a8aenx1,,,,,,1671.0,2131,6686dcf1d3c6e9cf6f7922bb,,2131,,calibration,,,,,,,,,,,,,,
introduction,75,180601,0.0-8.0-2.18,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,76,182521,0.0-8.0-0.19,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,img/Red_circle.png,2040.0,calibration,,,,,,,,,,,,,,
introduction,77,183778,0.0-8.0-1.19-0.19,1a8aenx1,,,,,,1254.0,1111,6686dcf1d3c6e9cf6f7922bb,,1111,,calibration,,,,,,,,,,,,,,
introduction,78,183779,0.0-8.0-2.19,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
introduction,79,185785,0.0-8.0-0.20,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,<p>CAREFUL. That was too slow.</p>,2486.0,calibration,,,,,,,,,,,,,,
introduction,80,186920,0.0-8.0-1.20-0.20,1a8aenx1,,,,,,1132.0,23,6686dcf1d3c6e9cf6f7922bb,,23,,calibration,,,,,,,,,,,,,,
introduction,81,186921,0.0-8.0-2.20,1a8aenx1,,,,,,,,6686dcf1d3c6e9cf6f7922bb,,,,,,,,,,,,,,,,,,
