trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6698,0.0-2.0,8lw39y6b,,,,,,3425.0,66946e3054a30a2bf5b1be40,66946e3054a30a2bf5b1be40,,,,,,,,,,,,,,,,,,
introduction,3,8867,0.0-3.0,8lw39y6b,,,,,,2169.0,66946e3054a30a2bf5b1be40,66946e3054a30a2bf5b1be40,,,,,,,,,,,,,,,,,,
introduction,4,879503,0.0-4.0-0.0,8lw39y6b,,,,,,870635.0,,66946e3054a30a2bf5b1be40,"[{""page_index"":0,""viewing_time"":6600},{""page_index"":1,""viewing_time"":863329},{""page_index"":2,""viewing_time"":707}]",,,,,,,,,,,,,,,,,
introduction,5,880856,0.0-5.0-0.0,8lw39y6b,,,,,,1353.0,1,66946e3054a30a2bf5b1be40,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,881270,0.0-5.0-0.1,8lw39y6b,,,,,,414.0,2,66946e3054a30a2bf5b1be40,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,882191,0.0-5.0-0.2,8lw39y6b,,,,,,921.0,1,66946e3054a30a2bf5b1be40,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,882956,0.0-5.0-0.3,8lw39y6b,,,,,,765.0,3,66946e3054a30a2bf5b1be40,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,883997,0.0-5.0-0.4,8lw39y6b,,,,,,1041.0,2,66946e3054a30a2bf5b1be40,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,884451,0.0-5.0-0.5,8lw39y6b,,,,,,454.0,3,66946e3054a30a2bf5b1be40,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,884992,0.0-5.0-0.6,8lw39y6b,,,,,,540.0,1,66946e3054a30a2bf5b1be40,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,885645,0.0-5.0-0.7,8lw39y6b,,,,,,653.0,2,66946e3054a30a2bf5b1be40,,Press: 2,,,,,,,,,,,,,,,,
