trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8067,0.0-2.0,sqhdxwa3,,,,,,5055.0,66a3abea74c055f942b59cd7,66a3abea74c055f942b59cd7,,,,,,,,,,,,,,,,,,
introduction,3,12800,0.0-3.0,sqhdxwa3,,,,,,4730.0,66a3abea74c055f942b59cd7,66a3abea74c055f942b59cd7,,,,,,,,,,,,,,,,,,
introduction,4,21570,0.0-4.0-0.0,sqhdxwa3,,,,,,8769.0,,66a3abea74c055f942b59cd7,"[{""page_index"":0,""viewing_time"":1818},{""page_index"":1,""viewing_time"":5843},{""page_index"":2,""viewing_time"":1107}]",,,,,,,,,,,,,,,,,
introduction,5,23008,0.0-5.0-0.0,sqhdxwa3,,,,,,1435.0,1,66a3abea74c055f942b59cd7,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,23918,0.0-5.0-0.1,sqhdxwa3,,,,,,909.0,2,66a3abea74c055f942b59cd7,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,24882,0.0-5.0-0.2,sqhdxwa3,,,,,,964.0,1,66a3abea74c055f942b59cd7,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,25954,0.0-5.0-0.3,sqhdxwa3,,,,,,1070.0,3,66a3abea74c055f942b59cd7,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,31277,0.0-5.0-0.4,sqhdxwa3,,,,,,5323.0,2,66a3abea74c055f942b59cd7,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,32540,0.0-5.0-0.5,sqhdxwa3,,,,,,1262.0,3,66a3abea74c055f942b59cd7,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,33452,0.0-5.0-0.6,sqhdxwa3,,,,,,911.0,1,66a3abea74c055f942b59cd7,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,34085,0.0-5.0-0.7,sqhdxwa3,,,,,,633.0,2,66a3abea74c055f942b59cd7,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,34746,0.0-5.0-0.8,sqhdxwa3,,,,,,660.0,3,66a3abea74c055f942b59cd7,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,35350,0.0-5.0-0.9,sqhdxwa3,,,,,,603.0,2,66a3abea74c055f942b59cd7,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,36136,0.0-5.0-0.10,sqhdxwa3,,,,,,786.0,1,66a3abea74c055f942b59cd7,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,36894,0.0-5.0-0.11,sqhdxwa3,,,,,,757.0,3,66a3abea74c055f942b59cd7,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,63973,0.0-6.0-0.0,sqhdxwa3,,,,,,27079.0,,66a3abea74c055f942b59cd7,"[{""page_index"":0,""viewing_time"":1349},{""page_index"":1,""viewing_time"":8976},{""page_index"":2,""viewing_time"":15193},{""page_index"":3,""viewing_time"":1561}]",,,,,,,,,,,,,,,,,
introduction,19,87693,0.0-8.0-0.0,sqhdxwa3,,,,,,,,66a3abea74c055f942b59cd7,,img/Red_circle.png,1044.0,calibration,,,,,,,,,,,,,,
introduction,20,90722,0.0-8.0-1.0-0.0,sqhdxwa3,,,,,,3023.0,1214,66a3abea74c055f942b59cd7,,1213,,calibration,,,,,,,,,,,,,,
introduction,21,93635,0.0-8.0-1.1-0.1,sqhdxwa3,,,,,,2909.0,12113,66a3abea74c055f942b59cd7,,1213,,calibration,,,,,,,,,,,,,,
introduction,22,95323,0.0-8.0-1.2-0.2,sqhdxwa3,,,,,,1685.0,1213,66a3abea74c055f942b59cd7,,1213,,calibration,,,,,,,,,,,,,,
introduction,23,97329,0.0-8.0-2.0,sqhdxwa3,,,,,,,,66a3abea74c055f942b59cd7,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,24,98383,0.0-8.0-0.1,sqhdxwa3,,,,,,,,66a3abea74c055f942b59cd7,,img/Red_circle.png,3325.0,calibration,,,,,,,,,,,,,,
introduction,25,100261,0.0-8.0-1.3-0.3,sqhdxwa3,,,,,,1875.0,2212,66a3abea74c055f942b59cd7,,2212,,calibration,,,,,,,,,,,,,,
introduction,26,100262,0.0-8.0-2.1,sqhdxwa3,,,,,,,,66a3abea74c055f942b59cd7,,,,,,,,,,,,,,,,,,
introduction,27,102277,0.0-8.0-0.2,sqhdxwa3,,,,,,,,66a3abea74c055f942b59cd7,,<p>CAREFUL. That was too slow.</p>,3029.0,calibration,,,,,,,,,,,,,,
introduction,28,104367,0.0-8.0-1.4-0.4,sqhdxwa3,,,,,,2086.0,332,66a3abea74c055f942b59cd7,,332,,calibration,,,,,,,,,,,,,,
