trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8974,0.0-2.0,emz85uhr,,,,,,6017.0,66a7f83a3e18dd8dc65b900a,66a7f83a3e18dd8dc65b900a,,,,,,,,,,,,,,,,,,
introduction,3,12958,0.0-3.0,emz85uhr,,,,,,3982.0,66a7f83a3e18dd8dc65b900a,66a7f83a3e18dd8dc65b900a,,,,,,,,,,,,,,,,,,
introduction,4,72469,0.0-4.0-0.0,emz85uhr,,,,,,59511.0,,66a7f83a3e18dd8dc65b900a,"[{""page_index"":0,""viewing_time"":1455},{""page_index"":1,""viewing_time"":56742},{""page_index"":2,""viewing_time"":1314}]",,,,,,,,,,,,,,,,,
introduction,5,73573,0.0-5.0-0.0,emz85uhr,,,,,,1103.0,1,66a7f83a3e18dd8dc65b900a,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,74368,0.0-5.0-0.1,emz85uhr,,,,,,794.0,2,66a7f83a3e18dd8dc65b900a,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,75115,0.0-5.0-0.2,emz85uhr,,,,,,746.0,1,66a7f83a3e18dd8dc65b900a,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,75857,0.0-5.0-0.3,emz85uhr,,,,,,741.0,3,66a7f83a3e18dd8dc65b900a,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,76531,0.0-5.0-0.4,emz85uhr,,,,,,673.0,2,66a7f83a3e18dd8dc65b900a,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,77285,0.0-5.0-0.5,emz85uhr,,,,,,754.0,3,66a7f83a3e18dd8dc65b900a,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,77927,0.0-5.0-0.6,emz85uhr,,,,,,641.0,1,66a7f83a3e18dd8dc65b900a,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,78475,0.0-5.0-0.7,emz85uhr,,,,,,547.0,2,66a7f83a3e18dd8dc65b900a,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,79092,0.0-5.0-0.8,emz85uhr,,,,,,616.0,3,66a7f83a3e18dd8dc65b900a,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,79734,0.0-5.0-0.9,emz85uhr,,,,,,642.0,2,66a7f83a3e18dd8dc65b900a,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,80285,0.0-5.0-0.10,emz85uhr,,,,,,550.0,1,66a7f83a3e18dd8dc65b900a,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,80910,0.0-5.0-0.11,emz85uhr,,,,,,624.0,3,66a7f83a3e18dd8dc65b900a,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,108139,0.0-6.0-0.0,emz85uhr,,,,,,27229.0,,66a7f83a3e18dd8dc65b900a,"[{""page_index"":0,""viewing_time"":2025},{""page_index"":1,""viewing_time"":2715},{""page_index"":2,""viewing_time"":21034},{""page_index"":3,""viewing_time"":1456}]",,,,,,,,,,,,,,,,,
introduction,19,132319,0.0-8.0-0.0,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,img/Red_circle.png,2730.0,calibration,,,,,,,,,,,,,,
introduction,20,136304,0.0-8.0-1.0-0.0,emz85uhr,,,,,,3981.0,1331,66a7f83a3e18dd8dc65b900a,,1331,,calibration,,,,,,,,,,,,,,
introduction,21,138307,0.0-8.0-2.0,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,141042,0.0-8.0-0.1,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,img/Red_circle.png,1535.0,calibration,,,,,,,,,,,,,,
introduction,23,142973,0.0-8.0-1.1-0.1,emz85uhr,,,,,,1928.0,2133,66a7f83a3e18dd8dc65b900a,,2133,,calibration,,,,,,,,,,,,,,
introduction,24,142974,0.0-8.0-2.1,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,,,,,,,,,,,,,,,,,
introduction,25,144512,0.0-8.0-0.2,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,img/Red_circle.png,1653.0,calibration,,,,,,,,,,,,,,
introduction,26,148703,0.0-8.0-1.2-0.2,emz85uhr,,,,,,4189.0,3313,66a7f83a3e18dd8dc65b900a,,3323,,calibration,,,,,,,,,,,,,,
introduction,27,150936,0.0-8.0-1.3-0.3,emz85uhr,,,,,,2230.0,3323,66a7f83a3e18dd8dc65b900a,,3323,,calibration,,,,,,,,,,,,,,
introduction,28,152937,0.0-8.0-2.2,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,29,154594,0.0-8.0-0.3,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,img/Red_circle.png,1057.0,calibration,,,,,,,,,,,,,,
introduction,30,156210,0.0-8.0-1.4-0.4,emz85uhr,,,,,,1612.0,2233,66a7f83a3e18dd8dc65b900a,,2233,,calibration,,,,,,,,,,,,,,
introduction,31,156211,0.0-8.0-2.3,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,,,,,,,,,,,,,,,,,
introduction,32,157270,0.0-8.0-0.4,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,img/Red_circle.png,1369.0,calibration,,,,,,,,,,,,,,
introduction,33,159007,0.0-8.0-1.5-0.5,emz85uhr,,,,,,1733.0,33,66a7f83a3e18dd8dc65b900a,,33,,calibration,,,,,,,,,,,,,,
introduction,34,159008,0.0-8.0-2.4,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,,,,,,,,,,,,,,,,,
introduction,35,160380,0.0-8.0-0.5,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,img/Red_circle.png,2486.0,calibration,,,,,,,,,,,,,,
introduction,36,162328,0.0-8.0-1.6-0.6,emz85uhr,,,,,,1945.0,2212,66a7f83a3e18dd8dc65b900a,,2212,,calibration,,,,,,,,,,,,,,
introduction,37,162329,0.0-8.0-2.5,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,,,,,,,,,,,,,,,,,
introduction,38,164331,0.0-8.0-0.6,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,<p>CAREFUL. That was too slow.</p>,2932.0,calibration,,,,,,,,,,,,,,
introduction,39,165574,0.0-8.0-1.7-0.7,emz85uhr,,,,,,1240.0,223,66a7f83a3e18dd8dc65b900a,,223,,calibration,,,,,,,,,,,,,,
introduction,40,165574,0.0-8.0-2.6,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,,,,,,,,,,,,,,,,,
introduction,41,167576,0.0-8.0-0.7,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,<p>CAREFUL. That was too slow.</p>,1189.0,calibration,,,,,,,,,,,,,,
introduction,42,169263,0.0-8.0-1.8-0.8,emz85uhr,,,,,,1685.0,3233,66a7f83a3e18dd8dc65b900a,,3233,,calibration,,,,,,,,,,,,,,
introduction,43,169264,0.0-8.0-2.7,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,,,,,,,,,,,,,,,,,
introduction,44,170456,0.0-8.0-0.8,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,img/Red_circle.png,2544.0,calibration,,,,,,,,,,,,,,
introduction,45,172055,0.0-8.0-1.9-0.9,emz85uhr,,,,,,1595.0,1121,66a7f83a3e18dd8dc65b900a,,1121,,calibration,,,,,,,,,,,,,,
introduction,46,172056,0.0-8.0-2.8,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,,,,,,,,,,,,,,,,,
introduction,47,174058,0.0-8.0-0.9,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,<p>CAREFUL. That was too slow.</p>,2437.0,calibration,,,,,,,,,,,,,,
introduction,48,175288,0.0-8.0-1.10-0.10,emz85uhr,,,,,,1227.0,123,66a7f83a3e18dd8dc65b900a,,123,,calibration,,,,,,,,,,,,,,
introduction,49,175288,0.0-8.0-2.9,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,,,,,,,,,,,,,,,,,
introduction,50,177289,0.0-8.0-0.10,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,<p>CAREFUL. That was too slow.</p>,2564.0,calibration,,,,,,,,,,,,,,
introduction,51,178992,0.0-8.0-1.11-0.11,emz85uhr,,,,,,1700.0,213,66a7f83a3e18dd8dc65b900a,,213,,calibration,,,,,,,,,,,,,,
introduction,52,178993,0.0-8.0-2.10,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,,,,,,,,,,,,,,,,,
introduction,53,180995,0.0-8.0-0.11,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,<p>CAREFUL. That was too slow.</p>,2288.0,calibration,,,,,,,,,,,,,,
introduction,54,183014,0.0-8.0-1.12-0.12,emz85uhr,,,,,,2015.0,3113,66a7f83a3e18dd8dc65b900a,,3113,,calibration,,,,,,,,,,,,,,
introduction,55,183015,0.0-8.0-2.11,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,,,,,,,,,,,,,,,,,
introduction,56,185016,0.0-8.0-0.12,emz85uhr,,,,,,,,66a7f83a3e18dd8dc65b900a,,<p>CAREFUL. That was too slow.</p>,1450.0,calibration,,,,,,,,,,,,,,
