trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7464,0.0-2.0,7965bvyu,,,,,,4994.0,66aa83dd5d34973838c99ad3,66aa83dd5d34973838c99ad3,,,,,,,,,,,,,,,,,,
introduction,3,12366,0.0-3.0,7965bvyu,,,,,,4901.0,66aa83dd5d34973838c99ad3,66aa83dd5d34973838c99ad3,,,,,,,,,,,,,,,,,,
introduction,4,30552,0.0-4.0-0.0,7965bvyu,,,,,,18185.0,,66aa83dd5d34973838c99ad3,"[{""page_index"":0,""viewing_time"":1965},{""page_index"":1,""viewing_time"":14348},{""page_index"":2,""viewing_time"":1872}]",,,,,,,,,,,,,,,,,
introduction,5,31932,0.0-5.0-0.0,7965bvyu,,,,,,1379.0,1,66aa83dd5d34973838c99ad3,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,32636,0.0-5.0-0.1,7965bvyu,,,,,,703.0,2,66aa83dd5d34973838c99ad3,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,33308,0.0-5.0-0.2,7965bvyu,,,,,,672.0,1,66aa83dd5d34973838c99ad3,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,33899,0.0-5.0-0.3,7965bvyu,,,,,,591.0,3,66aa83dd5d34973838c99ad3,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,34604,0.0-5.0-0.4,7965bvyu,,,,,,704.0,2,66aa83dd5d34973838c99ad3,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,35211,0.0-5.0-0.5,7965bvyu,,,,,,607.0,3,66aa83dd5d34973838c99ad3,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,35772,0.0-5.0-0.6,7965bvyu,,,,,,560.0,1,66aa83dd5d34973838c99ad3,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,36348,0.0-5.0-0.7,7965bvyu,,,,,,576.0,2,66aa83dd5d34973838c99ad3,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,36908,0.0-5.0-0.8,7965bvyu,,,,,,560.0,3,66aa83dd5d34973838c99ad3,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,37788,0.0-5.0-0.9,7965bvyu,,,,,,879.0,2,66aa83dd5d34973838c99ad3,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,38316,0.0-5.0-0.10,7965bvyu,,,,,,527.0,1,66aa83dd5d34973838c99ad3,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,38892,0.0-5.0-0.11,7965bvyu,,,,,,576.0,3,66aa83dd5d34973838c99ad3,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,68603,0.0-6.0-0.0,7965bvyu,,,,,,29711.0,,66aa83dd5d34973838c99ad3,"[{""page_index"":0,""viewing_time"":2025},{""page_index"":1,""viewing_time"":3022},{""page_index"":2,""viewing_time"":23044},{""page_index"":3,""viewing_time"":1620}]",,,,,,,,,,,,,,,,,
introduction,19,96909,0.0-8.0-0.0,7965bvyu,,,,,,,,66aa83dd5d34973838c99ad3,,img/Red_circle.png,3007.0,calibration,,,,,,,,,,,,,,
introduction,20,101533,0.0-8.0-1.0-0.0,7965bvyu,,,,,,4622.0,3312,66aa83dd5d34973838c99ad3,,3312,,calibration,,,,,,,,,,,,,,
introduction,21,103537,0.0-8.0-2.0,7965bvyu,,,,,,,,66aa83dd5d34973838c99ad3,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,106557,0.0-8.0-0.1,7965bvyu,,,,,,,,66aa83dd5d34973838c99ad3,,img/Red_circle.png,3474.0,calibration,,,,,,,,,,,,,,
