trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,14770,0.0-2.0,w5wsu7ag,,,,,,9286.0,66abd5682ffcea0d351eba52,66abd5682ffcea0d351eba52,,,,,,,,,,,,,,,,,,
introduction,3,18203,0.0-3.0,w5wsu7ag,,,,,,3431.0,66abd5682ffcea0d351eba52,66abd5682ffcea0d351eba52,,,,,,,,,,,,,,,,,,
introduction,4,28655,0.0-4.0-0.0,w5wsu7ag,,,,,,10451.0,,66abd5682ffcea0d351eba52,"[{""page_index"":0,""viewing_time"":1213},{""page_index"":1,""viewing_time"":7986},{""page_index"":2,""viewing_time"":1252}]",,,,,,,,,,,,,,,,,
introduction,5,30684,0.0-5.0-0.0,w5wsu7ag,,,,,,2028.0,1,66abd5682ffcea0d351eba52,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,32312,0.0-5.0-0.1,w5wsu7ag,,,,,,1628.0,2,66abd5682ffcea0d351eba52,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,33122,0.0-5.0-0.2,w5wsu7ag,,,,,,809.0,1,66abd5682ffcea0d351eba52,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,33857,0.0-5.0-0.3,w5wsu7ag,,,,,,735.0,3,66abd5682ffcea0d351eba52,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,34597,0.0-5.0-0.4,w5wsu7ag,,,,,,740.0,2,66abd5682ffcea0d351eba52,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,35480,0.0-5.0-0.5,w5wsu7ag,,,,,,883.0,3,66abd5682ffcea0d351eba52,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,36221,0.0-5.0-0.6,w5wsu7ag,,,,,,740.0,1,66abd5682ffcea0d351eba52,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,36914,0.0-5.0-0.7,w5wsu7ag,,,,,,694.0,2,66abd5682ffcea0d351eba52,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,37651,0.0-5.0-0.8,w5wsu7ag,,,,,,737.0,3,66abd5682ffcea0d351eba52,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,38284,0.0-5.0-0.9,w5wsu7ag,,,,,,633.0,2,66abd5682ffcea0d351eba52,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,38858,0.0-5.0-0.10,w5wsu7ag,,,,,,574.0,1,66abd5682ffcea0d351eba52,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,39520,0.0-5.0-0.11,w5wsu7ag,,,,,,662.0,3,66abd5682ffcea0d351eba52,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,64447,0.0-6.0-0.0,w5wsu7ag,,,,,,24926.0,,66abd5682ffcea0d351eba52,"[{""page_index"":0,""viewing_time"":1438},{""page_index"":1,""viewing_time"":5311},{""page_index"":2,""viewing_time"":16323},{""page_index"":3,""viewing_time"":1854}]",,,,,,,,,,,,,,,,,
introduction,19,105478,0.0-8.0-0.0,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,img/Red_circle.png,2488.0,calibration,,,,,,,,,,,,,,
introduction,20,106959,0.0-8.0-1.0-0.0,w5wsu7ag,,,,,,1480.0,11,66abd5682ffcea0d351eba52,,11,,calibration,,,,,,,,,,,,,,
introduction,21,106961,0.0-8.0-2.0,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,,,,,,,,,,,,,,,,,
introduction,22,108976,0.0-8.0-0.1,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,<p>CAREFUL. That was too slow.</p>,2252.0,calibration,,,,,,,,,,,,,,
introduction,23,110787,0.0-8.0-1.1-0.1,w5wsu7ag,,,,,,1810.0,3323,66abd5682ffcea0d351eba52,,3323,,calibration,,,,,,,,,,,,,,
introduction,24,110788,0.0-8.0-2.1,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,,,,,,,,,,,,,,,,,
introduction,25,112797,0.0-8.0-0.2,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,<p>CAREFUL. That was too slow.</p>,2925.0,calibration,,,,,,,,,,,,,,
introduction,26,115153,0.0-8.0-1.2-0.2,w5wsu7ag,,,,,,2355.0,2311,66abd5682ffcea0d351eba52,,2311,,calibration,,,,,,,,,,,,,,
introduction,27,115154,0.0-8.0-2.2,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,,,,,,,,,,,,,,,,,
introduction,28,117165,0.0-8.0-0.3,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,<p>CAREFUL. That was too slow.</p>,1435.0,calibration,,,,,,,,,,,,,,
introduction,29,118843,0.0-8.0-1.3-0.3,w5wsu7ag,,,,,,1673.0,3333,66abd5682ffcea0d351eba52,,3333,,calibration,,,,,,,,,,,,,,
introduction,30,118844,0.0-8.0-2.3,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,,,,,,,,,,,,,,,,,
introduction,31,120286,0.0-8.0-0.4,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,img/Red_circle.png,2471.0,calibration,,,,,,,,,,,,,,
introduction,32,121885,0.0-8.0-1.4-0.4,w5wsu7ag,,,,,,1597.0,232,66abd5682ffcea0d351eba52,,232,,calibration,,,,,,,,,,,,,,
introduction,33,121885,0.0-8.0-2.4,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,,,,,,,,,,,,,,,,,
introduction,34,123889,0.0-8.0-0.5,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,<p>CAREFUL. That was too slow.</p>,2904.0,calibration,,,,,,,,,,,,,,
introduction,35,126160,0.0-8.0-1.5-0.5,w5wsu7ag,,,,,,2267.0,3232,66abd5682ffcea0d351eba52,,3232,,calibration,,,,,,,,,,,,,,
introduction,36,126160,0.0-8.0-2.5,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,,,,,,,,,,,,,,,,,
introduction,37,128164,0.0-8.0-0.6,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,<p>CAREFUL. That was too slow.</p>,1635.0,calibration,,,,,,,,,,,,,,
introduction,38,130053,0.0-8.0-1.6-0.6,w5wsu7ag,,,,,,1888.0,1321,66abd5682ffcea0d351eba52,,1321,,calibration,,,,,,,,,,,,,,
introduction,39,130054,0.0-8.0-2.6,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,,,,,,,,,,,,,,,,,
introduction,40,131692,0.0-8.0-0.7,w5wsu7ag,,,,,,,,66abd5682ffcea0d351eba52,,img/Red_circle.png,1986.0,calibration,,,,,,,,,,,,,,
introduction,41,133435,0.0-8.0-1.7-0.7,w5wsu7ag,,,,,,1739.0,2212,66abd5682ffcea0d351eba52,,2212,,calibration,,,,,,,,,,,,,,
