trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,7545,0.0-2.0,vv9kswzw,,,,,,4447.0,66abf0c472f051b5e40cfbfd,66abf0c472f051b5e40cfbfd,,,,,,,,,,,,,,,,,,
introduction,3,12520,0.0-3.0,vv9kswzw,,,,,,4974.0,66abf0c472f051b5e40cfbfd,66abf0c472f051b5e40cfbfd,,,,,,,,,,,,,,,,,,
introduction,4,26416,0.0-4.0-0.0,vv9kswzw,,,,,,13895.0,,66abf0c472f051b5e40cfbfd,"[{""page_index"":0,""viewing_time"":1623},{""page_index"":1,""viewing_time"":8280},{""page_index"":2,""viewing_time"":3992}]",,,,,,,,,,,,,,,,,
introduction,5,27705,0.0-5.0-0.0,vv9kswzw,,,,,,1288.0,1,66abf0c472f051b5e40cfbfd,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,28440,0.0-5.0-0.1,vv9kswzw,,,,,,735.0,2,66abf0c472f051b5e40cfbfd,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,29288,0.0-5.0-0.2,vv9kswzw,,,,,,848.0,1,66abf0c472f051b5e40cfbfd,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,29784,0.0-5.0-0.3,vv9kswzw,,,,,,496.0,3,66abf0c472f051b5e40cfbfd,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,30328,0.0-5.0-0.4,vv9kswzw,,,,,,544.0,2,66abf0c472f051b5e40cfbfd,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,30984,0.0-5.0-0.5,vv9kswzw,,,,,,656.0,3,66abf0c472f051b5e40cfbfd,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,31544,0.0-5.0-0.6,vv9kswzw,,,,,,560.0,1,66abf0c472f051b5e40cfbfd,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,32072,0.0-5.0-0.7,vv9kswzw,,,,,,528.0,2,66abf0c472f051b5e40cfbfd,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,32520,0.0-5.0-0.8,vv9kswzw,,,,,,448.0,3,66abf0c472f051b5e40cfbfd,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,33096,0.0-5.0-0.9,vv9kswzw,,,,,,575.0,2,66abf0c472f051b5e40cfbfd,,Press: 2,,,,,,,,,,,,,,,,
