trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,29132,0.0-2.0,ak914gnz,,,,,,12033.0,66ac145b55e2055063cd4079,66ac145b55e2055063cd4079,,,,,,,,,,,,,,,,,,
introduction,3,32287,0.0-3.0,ak914gnz,,,,,,3152.0,66ac145b55e2055063cd4079,66ac145b55e2055063cd4079,,,,,,,,,,,,,,,,,,
introduction,4,608163,0.0-4.0-0.0,ak914gnz,,,,,,575875.0,,66ac145b55e2055063cd4079,"[{""page_index"":0,""viewing_time"":213700},{""page_index"":1,""viewing_time"":360926},{""page_index"":2,""viewing_time"":1249}]",,,,,,,,,,,,,,,,,
introduction,5,609354,0.0-5.0-0.0,ak914gnz,,,,,,1189.0,1,66ac145b55e2055063cd4079,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,609879,0.0-5.0-0.1,ak914gnz,,,,,,525.0,2,66ac145b55e2055063cd4079,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,610690,0.0-5.0-0.2,ak914gnz,,,,,,810.0,1,66ac145b55e2055063cd4079,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,611886,0.0-5.0-0.3,ak914gnz,,,,,,1196.0,3,66ac145b55e2055063cd4079,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,612478,0.0-5.0-0.4,ak914gnz,,,,,,591.0,2,66ac145b55e2055063cd4079,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,613022,0.0-5.0-0.5,ak914gnz,,,,,,544.0,3,66ac145b55e2055063cd4079,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,613482,0.0-5.0-0.6,ak914gnz,,,,,,459.0,1,66ac145b55e2055063cd4079,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,614070,0.0-5.0-0.7,ak914gnz,,,,,,588.0,2,66ac145b55e2055063cd4079,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,614529,0.0-5.0-0.8,ak914gnz,,,,,,459.0,3,66ac145b55e2055063cd4079,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,615184,0.0-5.0-0.9,ak914gnz,,,,,,654.0,2,66ac145b55e2055063cd4079,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,615714,0.0-5.0-0.10,ak914gnz,,,,,,529.0,1,66ac145b55e2055063cd4079,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,616348,0.0-5.0-0.11,ak914gnz,,,,,,634.0,3,66ac145b55e2055063cd4079,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,639120,0.0-6.0-0.0,ak914gnz,,,,,,22772.0,,66ac145b55e2055063cd4079,"[{""page_index"":0,""viewing_time"":1225},{""page_index"":1,""viewing_time"":2016},{""page_index"":2,""viewing_time"":17896},{""page_index"":3,""viewing_time"":1635}]",,,,,,,,,,,,,,,,,
introduction,19,669859,0.0-8.0-0.0,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,img/Red_circle.png,2399.0,calibration,,,,,,,,,,,,,,
introduction,20,675950,0.0-8.0-1.0-0.0,ak914gnz,,,,,,6087.0,3221,66ac145b55e2055063cd4079,,3221,,calibration,,,,,,,,,,,,,,
introduction,21,677954,0.0-8.0-2.0,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,680361,0.0-8.0-0.1,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,img/Red_circle.png,1705.0,calibration,,,,,,,,,,,,,,
introduction,23,682543,0.0-8.0-1.1-0.1,ak914gnz,,,,,,2179.0,131,66ac145b55e2055063cd4079,,131,,calibration,,,,,,,,,,,,,,
introduction,24,682544,0.0-8.0-2.1,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,,,,,,,,,,,,,,,,,
introduction,25,684266,0.0-8.0-0.2,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,img/Red_circle.png,1268.0,calibration,,,,,,,,,,,,,,
introduction,26,685890,0.0-8.0-1.2-0.2,ak914gnz,,,,,,1621.0,1111,66ac145b55e2055063cd4079,,1111,,calibration,,,,,,,,,,,,,,
introduction,27,685891,0.0-8.0-2.2,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,,,,,,,,,,,,,,,,,
introduction,28,687172,0.0-8.0-0.3,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,img/Red_circle.png,2830.0,calibration,,,,,,,,,,,,,,
introduction,29,689384,0.0-8.0-1.3-0.3,ak914gnz,,,,,,2210.0,323,66ac145b55e2055063cd4079,,323,,calibration,,,,,,,,,,,,,,
introduction,30,689386,0.0-8.0-2.3,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,,,,,,,,,,,,,,,,,
introduction,31,691391,0.0-8.0-0.4,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,<p>CAREFUL. That was too slow.</p>,1480.0,calibration,,,,,,,,,,,,,,
introduction,32,693038,0.0-8.0-1.4-0.4,ak914gnz,,,,,,1644.0,123,66ac145b55e2055063cd4079,,123,,calibration,,,,,,,,,,,,,,
introduction,33,693039,0.0-8.0-2.4,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,,,,,,,,,,,,,,,,,
introduction,34,694532,0.0-8.0-0.5,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,img/Red_circle.png,2908.0,calibration,,,,,,,,,,,,,,
introduction,35,696346,0.0-8.0-1.5-0.5,ak914gnz,,,,,,1812.0,113,66ac145b55e2055063cd4079,,113,,calibration,,,,,,,,,,,,,,
introduction,36,696347,0.0-8.0-2.5,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,,,,,,,,,,,,,,,,,
introduction,37,698359,0.0-8.0-0.6,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,<p>CAREFUL. That was too slow.</p>,3036.0,calibration,,,,,,,,,,,,,,
introduction,38,700892,0.0-8.0-1.6-0.6,ak914gnz,,,,,,2529.0,2332,66ac145b55e2055063cd4079,,2332,,calibration,,,,,,,,,,,,,,
introduction,39,700893,0.0-8.0-2.6,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,,,,,,,,,,,,,,,,,
introduction,40,702906,0.0-8.0-0.7,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,<p>CAREFUL. That was too slow.</p>,1932.0,calibration,,,,,,,,,,,,,,
introduction,41,705468,0.0-8.0-1.7-0.7,ak914gnz,,,,,,2558.0,2331,66ac145b55e2055063cd4079,,2331,,calibration,,,,,,,,,,,,,,
introduction,42,705468,0.0-8.0-2.7,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,,,,,,,,,,,,,,,,,
introduction,43,707410,0.0-8.0-0.8,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,img/Red_circle.png,3463.0,calibration,,,,,,,,,,,,,,
introduction,44,709073,0.0-8.0-1.8-0.8,ak914gnz,,,,,,1661.0,1111,66ac145b55e2055063cd4079,,1111,,calibration,,,,,,,,,,,,,,
introduction,45,709074,0.0-8.0-2.8,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,,,,,,,,,,,,,,,,,
introduction,46,711078,0.0-8.0-0.9,ak914gnz,,,,,,,,66ac145b55e2055063cd4079,,<p>CAREFUL. That was too slow.</p>,1128.0,calibration,,,,,,,,,,,,,,
