trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,100564,0.0-2.0,w54970xf,,,,,,84351.0,66afd624a26f73871dce55fe,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,3,119559,0.0-3.0,w54970xf,,,,,,18992.0,66afd624a26f73871dce55fe,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,4,130518,0.0-4.0-0.0,w54970xf,,,,,,10958.0,,66afd624a26f73871dce55fe,"[{""page_index"":0,""viewing_time"":1465},{""page_index"":1,""viewing_time"":8061},{""page_index"":2,""viewing_time"":1431}]",,,,,,,,,,,,,,,,,
introduction,5,131695,0.0-5.0-0.0,w54970xf,,,,,,1176.0,1,66afd624a26f73871dce55fe,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,132421,0.0-5.0-0.1,w54970xf,,,,,,726.0,2,66afd624a26f73871dce55fe,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,133752,0.0-5.0-0.2,w54970xf,,,,,,1330.0,1,66afd624a26f73871dce55fe,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,134768,0.0-5.0-0.3,w54970xf,,,,,,1015.0,3,66afd624a26f73871dce55fe,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,135534,0.0-5.0-0.4,w54970xf,,,,,,766.0,2,66afd624a26f73871dce55fe,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,136266,0.0-5.0-0.5,w54970xf,,,,,,732.0,3,66afd624a26f73871dce55fe,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,136877,0.0-5.0-0.6,w54970xf,,,,,,610.0,1,66afd624a26f73871dce55fe,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,137958,0.0-5.0-0.7,w54970xf,,,,,,1081.0,2,66afd624a26f73871dce55fe,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,138496,0.0-5.0-0.8,w54970xf,,,,,,537.0,3,66afd624a26f73871dce55fe,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,139124,0.0-5.0-0.9,w54970xf,,,,,,628.0,2,66afd624a26f73871dce55fe,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,139723,0.0-5.0-0.10,w54970xf,,,,,,599.0,1,66afd624a26f73871dce55fe,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,140419,0.0-5.0-0.11,w54970xf,,,,,,696.0,3,66afd624a26f73871dce55fe,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,290254,0.0-6.0-0.0,w54970xf,,,,,,149833.0,,66afd624a26f73871dce55fe,"[{""page_index"":0,""viewing_time"":1455},{""page_index"":1,""viewing_time"":127467},{""page_index"":2,""viewing_time"":19316},{""page_index"":3,""viewing_time"":1594}]",,,,,,,,,,,,,,,,,
introduction,19,313978,0.0-8.0-0.0,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,2511.0,calibration,,,,,,,,,,,,,,
introduction,20,320130,0.0-8.0-1.0-0.0,w54970xf,,,,,,6149.0,3113,66afd624a26f73871dce55fe,,3113,,calibration,,,,,,,,,,,,,,
introduction,21,322139,0.0-8.0-2.0,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,324660,0.0-8.0-0.1,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,1202.0,calibration,,,,,,,,,,,,,,
introduction,23,326943,0.0-8.0-1.1-0.1,w54970xf,,,,,,2280.0,3312,66afd624a26f73871dce55fe,,3312,,calibration,,,,,,,,,,,,,,
introduction,24,326943,0.0-8.0-2.1,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,25,328152,0.0-8.0-0.2,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,1964.0,calibration,,,,,,,,,,,,,,
introduction,26,329601,0.0-8.0-1.2-0.2,w54970xf,,,,,,1446.0,122,66afd624a26f73871dce55fe,,122,,calibration,,,,,,,,,,,,,,
introduction,27,329602,0.0-8.0-2.2,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,28,331569,0.0-8.0-0.3,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,2580.0,calibration,,,,,,,,,,,,,,
introduction,29,333805,0.0-8.0-1.3-0.3,w54970xf,,,,,,2235.0,1323,66afd624a26f73871dce55fe,,1323,,calibration,,,,,,,,,,,,,,
introduction,30,333806,0.0-8.0-2.3,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,31,335819,0.0-8.0-0.4,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,<p>CAREFUL. That was too slow.</p>,1141.0,calibration,,,,,,,,,,,,,,
introduction,32,337273,0.0-8.0-1.4-0.4,w54970xf,,,,,,1451.0,11,66afd624a26f73871dce55fe,,11,,calibration,,,,,,,,,,,,,,
introduction,33,337274,0.0-8.0-2.4,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,34,338422,0.0-8.0-0.5,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,1390.0,calibration,,,,,,,,,,,,,,
introduction,35,340520,0.0-8.0-1.5-0.5,w54970xf,,,,,,2095.0,131,66afd624a26f73871dce55fe,,131,,calibration,,,,,,,,,,,,,,
introduction,36,340521,0.0-8.0-2.5,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,37,341927,0.0-8.0-0.6,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,1223.0,calibration,,,,,,,,,,,,,,
introduction,38,343818,0.0-8.0-1.6-0.6,w54970xf,,,,,,1889.0,2333,66afd624a26f73871dce55fe,,2333,,calibration,,,,,,,,,,,,,,
introduction,39,343819,0.0-8.0-2.6,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,40,345057,0.0-8.0-0.7,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,2083.0,calibration,,,,,,,,,,,,,,
introduction,41,347872,0.0-8.0-1.7-0.7,w54970xf,,,,,,2813.0,1131,66afd624a26f73871dce55fe,,1131,,calibration,,,,,,,,,,,,,,
introduction,42,347873,0.0-8.0-2.7,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,43,349889,0.0-8.0-0.8,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,<p>CAREFUL. That was too slow.</p>,1579.0,calibration,,,,,,,,,,,,,,
introduction,44,352061,0.0-8.0-1.8-0.8,w54970xf,,,,,,2170.0,321,66afd624a26f73871dce55fe,,321,,calibration,,,,,,,,,,,,,,
introduction,45,352062,0.0-8.0-2.8,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,46,353649,0.0-8.0-0.9,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,3269.0,calibration,,,,,,,,,,,,,,
introduction,47,355735,0.0-8.0-1.9-0.9,w54970xf,,,,,,2083.0,3111,66afd624a26f73871dce55fe,,3111,,calibration,,,,,,,,,,,,,,
introduction,48,355736,0.0-8.0-2.9,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,49,357738,0.0-8.0-0.10,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,<p>CAREFUL. That was too slow.</p>,1729.0,calibration,,,,,,,,,,,,,,
introduction,50,361004,0.0-8.0-1.10-0.10,w54970xf,,,,,,3264.0,21,66afd624a26f73871dce55fe,,21,,calibration,,,,,,,,,,,,,,
introduction,51,361005,0.0-8.0-2.10,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,52,362740,0.0-8.0-0.11,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,1916.0,calibration,,,,,,,,,,,,,,
introduction,53,364036,0.0-8.0-1.11-0.11,w54970xf,,,,,,1293.0,111,66afd624a26f73871dce55fe,,111,,calibration,,,,,,,,,,,,,,
introduction,54,364037,0.0-8.0-2.11,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,55,365963,0.0-8.0-0.12,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,2667.0,calibration,,,,,,,,,,,,,,
introduction,56,367337,0.0-8.0-1.12-0.12,w54970xf,,,,,,1372.0,123,66afd624a26f73871dce55fe,,123,,calibration,,,,,,,,,,,,,,
introduction,57,367338,0.0-8.0-2.12,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,58,369346,0.0-8.0-0.13,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,<p>CAREFUL. That was too slow.</p>,2987.0,calibration,,,,,,,,,,,,,,
introduction,59,371219,0.0-8.0-1.13-0.13,w54970xf,,,,,,1871.0,211,66afd624a26f73871dce55fe,,2211,,calibration,,,,,,,,,,,,,,
introduction,60,374043,0.0-8.0-1.14-0.14,w54970xf,,,,,,2821.0,2211,66afd624a26f73871dce55fe,,2211,,calibration,,,,,,,,,,,,,,
introduction,61,376057,0.0-8.0-2.13,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,62,379054,0.0-8.0-0.14,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,2631.0,calibration,,,,,,,,,,,,,,
introduction,63,380530,0.0-8.0-1.15-0.15,w54970xf,,,,,,1473.0,122,66afd624a26f73871dce55fe,,122,,calibration,,,,,,,,,,,,,,
introduction,64,380531,0.0-8.0-2.14,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,65,382540,0.0-8.0-0.15,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,<p>CAREFUL. That was too slow.</p>,1546.0,calibration,,,,,,,,,,,,,,
introduction,66,383681,0.0-8.0-1.16-0.16,w54970xf,,,,,,1139.0,13,66afd624a26f73871dce55fe,,13,,calibration,,,,,,,,,,,,,,
introduction,67,383682,0.0-8.0-2.15,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,68,385233,0.0-8.0-0.16,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,1858.0,calibration,,,,,,,,,,,,,,
introduction,69,387347,0.0-8.0-1.17-0.17,w54970xf,,,,,,2112.0,2312,66afd624a26f73871dce55fe,,2312,,calibration,,,,,,,,,,,,,,
introduction,70,387348,0.0-8.0-2.16,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,71,389217,0.0-8.0-0.17,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,1955.0,calibration,,,,,,,,,,,,,,
introduction,72,391242,0.0-8.0-1.18-0.18,w54970xf,,,,,,2022.0,2112,66afd624a26f73871dce55fe,,2112,,calibration,,,,,,,,,,,,,,
introduction,73,391243,0.0-8.0-2.17,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,74,393203,0.0-8.0-0.18,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,1843.0,calibration,,,,,,,,,,,,,,
introduction,75,395264,0.0-8.0-1.19-0.19,w54970xf,,,,,,2059.0,2131,66afd624a26f73871dce55fe,,2131,,calibration,,,,,,,,,,,,,,
introduction,76,395264,0.0-8.0-2.18,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,,,,,,,,,,,,,,,,,
introduction,77,397121,0.0-8.0-0.19,w54970xf,,,,,,,,66afd624a26f73871dce55fe,,img/Red_circle.png,2349.0,calibration,,,,,,,,,,,,,,
