trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,6737,0.0-2.0,65xffg9d,,,,,,4006.0,66bbf6184fbf9d2d5e955f22,66bbf6184fbf9d2d5e955f22,,,,,,,,,,,,,,,,,,
introduction,3,11226,0.0-3.0,65xffg9d,,,,,,4480.0,66bbf6184fbf9d2d5e955f22,66bbf6184fbf9d2d5e955f22,,,,,,,,,,,,,,,,,,
introduction,4,19264,0.0-4.0-0.0,65xffg9d,,,,,,8036.0,,66bbf6184fbf9d2d5e955f22,"[{""page_index"":0,""viewing_time"":1190},{""page_index"":1,""viewing_time"":5740},{""page_index"":2,""viewing_time"":1106}]",,,,,,,,,,,,,,,,,
introduction,5,20314,0.0-5.0-0.0,65xffg9d,,,,,,1047.0,1,66bbf6184fbf9d2d5e955f22,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,21231,0.0-5.0-0.1,65xffg9d,,,,,,916.0,2,66bbf6184fbf9d2d5e955f22,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,22282,0.0-5.0-0.2,65xffg9d,,,,,,1051.0,1,66bbf6184fbf9d2d5e955f22,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,23186,0.0-5.0-0.3,65xffg9d,,,,,,903.0,3,66bbf6184fbf9d2d5e955f22,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,24103,0.0-5.0-0.4,65xffg9d,,,,,,916.0,2,66bbf6184fbf9d2d5e955f22,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,24973,0.0-5.0-0.5,65xffg9d,,,,,,869.0,3,66bbf6184fbf9d2d5e955f22,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,25796,0.0-5.0-0.6,65xffg9d,,,,,,821.0,1,66bbf6184fbf9d2d5e955f22,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,26605,0.0-5.0-0.7,65xffg9d,,,,,,808.0,2,66bbf6184fbf9d2d5e955f22,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,27818,0.0-5.0-0.8,65xffg9d,,,,,,1212.0,3,66bbf6184fbf9d2d5e955f22,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,28775,0.0-5.0-0.9,65xffg9d,,,,,,955.0,2,66bbf6184fbf9d2d5e955f22,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,29733,0.0-5.0-0.10,65xffg9d,,,,,,957.0,1,66bbf6184fbf9d2d5e955f22,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,30518,0.0-5.0-0.11,65xffg9d,,,,,,784.0,3,66bbf6184fbf9d2d5e955f22,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,66021,0.0-6.0-0.0,65xffg9d,,,,,,35501.0,,66bbf6184fbf9d2d5e955f22,"[{""page_index"":0,""viewing_time"":1319},{""page_index"":1,""viewing_time"":2544},{""page_index"":2,""viewing_time"":30196},{""page_index"":3,""viewing_time"":1442}]",,,,,,,,,,,,,,,,,
introduction,19,91737,0.0-8.0-0.0,65xffg9d,,,,,,,,66bbf6184fbf9d2d5e955f22,,img/Red_circle.png,2150.0,calibration,,,,,,,,,,,,,,
introduction,20,96122,0.0-8.0-1.0-0.0,65xffg9d,,,,,,4372.0,3132,66bbf6184fbf9d2d5e955f22,,3132,,calibration,,,,,,,,,,,,,,
introduction,21,98126,0.0-8.0-2.0,65xffg9d,,,,,,,,66bbf6184fbf9d2d5e955f22,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,100279,0.0-8.0-0.1,65xffg9d,,,,,,,,66bbf6184fbf9d2d5e955f22,,img/Red_circle.png,3342.0,calibration,,,,,,,,,,,,,,
introduction,23,101598,0.0-8.0-1.1-0.1,65xffg9d,,,,,,1310.0,21,66bbf6184fbf9d2d5e955f22,,21,,calibration,,,,,,,,,,,,,,
introduction,24,101600,0.0-8.0-2.1,65xffg9d,,,,,,,,66bbf6184fbf9d2d5e955f22,,,,,,,,,,,,,,,,,,
introduction,25,103602,0.0-8.0-0.2,65xffg9d,,,,,,,,66bbf6184fbf9d2d5e955f22,,<p>CAREFUL. That was too slow.</p>,3213.0,calibration,,,,,,,,,,,,,,
introduction,26,105670,0.0-8.0-1.2-0.2,65xffg9d,,,,,,2058.0,1123,66bbf6184fbf9d2d5e955f22,,1123,,calibration,,,,,,,,,,,,,,
introduction,27,105671,0.0-8.0-2.2,65xffg9d,,,,,,,,66bbf6184fbf9d2d5e955f22,,,,,,,,,,,,,,,,,,
introduction,28,107671,0.0-8.0-0.3,65xffg9d,,,,,,,,66bbf6184fbf9d2d5e955f22,,<p>CAREFUL. That was too slow.</p>,2875.0,calibration,,,,,,,,,,,,,,
introduction,29,111827,0.0-8.0-1.3-0.3,65xffg9d,,,,,,4148.0,331,66bbf6184fbf9d2d5e955f22,,331,,calibration,,,,,,,,,,,,,,
introduction,30,113829,0.0-8.0-2.3,65xffg9d,,,,,,,,66bbf6184fbf9d2d5e955f22,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
