trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,85308,0.0-2.0,eepcshx6,,,,,,52442.0,66c759ddaa2a477714a13d63,66c759ddaa2a477714a13d63,,,,,,,,,,,,,,,,,,
introduction,3,89528,0.0-3.0,eepcshx6,,,,,,4218.0,66c759ddaa2a477714a13d63,66c759ddaa2a477714a13d63,,,,,,,,,,,,,,,,,,
introduction,4,247184,0.0-4.0-0.0,eepcshx6,,,,,,157656.0,,66c759ddaa2a477714a13d63,"[{""page_index"":0,""viewing_time"":146676},{""page_index"":1,""viewing_time"":9520},{""page_index"":2,""viewing_time"":1460}]",,,,,,,,,,,,,,,,,
introduction,5,248467,0.0-5.0-0.0,eepcshx6,,,,,,1282.0,1,66c759ddaa2a477714a13d63,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,248947,0.0-5.0-0.1,eepcshx6,,,,,,480.0,2,66c759ddaa2a477714a13d63,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,250027,0.0-5.0-0.2,eepcshx6,,,,,,1080.0,1,66c759ddaa2a477714a13d63,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,250900,0.0-5.0-0.3,eepcshx6,,,,,,872.0,3,66c759ddaa2a477714a13d63,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,251782,0.0-5.0-0.4,eepcshx6,,,,,,882.0,2,66c759ddaa2a477714a13d63,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,252375,0.0-5.0-0.5,eepcshx6,,,,,,593.0,3,66c759ddaa2a477714a13d63,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,253087,0.0-5.0-0.6,eepcshx6,,,,,,712.0,1,66c759ddaa2a477714a13d63,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,253642,0.0-5.0-0.7,eepcshx6,,,,,,554.0,2,66c759ddaa2a477714a13d63,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,254320,0.0-5.0-0.8,eepcshx6,,,,,,678.0,3,66c759ddaa2a477714a13d63,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,254860,0.0-5.0-0.9,eepcshx6,,,,,,540.0,2,66c759ddaa2a477714a13d63,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,255397,0.0-5.0-0.10,eepcshx6,,,,,,536.0,1,66c759ddaa2a477714a13d63,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,256146,0.0-5.0-0.11,eepcshx6,,,,,,749.0,3,66c759ddaa2a477714a13d63,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,316044,0.0-6.0-0.0,eepcshx6,,,,,,59898.0,,66c759ddaa2a477714a13d63,"[{""page_index"":0,""viewing_time"":1950},{""page_index"":1,""viewing_time"":2144},{""page_index"":2,""viewing_time"":50130},{""page_index"":3,""viewing_time"":5674}]",,,,,,,,,,,,,,,,,
introduction,19,340817,0.0-8.0-0.0,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,img/Red_circle.png,1979.0,calibration,,,,,,,,,,,,,,
introduction,20,343036,0.0-8.0-1.0-0.0,eepcshx6,,,,,,2217.0,21,66c759ddaa2a477714a13d63,,21,,calibration,,,,,,,,,,,,,,
introduction,21,343038,0.0-8.0-2.0,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,,,,,,,,,,,,,,,,,
introduction,22,345021,0.0-8.0-0.1,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,img/Red_circle.png,3169.0,calibration,,,,,,,,,,,,,,
introduction,23,347583,0.0-8.0-1.1-0.1,eepcshx6,,,,,,2560.0,322,66c759ddaa2a477714a13d63,,322,,calibration,,,,,,,,,,,,,,
introduction,24,347584,0.0-8.0-2.1,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,,,,,,,,,,,,,,,,,
introduction,25,349586,0.0-8.0-0.2,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,<p>CAREFUL. That was too slow.</p>,2482.0,calibration,,,,,,,,,,,,,,
introduction,26,354007,0.0-8.0-1.2-0.2,eepcshx6,,,,,,4419.0,1313,66c759ddaa2a477714a13d63,,1313,,calibration,,,,,,,,,,,,,,
introduction,27,356018,0.0-8.0-2.2,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,28,358509,0.0-8.0-0.3,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,img/Red_circle.png,1210.0,calibration,,,,,,,,,,,,,,
introduction,29,361064,0.0-8.0-1.3-0.3,eepcshx6,,,,,,2554.0,2222,66c759ddaa2a477714a13d63,,2222,,calibration,,,,,,,,,,,,,,
introduction,30,361065,0.0-8.0-2.3,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,,,,,,,,,,,,,,,,,
introduction,31,362283,0.0-8.0-0.4,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,img/Red_circle.png,1403.0,calibration,,,,,,,,,,,,,,
introduction,32,366531,0.0-8.0-1.4-0.4,eepcshx6,,,,,,4246.0,2232,66c759ddaa2a477714a13d63,,2232,,calibration,,,,,,,,,,,,,,
introduction,33,368537,0.0-8.0-2.4,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,34,369954,0.0-8.0-0.5,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,img/Red_circle.png,2126.0,calibration,,,,,,,,,,,,,,
introduction,35,372214,0.0-8.0-1.5-0.5,eepcshx6,,,,,,2258.0,333,66c759ddaa2a477714a13d63,,333,,calibration,,,,,,,,,,,,,,
introduction,36,372214,0.0-8.0-2.5,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,,,,,,,,,,,,,,,,,
introduction,37,374229,0.0-8.0-0.6,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,<p>CAREFUL. That was too slow.</p>,1692.0,calibration,,,,,,,,,,,,,,
introduction,38,376812,0.0-8.0-1.6-0.6,eepcshx6,,,,,,2581.0,3121,66c759ddaa2a477714a13d63,,3121,,calibration,,,,,,,,,,,,,,
introduction,39,376813,0.0-8.0-2.6,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,,,,,,,,,,,,,,,,,
introduction,40,378519,0.0-8.0-0.7,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,img/Red_circle.png,1487.0,calibration,,,,,,,,,,,,,,
introduction,41,380720,0.0-8.0-1.7-0.7,eepcshx6,,,,,,2200.0,2123,66c759ddaa2a477714a13d63,,2123,,calibration,,,,,,,,,,,,,,
introduction,42,380720,0.0-8.0-2.7,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,,,,,,,,,,,,,,,,,
introduction,43,382222,0.0-8.0-0.8,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,img/Red_circle.png,1915.0,calibration,,,,,,,,,,,,,,
introduction,44,384555,0.0-8.0-1.8-0.8,eepcshx6,,,,,,2331.0,2333,66c759ddaa2a477714a13d63,,2333,,calibration,,,,,,,,,,,,,,
introduction,45,384556,0.0-8.0-2.8,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,,,,,,,,,,,,,,,,,
introduction,46,386473,0.0-8.0-0.9,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,img/Red_circle.png,1809.0,calibration,,,,,,,,,,,,,,
introduction,47,388772,0.0-8.0-1.9-0.9,eepcshx6,,,,,,2297.0,1331,66c759ddaa2a477714a13d63,,1331,,calibration,,,,,,,,,,,,,,
introduction,48,388773,0.0-8.0-2.9,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,,,,,,,,,,,,,,,,,
introduction,49,390585,0.0-8.0-0.10,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,img/Red_circle.png,1722.0,calibration,,,,,,,,,,,,,,
introduction,50,392310,0.0-8.0-1.10-0.10,eepcshx6,,,,,,1723.0,3333,66c759ddaa2a477714a13d63,,3333,,calibration,,,,,,,,,,,,,,
introduction,51,392310,0.0-8.0-2.10,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,,,,,,,,,,,,,,,,,
introduction,52,394043,0.0-8.0-0.11,eepcshx6,,,,,,,,66c759ddaa2a477714a13d63,,img/Red_circle.png,1105.0,calibration,,,,,,,,,,,,,,
