trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,4590,0.0-2.0,5pjot59m,,,,,,3152.0,66c9f7305f8a64d04cb5344c,66c9f7305f8a64d04cb5344c,,,,,,,,,,,,,,,,,,
introduction,3,7007,0.0-3.0,5pjot59m,,,,,,2411.0,66c9f7305f8a64d04cb5344c,66c9f7305f8a64d04cb5344c,,,,,,,,,,,,,,,,,,
introduction,4,36365,0.0-4.0-0.0,5pjot59m,,,,,,29356.0,,66c9f7305f8a64d04cb5344c,"[{""page_index"":0,""viewing_time"":926},{""page_index"":1,""viewing_time"":27416},{""page_index"":2,""viewing_time"":1013}]",,,,,,,,,,,,,,,,,
introduction,5,37385,0.0-5.0-0.0,5pjot59m,,,,,,1017.0,1,66c9f7305f8a64d04cb5344c,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,38361,0.0-5.0-0.1,5pjot59m,,,,,,974.0,2,66c9f7305f8a64d04cb5344c,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,39201,0.0-5.0-0.2,5pjot59m,,,,,,839.0,1,66c9f7305f8a64d04cb5344c,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,40159,0.0-5.0-0.3,5pjot59m,,,,,,957.0,3,66c9f7305f8a64d04cb5344c,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,40969,0.0-5.0-0.4,5pjot59m,,,,,,809.0,2,66c9f7305f8a64d04cb5344c,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,41871,0.0-5.0-0.5,5pjot59m,,,,,,899.0,3,66c9f7305f8a64d04cb5344c,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,42850,0.0-5.0-0.6,5pjot59m,,,,,,978.0,1,66c9f7305f8a64d04cb5344c,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,43639,0.0-5.0-0.7,5pjot59m,,,,,,788.0,2,66c9f7305f8a64d04cb5344c,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,44497,0.0-5.0-0.8,5pjot59m,,,,,,856.0,3,66c9f7305f8a64d04cb5344c,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,45230,0.0-5.0-0.9,5pjot59m,,,,,,732.0,2,66c9f7305f8a64d04cb5344c,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,45875,0.0-5.0-0.10,5pjot59m,,,,,,644.0,1,66c9f7305f8a64d04cb5344c,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,46897,0.0-5.0-0.11,5pjot59m,,,,,,1021.0,3,66c9f7305f8a64d04cb5344c,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,89035,0.0-6.0-0.0,5pjot59m,,,,,,42138.0,,66c9f7305f8a64d04cb5344c,"[{""page_index"":0,""viewing_time"":10888},{""page_index"":1,""viewing_time"":1852},{""page_index"":2,""viewing_time"":28346},{""page_index"":3,""viewing_time"":1052}]",,,,,,,,,,,,,,,,,
introduction,19,101339,0.0-8.0-0.0,5pjot59m,,,,,,,,66c9f7305f8a64d04cb5344c,,img/Red_circle.png,2691.0,calibration,,,,,,,,,,,,,,
introduction,20,104239,0.0-8.0-1.0-0.0,5pjot59m,,,,,,2936.0,3111,66c9f7305f8a64d04cb5344c,,3111,,calibration,,,,,,,,,,,,,,
introduction,21,104240,0.0-8.0-2.0,5pjot59m,,,,,,,,66c9f7305f8a64d04cb5344c,,,,,,,,,,,,,,,,,,
introduction,22,106242,0.0-8.0-0.1,5pjot59m,,,,,,,,66c9f7305f8a64d04cb5344c,,<p>CAREFUL. That was too slow.</p>,2182.0,calibration,,,,,,,,,,,,,,
introduction,23,107621,0.0-8.0-1.1-0.1,5pjot59m,,,,,,1370.0,33,66c9f7305f8a64d04cb5344c,,33,,calibration,,,,,,,,,,,,,,
introduction,24,107621,0.0-8.0-2.1,5pjot59m,,,,,,,,66c9f7305f8a64d04cb5344c,,,,,,,,,,,,,,,,,,
introduction,25,109623,0.0-8.0-0.2,5pjot59m,,,,,,,,66c9f7305f8a64d04cb5344c,,<p>CAREFUL. That was too slow.</p>,1756.0,calibration,,,,,,,,,,,,,,
introduction,26,111238,0.0-8.0-1.2-0.2,5pjot59m,,,,,,1606.0,322,66c9f7305f8a64d04cb5344c,,322,,calibration,,,,,,,,,,,,,,
introduction,27,111238,0.0-8.0-2.2,5pjot59m,,,,,,,,66c9f7305f8a64d04cb5344c,,,,,,,,,,,,,,,,,,
introduction,28,112996,0.0-8.0-0.3,5pjot59m,,,,,,,,66c9f7305f8a64d04cb5344c,,img/Red_circle.png,2144.0,calibration,,,,,,,,,,,,,,
