trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,33079,0.0-2.0,fdmq895a,,,,,,24881.0,66cd521c51d994c446abe4df,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,3,37357,0.0-3.0,fdmq895a,,,,,,4275.0,66cd521c51d994c446abe4df,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,4,52405,0.0-4.0-0.0,fdmq895a,,,,,,15046.0,,66cd521c51d994c446abe4df,"[{""page_index"":0,""viewing_time"":1511},{""page_index"":1,""viewing_time"":10930},{""page_index"":2,""viewing_time"":2605}]",,,,,,,,,,,,,,,,,
introduction,5,54022,0.0-5.0-0.0,fdmq895a,,,,,,1616.0,1,66cd521c51d994c446abe4df,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,54697,0.0-5.0-0.1,fdmq895a,,,,,,673.0,2,66cd521c51d994c446abe4df,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,55698,0.0-5.0-0.2,fdmq895a,,,,,,999.0,1,66cd521c51d994c446abe4df,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,56343,0.0-5.0-0.3,fdmq895a,,,,,,644.0,3,66cd521c51d994c446abe4df,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,56956,0.0-5.0-0.4,fdmq895a,,,,,,612.0,2,66cd521c51d994c446abe4df,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,57532,0.0-5.0-0.5,fdmq895a,,,,,,576.0,3,66cd521c51d994c446abe4df,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,58019,0.0-5.0-0.6,fdmq895a,,,,,,486.0,1,66cd521c51d994c446abe4df,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,58850,0.0-5.0-0.7,fdmq895a,,,,,,830.0,2,66cd521c51d994c446abe4df,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,59533,0.0-5.0-0.8,fdmq895a,,,,,,682.0,3,66cd521c51d994c446abe4df,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,60171,0.0-5.0-0.9,fdmq895a,,,,,,637.0,2,66cd521c51d994c446abe4df,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,60820,0.0-5.0-0.10,fdmq895a,,,,,,649.0,1,66cd521c51d994c446abe4df,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,61410,0.0-5.0-0.11,fdmq895a,,,,,,589.0,3,66cd521c51d994c446abe4df,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,108876,0.0-6.0-0.0,fdmq895a,,,,,,47465.0,,66cd521c51d994c446abe4df,"[{""page_index"":0,""viewing_time"":1545},{""page_index"":1,""viewing_time"":3564},{""page_index"":2,""viewing_time"":40700},{""page_index"":3,""viewing_time"":1656}]",,,,,,,,,,,,,,,,,
introduction,19,124639,0.0-8.0-0.0,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,img/Red_circle.png,1945.0,calibration,,,,,,,,,,,,,,
introduction,20,127487,0.0-8.0-1.0-0.0,fdmq895a,,,,,,2843.0,3231,66cd521c51d994c446abe4df,,3231,,calibration,,,,,,,,,,,,,,
introduction,21,127488,0.0-8.0-2.0,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,22,129450,0.0-8.0-0.1,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,img/Red_circle.png,1377.0,calibration,,,,,,,,,,,,,,
introduction,23,132384,0.0-8.0-1.1-0.1,fdmq895a,,,,,,2930.0,2323,66cd521c51d994c446abe4df,,2323,,calibration,,,,,,,,,,,,,,
introduction,24,132385,0.0-8.0-2.1,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,25,133778,0.0-8.0-0.2,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,img/Red_circle.png,2242.0,calibration,,,,,,,,,,,,,,
introduction,26,135643,0.0-8.0-1.2-0.2,fdmq895a,,,,,,1860.0,2211,66cd521c51d994c446abe4df,,2211,,calibration,,,,,,,,,,,,,,
introduction,27,135644,0.0-8.0-2.2,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,28,137651,0.0-8.0-0.3,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,2944.0,calibration,,,,,,,,,,,,,,
introduction,29,139420,0.0-8.0-1.3-0.3,fdmq895a,,,,,,1766.0,2223,66cd521c51d994c446abe4df,,2223,,calibration,,,,,,,,,,,,,,
introduction,30,139420,0.0-8.0-2.3,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,31,141433,0.0-8.0-0.4,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,2139.0,calibration,,,,,,,,,,,,,,
introduction,32,143710,0.0-8.0-1.4-0.4,fdmq895a,,,,,,2274.0,2333,66cd521c51d994c446abe4df,,2333,,calibration,,,,,,,,,,,,,,
introduction,33,143711,0.0-8.0-2.4,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,34,145714,0.0-8.0-0.5,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,1914.0,calibration,,,,,,,,,,,,,,
introduction,35,149377,0.0-8.0-1.5-0.5,fdmq895a,,,,,,3662.0,1311,66cd521c51d994c446abe4df,,1311,,calibration,,,,,,,,,,,,,,
introduction,36,151386,0.0-8.0-2.5,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,37,153309,0.0-8.0-0.6,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,img/Red_circle.png,1296.0,calibration,,,,,,,,,,,,,,
introduction,38,155068,0.0-8.0-1.6-0.6,fdmq895a,,,,,,1755.0,1232,66cd521c51d994c446abe4df,,1232,,calibration,,,,,,,,,,,,,,
introduction,39,155069,0.0-8.0-2.6,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,40,156372,0.0-8.0-0.7,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,img/Red_circle.png,2047.0,calibration,,,,,,,,,,,,,,
introduction,41,158486,0.0-8.0-1.7-0.7,fdmq895a,,,,,,2109.0,3232,66cd521c51d994c446abe4df,,3232,,calibration,,,,,,,,,,,,,,
introduction,42,158487,0.0-8.0-2.7,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,43,160496,0.0-8.0-0.8,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,2920.0,calibration,,,,,,,,,,,,,,
introduction,44,162453,0.0-8.0-1.8-0.8,fdmq895a,,,,,,1953.0,213,66cd521c51d994c446abe4df,,213,,calibration,,,,,,,,,,,,,,
introduction,45,162454,0.0-8.0-2.8,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,46,164480,0.0-8.0-0.9,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,1462.0,calibration,,,,,,,,,,,,,,
introduction,47,165634,0.0-8.0-1.9-0.9,fdmq895a,,,,,,1149.0,111,66cd521c51d994c446abe4df,,111,,calibration,,,,,,,,,,,,,,
introduction,48,165635,0.0-8.0-2.9,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,49,167105,0.0-8.0-0.10,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,img/Red_circle.png,1994.0,calibration,,,,,,,,,,,,,,
introduction,50,168113,0.0-8.0-1.10-0.10,fdmq895a,,,,,,1004.0,111,66cd521c51d994c446abe4df,,111,,calibration,,,,,,,,,,,,,,
introduction,51,168113,0.0-8.0-2.10,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,52,170121,0.0-8.0-0.11,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,img/Red_circle.png,3187.0,calibration,,,,,,,,,,,,,,
introduction,53,172407,0.0-8.0-1.11-0.11,fdmq895a,,,,,,2282.0,2131,66cd521c51d994c446abe4df,,2131,,calibration,,,,,,,,,,,,,,
introduction,54,172408,0.0-8.0-2.11,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,55,174432,0.0-8.0-0.12,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,1885.0,calibration,,,,,,,,,,,,,,
introduction,56,176142,0.0-8.0-1.12-0.12,fdmq895a,,,,,,1708.0,1123,66cd521c51d994c446abe4df,,1123,,calibration,,,,,,,,,,,,,,
introduction,57,176142,0.0-8.0-2.12,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,58,178042,0.0-8.0-0.13,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,img/Red_circle.png,2066.0,calibration,,,,,,,,,,,,,,
introduction,59,179392,0.0-8.0-1.13-0.13,fdmq895a,,,,,,1349.0,123,66cd521c51d994c446abe4df,,123,,calibration,,,,,,,,,,,,,,
introduction,60,179393,0.0-8.0-2.13,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,61,181402,0.0-8.0-0.14,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,3304.0,calibration,,,,,,,,,,,,,,
introduction,62,183427,0.0-8.0-1.14-0.14,fdmq895a,,,,,,2020.0,2122,66cd521c51d994c446abe4df,,2122,,calibration,,,,,,,,,,,,,,
introduction,63,183428,0.0-8.0-2.14,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,64,185434,0.0-8.0-0.15,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,2399.0,calibration,,,,,,,,,,,,,,
introduction,65,187473,0.0-8.0-1.15-0.15,fdmq895a,,,,,,2035.0,3231,66cd521c51d994c446abe4df,,3231,,calibration,,,,,,,,,,,,,,
introduction,66,187473,0.0-8.0-2.15,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,67,189481,0.0-8.0-0.16,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,2395.0,calibration,,,,,,,,,,,,,,
introduction,68,191202,0.0-8.0-1.16-0.16,fdmq895a,,,,,,1719.0,1313,66cd521c51d994c446abe4df,,1313,,calibration,,,,,,,,,,,,,,
introduction,69,191203,0.0-8.0-2.16,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,70,193230,0.0-8.0-0.17,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,1286.0,calibration,,,,,,,,,,,,,,
introduction,71,195046,0.0-8.0-1.17-0.17,fdmq895a,,,,,,1812.0,2231,66cd521c51d994c446abe4df,,2231,,calibration,,,,,,,,,,,,,,
introduction,72,195047,0.0-8.0-2.17,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,73,196340,0.0-8.0-0.18,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,img/Red_circle.png,2385.0,calibration,,,,,,,,,,,,,,
introduction,74,197705,0.0-8.0-1.18-0.18,fdmq895a,,,,,,1361.0,2231,66cd521c51d994c446abe4df,,2231,,calibration,,,,,,,,,,,,,,
introduction,75,197706,0.0-8.0-2.18,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,76,199714,0.0-8.0-0.19,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,1292.0,calibration,,,,,,,,,,,,,,
introduction,77,202358,0.0-8.0-1.19-0.19,fdmq895a,,,,,,2642.0,33122,66cd521c51d994c446abe4df,,3322,,calibration,,,,,,,,,,,,,,
introduction,78,204545,0.0-8.0-1.20-0.20,fdmq895a,,,,,,2184.0,3322,66cd521c51d994c446abe4df,,3322,,calibration,,,,,,,,,,,,,,
introduction,79,206574,0.0-8.0-2.19,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,80,207886,0.0-8.0-0.20,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,img/Red_circle.png,2629.0,calibration,,,,,,,,,,,,,,
introduction,81,209497,0.0-8.0-1.21-0.21,fdmq895a,,,,,,1605.0,132,66cd521c51d994c446abe4df,,132,,calibration,,,,,,,,,,,,,,
introduction,82,209498,0.0-8.0-2.20,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,83,211512,0.0-8.0-0.21,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,2805.0,calibration,,,,,,,,,,,,,,
introduction,84,213411,0.0-8.0-1.22-0.22,fdmq895a,,,,,,1898.0,2113,66cd521c51d994c446abe4df,,2113,,calibration,,,,,,,,,,,,,,
introduction,85,213412,0.0-8.0-2.21,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,86,215417,0.0-8.0-0.22,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,1234.0,calibration,,,,,,,,,,,,,,
introduction,87,217266,0.0-8.0-1.23-0.23,fdmq895a,,,,,,1844.0,3122,66cd521c51d994c446abe4df,,3122,,calibration,,,,,,,,,,,,,,
introduction,88,217267,0.0-8.0-2.22,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,89,218513,0.0-8.0-0.23,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,img/Red_circle.png,2066.0,calibration,,,,,,,,,,,,,,
introduction,90,219955,0.0-8.0-1.24-0.24,fdmq895a,,,,,,1440.0,233,66cd521c51d994c446abe4df,,233,,calibration,,,,,,,,,,,,,,
introduction,91,219956,0.0-8.0-2.23,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,92,221963,0.0-8.0-0.24,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,2095.0,calibration,,,,,,,,,,,,,,
introduction,93,223858,0.0-8.0-1.25-0.25,fdmq895a,,,,,,1892.0,2131,66cd521c51d994c446abe4df,,2131,,calibration,,,,,,,,,,,,,,
introduction,94,223858,0.0-8.0-2.24,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,95,225873,0.0-8.0-0.25,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,1499.0,calibration,,,,,,,,,,,,,,
introduction,96,228355,0.0-8.0-1.26-0.26,fdmq895a,,,,,,2477.0,3132,66cd521c51d994c446abe4df,,3132,,calibration,,,,,,,,,,,,,,
introduction,97,228356,0.0-8.0-2.25,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,98,229872,0.0-8.0-0.26,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,img/Red_circle.png,2386.0,calibration,,,,,,,,,,,,,,
introduction,99,232281,0.0-8.0-1.27-0.27,fdmq895a,,,,,,2404.0,3121,66cd521c51d994c446abe4df,,3121,,calibration,,,,,,,,,,,,,,
introduction,100,232282,0.0-8.0-2.26,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,101,234293,0.0-8.0-0.27,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,2305.0,calibration,,,,,,,,,,,,,,
introduction,102,235341,0.0-8.0-1.28-0.28,fdmq895a,,,,,,1045.0,12,66cd521c51d994c446abe4df,,12,,calibration,,,,,,,,,,,,,,
introduction,103,235342,0.0-8.0-2.27,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,104,237355,0.0-8.0-0.28,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,<p>CAREFUL. That was too slow.</p>,1947.0,calibration,,,,,,,,,,,,,,
introduction,105,238684,0.0-8.0-1.29-0.29,fdmq895a,,,,,,1326.0,223,66cd521c51d994c446abe4df,,223,,calibration,,,,,,,,,,,,,,
introduction,106,238685,0.0-8.0-2.28,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,,,,,,,,,,,,,,,,,
introduction,107,240637,0.0-8.0-0.29,fdmq895a,,,,,,,,66cd521c51d994c446abe4df,,img/Red_circle.png,1844.0,calibration,,,,,,,,,,,,,,
